Feature,ZMYND8_1,ZMYND8_2,ZMYND8_3,ZMYND8_4,AAVS1_0,AAVS1_1,AAVS1_2,AAVS1_3
TSPAN6,0,0,0,0,0,0,0,0
TNMD,0,0,0,0,0,0,0,0
DPM1,1599,1114,1305,1297,1017,1525,1658,1895
SCYL3,260,181,180,205,107,155,185,224
C1orf112,526,405,420,429,383,424,526,536
FGR,980,697,848,987,403,391,521,360
CFH,40,35,18,28,22,13,31,28
FUCA2,2776,1999,2263,2270,1383,1657,2057,1814
GCLC,340,221,366,252,219,363,403,398
NFYA,1834,1170,1449,1189,1139,1503,1748,1861
STPG1,59,32,46,40,43,50,52,48
NIPAL3,735,487,656,563,441,530,594,660
LAS1L,2881,1979,2348,2203,2094,2075,2733,2137
ENPP4,0,0,0,0,0,0,0,0
SEMA3F,40,16,27,41,50,26,41,27
CFTR,0,0,0,0,0,0,0,0
ANKIB1,593,442,464,443,379,555,523,701
CYP51A1,2822,1872,2369,2712,1985,3081,3176,3713
KRIT1,526,334,456,396,224,403,399,557
RAD52,98,87,77,99,54,102,106,97
MYH16,0,1,2,0,1,0,0,0
BAD,245,219,296,301,253,154,238,108
LAP3,2627,1747,2031,1915,1733,1754,2357,1919
HS3ST1,0,0,0,0,0,0,0,0
AOC1,54,29,50,50,29,18,26,26
WNT16,0,0,0,0,0,0,1,0
HECW1,2,1,1,0,5,3,11,6
MAD1L1,1523,986,1104,1242,993,883,1157,821
LASP1,6632,4716,5301,5561,4428,4048,5291,4544
SNX11,1076,687,833,863,645,509,901,616
TMEM176A,18,14,15,14,2,7,21,7
M6PR,9026,6280,6841,6903,5590,6217,7893,7096
KLHL13,70,59,72,46,72,77,106,97
CYP26B1,0,0,0,0,0,0,0,0
ICA1,100,92,112,125,73,107,99,93
DBNDD1,60,48,47,47,36,36,40,47
ALS2,405,258,289,247,262,267,347,360
CASP10,382,250,311,268,212,233,345,306
CFLAR,3391,2436,2806,2669,1765,2275,2540,2789
TFPI,0,0,1,0,1,1,3,2
NDUFAF7,437,262,321,262,200,348,374,377
RBM5,2527,1689,2095,2203,1309,1490,1962,1695
MTMR7,12,23,13,15,10,29,24,38
SLC7A2,0,0,0,0,0,0,0,0
ARF5,1390,1028,1199,1261,996,913,1305,872
SARM1,19,22,7,22,18,16,27,10
POLDIP2,2944,2065,2281,2485,2277,1943,3135,2028
PLXND1,3793,2453,2908,3069,2048,1680,2415,1995
AK2,20835,14803,16474,17056,13290,15254,18224,17350
CD38,406,319,389,387,275,311,461,496
FKBP4,5953,4444,4973,5170,5430,5092,6855,5412
KDM1A,2394,1456,1705,1623,1830,1716,2677,2215
RBM6,2887,1905,2108,2107,1894,2217,2382,2431
CAMKK1,285,225,252,269,275,205,329,241
RECQL,1465,864,1088,1000,815,1211,1404,1556
VPS50,295,202,228,186,162,302,279,357
HSPB6,8,6,2,6,4,6,8,9
ARHGAP33,329,169,275,233,183,178,222,136
NDUFAB1,1991,1561,1824,2005,1276,1318,1982,1472
PDK4,0,0,0,0,0,0,0,0
SLC22A16,233,147,159,162,107,105,159,113
ZMYND10,9,12,12,13,16,29,15,15
ABCB5,0,0,0,0,0,0,0,0
ARX,3,3,0,0,0,5,0,1
SLC25A13,736,568,594,567,435,564,741,751
ST7,580,382,420,437,348,457,485,518
CDC27,1785,1176,1408,1331,1083,1793,1904,2401
SLC4A1,0,0,0,0,0,0,0,0
CALCR,0,0,0,0,0,0,0,0
HCCS,848,623,662,667,532,675,801,595
DVL2,689,431,564,651,621,456,768,472
PRSS22,0,0,0,0,0,0,0,0
UPF1,4171,2744,3527,3410,2632,2238,3267,2435
SKAP2,2981,2106,2454,2255,1617,2378,2555,2912
SLC25A5,13844,10079,11267,11132,9186,8817,12516,10066
