RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
4, , 
0,2,6
0,3,7
1,4,8
0,5,10
0,2,11
0,3,12
0,4,13
0,5,14
3, , 
1,2,5
0,3,7
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
1,3,6
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
2,3,6
0,4,9
0,2,10
0,3,11
0,4,12
3, , 
0,2,5
1,3,6
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
1,3,6
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
1,3,6
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
1,3,6
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
1,3,6
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
1,3,6
0,4,8
1,2,9
0,3,11
0,4,12
3, , 
0,2,5
1,3,6
0,4,8
1,2,9
0,3,11
0,4,12
3, , 
0,2,5
1,3,6
0,4,8
1,2,9
0,3,11
0,4,12
3, , 
0,2,5
1,3,6
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
1,3,6
0,4,8
0,2,9
0,3,10
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
1,3,9
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
1,3,9
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
4, , 
0,2,6
0,3,7
0,4,8
0,5,9
0,2,10
0,3,11
0,4,12
0,5,13
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
1,3,9
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
1,3,9
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
1,3,9
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
1,3,9
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
1,3,9
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
1,3,9
0,4,11
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
0,4,10
3, , 
0,2,5
0,3,6
0,4,7
0,2,8
0,3,9
