RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
2,3,7
2, , 
0,2,4
0,3,5
0,2,6
3,3,7
2, , 
0,2,4
0,3,5
0,2,6
3,3,7
2, , 
0,2,4
0,3,5
0,2,6
2,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
1,3,5
0,2,7
2,3,8
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
5,3,7
2, , 
0,2,4
0,3,5
0,2,6
4,3,7
2, , 
0,2,4
0,3,5
0,2,6
4,3,7
2, , 
0,2,4
0,3,5
0,2,6
3,3,7
2, , 
1,2,4
0,3,6
1,2,7
3,3,9
2, , 
1,2,4
0,3,6
0,2,7
0,3,8
2, , 
1,2,4
0,3,6
0,2,7
0,3,8
2, , 
1,2,4
0,3,6
1,2,7
0,3,9
2, , 
1,2,4
0,3,6
1,2,7
0,3,9
2, , 
1,2,4
0,3,6
1,2,7
1,3,9
2, , 
0,2,4
0,3,5
2,2,6
1,3,9
2, , 
0,2,4
0,3,5
2,2,6
1,3,9
2, , 
0,2,4
0,3,5
2,2,6
2,3,9
2, , 
0,2,4
0,3,5
2,2,6
2,3,9
2, , 
0,2,4
0,3,5
2,2,6
2,3,9
2, , 
0,2,4
0,3,5
1,2,6
2,3,8
2, , 
0,2,4
0,3,5
2,2,6
1,3,9
2, , 
0,2,4
0,3,5
2,2,6
1,3,9
2, , 
0,2,4
0,3,5
2,2,6
0,3,9
2, , 
0,2,4
0,3,5
2,2,6
0,3,9
2, , 
0,2,4
0,3,5
2,2,6
0,3,9
2, , 
0,2,4
0,3,5
3,2,6
0,3,10
2, , 
0,2,4
0,3,5
2,2,6
0,3,9
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
0,2,6
2,3,7
2, , 
0,2,4
0,3,5
0,2,6
2,3,7
2, , 
0,2,4
0,3,5
0,2,6
2,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
1,3,5
0,2,7
0,3,8
2, , 
0,2,4
1,3,5
0,2,7
0,3,8
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
2,2,6
0,3,9
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
