RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
0,2,4
0,3,5
1,2,6
0,3,8
2, , 
1,2,4
0,3,6
0,2,7
0,3,8
2, , 
0,2,4
0,3,5
3,2,6
0,3,10
2, , 
0,2,4
0,3,5
2,2,6
0,3,9
2, , 
0,2,4
1,3,5
3,2,7
1,3,11
2, , 
0,2,4
0,3,5
3,2,6
2,3,10
2, , 
1,2,4
0,3,6
5,2,7
3,3,13
2, , 
1,2,4
0,3,6
5,2,7
5,3,13
2, , 
1,2,4
0,3,6
5,2,7
6,3,13
2, , 
1,2,4
0,3,6
4,2,7
7,3,12
2, , 
1,2,4
0,3,6
4,2,7
8,3,12
2, , 
0,2,4
0,3,5
1,2,6
6,3,8
2, , 
0,2,4
1,3,5
1,2,7
7,3,9
2, , 
0,2,4
1,3,5
2,2,7
7,3,10
2, , 
0,2,4
1,3,5
1,2,7
8,3,9
2, , 
0,2,4
2,3,5
1,2,8
6,3,10
2, , 
0,2,4
2,3,5
1,2,8
7,3,10
2, , 
1,2,4
2,3,6
2,2,9
9,3,12
2, , 
1,2,4
2,3,6
5,2,9
13,3,15
2, , 
1,2,4
3,3,6
5,2,10
9,3,16
2, , 
1,2,4
3,3,6
2,2,10
7,3,13
2, , 
1,2,4
2,3,6
2,2,9
9,3,12
2, , 
1,2,4
2,3,6
1,2,9
11,3,11
2, , 
0,2,4
3,3,5
7,2,9
13,3,17
2, , 
0,2,4
2,3,5
5,2,8
14,3,14
2, , 
1,2,4
2,3,6
4,2,9
16,3,14
2, , 
1,2,4
1,3,6
2,2,8
14,3,11
2, , 
1,2,4
1,3,6
3,2,8
11,3,12
2, , 
1,2,4
1,3,6
3,2,8
11,3,12
2, , 
1,2,4
1,3,6
3,2,8
10,3,12
2, , 
0,2,4
1,3,5
3,2,7
9,3,11
2, , 
0,2,4
1,3,5
2,2,7
10,3,10
2, , 
0,2,4
2,3,5
1,2,8
9,3,10
2, , 
1,2,4
1,3,6
1,2,8
5,3,10
2, , 
0,2,4
2,3,5
2,2,8
5,3,11
2, , 
1,2,4
3,3,6
4,2,10
4,3,15
2, , 
0,2,4
3,3,5
5,2,9
8,3,15
2, , 
0,2,4
3,3,5
6,2,9
4,3,16
2, , 
0,2,4
3,3,5
8,2,9
7,3,18
2, , 
0,2,4
1,3,5
8,2,7
7,3,16
2, , 
0,2,4
2,3,5
8,2,8
7,3,17
2, , 
0,2,4
2,3,5
5,2,8
5,3,14
2, , 
0,2,4
1,3,5
7,2,7
3,3,15
2, , 
0,2,4
1,3,5
5,2,7
5,3,13
2, , 
0,2,4
2,3,5
5,2,8
4,3,14
2, , 
0,2,4
2,3,5
6,2,8
5,3,15
2, , 
0,2,4
2,3,5
6,2,8
5,3,15
2, , 
0,2,4
2,3,5
6,2,8
4,3,15
2, , 
0,2,4
2,3,5
5,2,8
2,3,14
2, , 
0,2,4
1,3,5
1,2,7
2,3,9
2, , 
0,2,4
1,3,5
0,2,7
1,3,8
2, , 
0,2,4
2,3,5
0,2,8
2,3,9
3, , 
0,2,5
0,3,6
3,4,7
0,2,11
2,3,12
3,4,15
3, , 
0,2,5
0,3,6
2,4,7
0,2,10
2,3,11
3,4,14
3, , 
0,2,5
0,3,6
2,4,7
0,2,10
4,3,11
7,4,16
2, , 
0,2,4
0,3,5
3,2,6
7,3,10
2, , 
0,2,4
1,3,5
3,2,7
7,3,11
2, , 
0,2,4
1,3,5
4,2,7
7,3,12
2, , 
0,2,4
2,3,5
5,2,8
7,3,14
2, , 
0,2,4
1,3,5
4,2,7
6,3,12
2, , 
0,2,4
1,3,5
3,2,7
5,3,11
2, , 
0,2,4
1,3,5
5,2,7
4,3,13
2, , 
1,2,4
1,3,6
2,2,8
1,3,11
2, , 
1,2,4
1,3,6
1,2,8
1,3,10
2, , 
2,2,4
0,3,7
1,2,8
3,3,10
2, , 
2,2,4
2,3,7
2,2,10
3,3,13
2, , 
2,2,4
1,3,7
1,2,9
3,3,11
2, , 
2,2,4
1,3,7
1,2,9
2,3,11
2, , 
2,2,4
1,3,7
2,2,9
2,3,12
2, , 
1,2,4
1,3,6
3,2,8
2,3,12
2, , 
1,2,4
1,3,6
3,2,8
5,3,12
2, , 
0,2,4
1,3,5
3,2,7
4,3,11
2, , 
0,2,4
1,3,5
3,2,7
4,3,11
2, , 
0,2,4
1,3,5
4,2,7
5,3,12
2, , 
0,2,4
1,3,5
2,2,7
6,3,10
2, , 
0,2,4
1,3,5
3,2,7
5,3,11
2, , 
0,2,4
0,3,5
1,2,6
4,3,8
2, , 
0,2,4
0,3,5
1,2,6
9,3,8
2, , 
0,2,4
0,3,5
0,2,6
2,3,7
2, , 
0,2,4
1,3,5
2,2,7
2,3,10
2, , 
0,2,4
0,3,5
1,2,6
1,3,8
2, , 
0,2,4
0,3,5
1,2,6
2,3,8
2, , 
0,2,4
0,3,5
2,2,6
2,3,9
2, , 
1,2,4
1,3,6
2,2,8
2,3,11
2, , 
0,2,4
0,3,5
2,2,6
3,3,9
2, , 
1,2,4
1,3,6
0,2,8
4,3,9
2, , 
1,2,4
1,3,6
0,2,8
2,3,9
2, , 
1,2,4
1,3,6
0,2,8
2,3,9
2, , 
1,2,4
1,3,6
0,2,8
2,3,9
2, , 
1,2,4
1,3,6
0,2,8
2,3,9
2, , 
1,2,4
1,3,6
0,2,8
1,3,9
2, , 
0,2,4
1,3,5
0,2,7
1,3,8
2, , 
0,2,4
1,3,5
0,2,7
1,3,8
2, , 
0,2,4
1,3,5
0,2,7
1,3,8
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
2,3,7
2, , 
0,2,4
0,3,5
0,2,6
2,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
1,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
