RegionsCount::Count!!I,ParentID::ID of the parent!!I,ID::ID!!I
"#",,
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
0, , 
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
0,2,4
0,3,5
0,2,6
0,3,7
2, , 
1,2,4
0,3,6
0,2,7
0,3,8
2, , 
1,2,4
0,3,6
0,2,7
0,3,8
2, , 
1,2,4
0,3,6
0,2,7
0,3,8
2, , 
1,2,4
0,3,6
1,2,7
0,3,9
2, , 
1,2,4
1,3,6
1,2,8
0,3,10
2, , 
1,2,4
0,3,6
0,2,7
1,3,8
2, , 
1,2,4
0,3,6
0,2,7
1,3,8
2, , 
1,2,4
0,3,6
0,2,7
1,3,8
2, , 
1,2,4
0,3,6
1,2,7
2,3,9
2, , 
1,2,4
1,3,6
1,2,8
1,3,10
2, , 
1,2,4
1,3,6
1,2,8
0,3,10
2, , 
1,2,4
1,3,6
1,2,8
0,3,10
2, , 
1,2,4
1,3,6
2,2,8
0,3,11
2, , 
1,2,4
0,3,6
1,2,7
1,3,9
2, , 
1,2,4
0,3,6
2,2,7
0,3,10
2, , 
1,2,4
0,3,6
3,2,7
0,3,11
2, , 
1,2,4
0,3,6
3,2,7
0,3,11
2, , 
1,2,4
0,3,6
2,2,7
0,3,10
2, , 
1,2,4
0,3,6
1,2,7
0,3,9
2, , 
3,2,4
1,3,8
3,2,10
0,3,14
2, , 
3,2,4
0,3,8
3,2,9
0,3,13
2, , 
3,2,4
1,3,8
3,2,10
0,3,14
2, , 
3,2,4
1,3,8
3,2,10
0,3,14
2, , 
3,2,4
1,3,8
3,2,10
0,3,14
2, , 
3,2,4
1,3,8
2,2,10
1,3,13
2, , 
3,2,4
1,3,8
3,2,10
1,3,14
2, , 
3,2,4
1,3,8
4,2,10
1,3,15
2, , 
2,2,4
1,3,7
3,2,9
2,3,13
2, , 
2,2,4
2,3,7
3,2,10
3,3,14
2, , 
3,2,4
1,3,8
2,2,10
3,3,13
2, , 
2,2,4
2,3,7
2,2,10
3,3,13
2, , 
3,2,4
3,3,8
1,2,12
2,3,14
2, , 
2,2,4
2,3,7
1,2,10
3,3,12
2, , 
3,2,4
4,3,8
1,2,13
4,3,15
2, , 
4,2,4
3,3,9
1,2,13
3,3,15
2, , 
6,2,4
2,3,11
1,2,14
5,3,16
2, , 
6,2,4
2,3,11
2,2,14
4,3,17
2, , 
6,2,4
2,3,11
2,2,14
5,3,17
2, , 
7,2,4
2,3,12
2,2,15
6,3,18
2, , 
8,2,4
3,3,13
4,2,17
6,3,22
2, , 
8,2,4
1,3,13
4,2,15
7,3,20
2, , 
9,2,4
4,3,14
3,2,19
8,3,23
2, , 
6,2,4
5,3,11
2,2,17
7,3,20
2, , 
6,2,4
6,3,11
3,2,18
6,3,22
2, , 
4,2,4
6,3,9
4,2,16
5,3,21
2, , 
5,2,4
6,3,10
4,2,17
3,3,22
2, , 
7,2,4
6,3,12
3,2,19
3,3,23
2, , 
6,2,4
7,3,11
3,2,19
3,3,23
2, , 
6,2,4
8,3,11
3,2,20
4,3,24
2, , 
6,2,4
8,3,11
5,2,20
5,3,26
2, , 
5,2,4
9,3,10
4,2,20
5,3,25
2, , 
5,2,4
8,3,10
4,2,19
4,3,24
2, , 
6,2,4
8,3,11
3,2,20
8,3,24
2, , 
8,2,4
6,3,13
1,2,20
6,3,22
2, , 
6,2,4
7,3,11
2,2,19
6,3,22
2, , 
4,2,4
7,3,9
2,2,17
5,3,20
2, , 
4,2,4
7,3,9
2,2,17
5,3,20
2, , 
2,2,4
7,3,7
3,2,15
5,3,19
2, , 
2,2,4
7,3,7
3,2,15
4,3,19
2, , 
3,2,4
6,3,8
5,2,15
5,3,21
2, , 
5,2,4
4,3,10
6,2,15
5,3,22
2, , 
4,2,4
3,3,9
4,2,13
3,3,18
2, , 
5,2,4
2,3,10
3,2,13
5,3,17
2, , 
6,2,4
4,3,11
3,2,16
4,3,20
2, , 
6,2,4
4,3,11
3,2,16
4,3,20
2, , 
5,2,4
4,3,10
4,2,15
4,3,20
2, , 
5,2,4
6,3,10
4,2,17
5,3,22
2, , 
