ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 1_P1-2_2.czi",1,2,388625156.69616,396607,302.31469817729,339.06560020373,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 1_P1-2_2.czi",1,2,386279336.71535,394213,300.22442309107,341.02867612179,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 1_P1-2_2.czi",1,2,383906080.24353,391791,300.90005257905,342.70375659472,3,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 1_P1-2_2.czi",1,2,385416067.12341,393332,302.65132763162,340.93843368961,4,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 1_P1-2_2.czi",4,5,33315.739075885,34,470.67647058824,281.64705882353,4,31.30295,31.30295,"Fuchsia", , ,1273,2878,28954,423.35294117647,2096.7058823529,9022.3529411765,0,1309,0,34,34,34,1273,1569,28954,424.2949147563,428.27062595427,8701.9701143855,14394,71288,306760,12034606,155522688,5266598356
"Image 1_P1-2_2.czi",4,6,68591.227509175,70,440.42857142857,363.65714285714,4,31.30295,31.30295,"Fuchsia", , ,805,3791,19551,89.471428571429,2192.2571428571,3339.8857142857,0,1123,0,70,70,70,805,2668,19551,172.65570342582,768.23940799188,5223.0092041054,6263,153458,233792,2617249,377142630,2663146496
"Image 1_P1-2_2.czi",1,2,387727591.49047,395691,301.92020920365,337.69152571072,5,31.30295,31.30295,"Orange",0,5, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 1_P1-2_2.czi",4,5,57812.606043448,59,470.04237288136,281.83898305085,5,31.30295,31.30295,"Fuchsia", , ,1150,4229,29035,375.45762711864,2452.1016949153,9228.1355932203,0,885,0,59,59,59,1150,3344,29035,390.15002958782,887.60723868696,8489.2926037646,22152,144674,544460,17145726,400450464,9204299862
"Image 1_P1-2_2.czi",4,6,20577.368252753,21,392.78571428571,329.92857142857,5,31.30295,31.30295,"Fuchsia", , ,169,2032,16920,9.0952380952381,1595.3333333333,2823.4285714286,0,892,0,21,21,21,169,1140,16920,36.951190457013,332.6143913503,5210.75042169,191,33502,59292,29045,55659504,710445126
"Image 1_P1-2_2.czi",4,7,84269.222368415,86,439.76744186047,363.69767441861,5,31.30295,31.30295,"Fuchsia", , ,808,5483,20470,122.98837209302,2704.5465116279,3661.6976744186,0,747,0,86,86,86,808,4736,20470,200.56874979072,1299.236505726,5246.7547371904,10577,232591,314906,4720213,772534495,3493007566
"Image 1_P1-2_2.czi",4,8,45074.235220315,46,227.4347826087,368.5652173913,5,31.30295,31.30295,"Fuchsia", , ,312,2943,22815,19.217391304348,2079.6304347826,6661.3043478261,0,1103,0,46,46,46,312,1840,22815,68.582768501029,479.91829668974,7348.3652085785,884,95663,306420,228650,209308157,4471088084
"Image 1_P1-2_2.czi",4,9,31355.98971848,32,120.875,587.59375,5,31.30295,31.30295,"Fuchsia", , ,1025,2565,5761,638.78125,1630.0625,2131.9375,194,551,0,32,32,32,831,2014,5761,218.20096306446,575.86540416114,2147.8451007028,20441,52162,68222,14533289,95307570,288455436
"Image 1_P1-2_2.czi",1,2,386758495.43323,394702,300.7917314835,339.0169773652,6,31.30295,31.30295,"Orange",0,5, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 1_P1-2_2.czi",4,5,78389.9742962,80,469.9875,281.8875,6,31.30295,31.30295,"Fuchsia", , ,1041,5783,26464,352.5625,2701.5125,8562.25,0,874,0,80,80,80,1041,4909,26464,334.84437510279,1400.9124512418,7458.1318350076,28205,216121,684980,18801565,738895483,10259244712
"Image 1_P1-2_2.czi",4,6,21557.242931455,22,239.13636363636,286.18181818182,6,31.30295,31.30295,"Fuchsia", , ,1254,1734,17789,521.40909090909,1301.0454545455,7442.6363636364,0,638,0,22,22,22,1254,1096,17789,380.5490593604,309.73851910353,6098.3126514476,11471,28623,163738,9022253,39254521,1999620154
