ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 4_P5-2.czi",1,2,90282713.271612,92137,197.57984848649,172.2093458654,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P5-2.czi",1,2,88330802.911637,90145,197.13722890898,173.01808752565,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P5-2.czi",1,2,87315652.744501,89109,198.40485809514,173.35270848063,3,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P5-2.czi",1,2,84364270.212249,86097,198.96022509495,174.76851109795,4,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P5-2.czi",3,4,65651.603473068,67,139.66417910448,128.17164179105,4,31.30295,31.30295,"Yellow", , ,5609,117,2712,4165.6567164179,59.313432835821,1494.4925373134,2395,12,116,67,67,67,3214,105,2596,830.14160077698,26.977661328669,726.12104285915,279099,3974,100131,1208113539,283746,184443649
"Image 4_P5-2.czi",1,2,83615645.95772,85333,199.7438915777,174.72979386638,5,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P5-2.czi",3,4,111705.71337209,114,139.77192982456,127.64912280702,5,31.30295,31.30295,"Yellow", , ,7010,149,3046,4038.9561403509,79.763157894737,1339.4385964912,1283,5,4,114,114,114,5727,144,3042,1478.1247770288,36.238712647723,867.62340465345,460441,9093,152696,2106589377,873683,289589968
"Image 4_P5-2.czi",1,2,83712653.550912,85432,200.05949761214,173.75622717483,6,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P5-2.czi",3,4,130323.33226743,133,139.2969924812,127.8984962406,6,31.30295,31.30295,"Yellow", , ,8252,175,3319,4222.0601503759,95.669172932331,1440.0827067669,1072,6,0,133,133,133,7180,169,3319,1842.0309392632,46.153026396141,927.1798724277,561534,12724,191531,2818716618,1498468,389295933
"Image 4_P5-2.czi",1,2,83587229.592038,85304,198.98539341649,173.22259214105,7,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P5-2.czi",3,4,139142.20437576,142,138.45774647887,127.91549295775,7,31.30295,31.30295,"Yellow", , ,9086,241,3422,4388.2042253521,111.33098591549,1632.7535211268,1285,18,0,142,142,142,7801,223,3422,2103.4471354453,64.882842789005,928.44961279444,623125,15809,231851,3358252827,2353611,500100171
