ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 11_Out_Channel Alignment_P4-2_1.czi",1,2,57197244.745222,58372,150.52410402248,172.89178030563,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P4-2_1.czi",1,2,57198224.619901,58373,151.38200023984,173.59506107276,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P4-2_1.czi",1,2,56386888.385935,57545,151.74949170215,173.45275002172,3,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P4-2_1.czi",1,2,56297719.790173,57454,152.23669370279,174.632749678,4,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P4-2_1.czi",1,2,56470177.733625,57630,151.83447857019,176.08761061947,5,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P4-2_1.czi",1,2,55957703.276664,57107,152.73193303798,177.40813735619,6,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P4-2_1.czi",4,5,21557.242931455,22,119.40909090909,160.40909090909,6,31.30295,31.30295,"Fuchsia", , ,682,929,1857,240.09090909091,757.40909090909,256.81818181818,0,619,0,22,22,22,682,310,1857,242.25663470022,92.394938580664,450.43255785688,5282,16663,5650,2500614,12799981,5711702
"Image 11_Out_Channel Alignment_P4-2_1.czi",4,6,35275.48843329,36,155.63888888889,190.63888888889,6,31.30295,31.30295,"Fuchsia", , ,113,764,4784,7.8611111111111,530.77777777778,2661.8888888889,0,310,926,36,36,36,113,454,3858,24.845985910666,133.95289387609,1172.6101234372,283,19108,95828,23831,10770120,303208996
"Image 11_Out_Channel Alignment_P4-2_1.czi",1,2,56017475.632065,57168,153.33450531766,177.15006647075,7,31.30295,31.30295,"Orange",0,5, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P4-2_1.czi",4,5,41154.736505505,42,63,55.5,7,31.30295,31.30295,"Fuchsia", , ,251,867,1723,103.66666666667,557.45238095238,147.26190476191,0,264,0,42,42,42,251,603,1723,91.725642521244,167.00813509921,339.99878475563,4354,23413,6185,796322,14195193,5650381
"Image 11_Out_Channel Alignment_P4-2_1.czi",4,6,11758.49614443,12,97,82.5,7,31.30295,31.30295,"Fuchsia", , ,276,852,3726,193.33333333333,785.16666666667,919.33333333333,133,693,0,12,12,12,143,159,3726,53.708528751084,50.416147004585,1223.3152669791,2320,9422,11032,480264,7425800,26603588
