ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 11_Out_Channel Alignment_P5.czi",1,2,94266883.715217,96203,253.36755090798,202.59670176606,1,31.30295,31.30295,"Orange",3,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P5.czi",3,4,17637.744216645,18,204.5,69,1,31.30295,31.30295,"Yellow", , ,1663,162,3080,1141.7777777778,125.27777777778,2074.7777777778,841,67,628,18,18,18,822,95,2452,219.774899695,28.768458127028,732.77518866579,20552,2255,37346,24286934,296571,86612962
"Image 11_Out_Channel Alignment_P5.czi",3,5,24496.866967563,25,198.86,70.26,1,31.30295,31.30295,"Yellow", , ,2090,145,4683,1427.28,78.72,1181.36,1022,3,0,25,25,25,1068,142,4683,295.5100844303,45.154844701316,1511.7843452909,35682,1968,29534,53024034,203856,89742092
"Image 11_Out_Channel Alignment_P5.czi",3,6,138162.32969705,141,452.91134751773,170.9609929078,1,31.30295,31.30295,"Yellow", , ,2542,104,4665,1633.695035461,29.219858156028,913.06382978723,725,0,0,141,141,141,1817,104,4665,391.91890457197,25.948050353015,1102.0851873528,230351,4120,128742,397827345,214648,287592510
"Image 11_Out_Channel Alignment_P5.czi",1,2,93581951.314804,95504,253.00421971855,202.41065295694,2,31.30295,31.30295,"Orange",4,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P5.czi",3,4,68591.227509175,70,200.85714285714,69.485714285714,2,31.30295,31.30295,"Yellow", , ,2344,160,5143,1447.3142857143,95.942857142857,1467.9571428571,783,9,0,70,70,70,1561,151,5143,361.23157062894,45.278489538707,1582.7121506325,101312,6716,102757,155633994,785812,323686337
"Image 11_Out_Channel Alignment_P5.czi",3,5,22537.117610158,23,107.19565217391,90.5,2,31.30295,31.30295,"Yellow", , ,1923,82,3619,1461.8260869565,60.869565217391,1297.2608695652,964,48,0,23,23,23,959,34,3619,296.67071617197,7.8062000290334,1221.5268097899,33622,1400,29837,51085814,86558,71533183
"Image 11_Out_Channel Alignment_P5.czi",3,6,11758.49614443,12,369.5,151,2,31.30295,31.30295,"Yellow", , ,999,232,4979,807.58333333333,197.58333333333,3337,542,144,1334,12,12,12,457,88,3645,123.34243414416,27.691345327748,1304.9806686134,9691,2371,40044,7993637,476905,152359548
"Image 11_Out_Channel Alignment_P5.czi",3,7,145021.45244797,148,453.17567567568,170.47297297297,2,31.30295,31.30295,"Yellow", , ,2939,101,3913,1863.0135135135,28.304054054054,783.47972972973,896,0,0,148,148,148,2043,101,3913,451.19905235955,28.367044878759,955.82130135844,275726,4189,115955,543607610,236855,225146763
"Image 11_Out_Channel Alignment_P5.czi",8,9,30376.115039778,31,289.62903225807,159.59677419355,2,31.30295,31.30295,"Fuchsia", , ,567,1035,2972,294.51612903226,814.58064516129,513.06451612903,0,568,0,31,31,31,567,467,2972,148.46343454821,133.8869608273,856.76803299703,9130,25252,15905,3350174,21107562,30181835
"Image 11_Out_Channel Alignment_P5.czi",8,10,36255.363111993,37,193.82432432432,176.82432432432,2,31.30295,31.30295,"Fuchsia", , ,735,1053,9030,348.62162162162,787.08108108108,4128.8648648649,0,495,0,37,37,37,735,558,9030,229.96948485389,149.03157353363,2814.4831592059,12899,29122,152768,6400765,23720950,915925784
"Image 11_Out_Channel Alignment_P5.czi",1,2,93215478.184969,95130,253.0935666982,202.10603384842,3,31.30295,31.30295,"Orange",4,6, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_Out_Channel Alignment_P5.czi",3,4,61732.104758258,63,200.64285714286,69.261904761905,3,31.30295,31.30295,"Yellow", , ,2379,162,4769,1627.6190476191,94.936507936508,1320.5873015873,1111,0,0,63,63,63,1268,162,4769,346.08951054425,49.411006027413,1481.5870809864,102540,5981,83197,174322290,719185,245965119
"Image 11_Out_Channel Alignment_P5.czi",3,5,48013.859256423,49,106.47959183674,90.19387755102,3,31.30295,31.30295,"Yellow", , ,2216,98,3923,1422.9795918367,46.469387755102,1084.9183673469,717,11,0,49,49,49,1499,87,3923,452.10744896337,21.907097442778,1266.0440493379,69726,2277,53161,109029930,128847,134612987
"Image 11_Out_Channel Alignment_P5.czi",3,6,40174.861826803,41,381.20731707317,120.54878048781,3,31.30295,31.30295,"Yellow", , ,1653,132,5620,1133.3170731707,29.463414634146,2782.0243902439,462,0,0,41,41,41,1191,132,5620,295.08519439514,36.882311180955,1881.6473831168,46466,1208,114063,56143722,90004,458949923
"Image 11_Out_Channel Alignment_P5.czi",3,7,146981.20180538,150,452.08666666667,169.69333333333,3,31.30295,31.30295,"Yellow", , ,3189,111,4685,2001.7266666667,28.133333333333,784.46,1006,0,0,150,150,150,2183,111,4685,538.54400899062,28.986844196382,990.4087260813,300259,4220,117669,644250865,243918,238462131
"Image 11_Out_Channel Alignment_P5.czi",8,9,14698.120180538,15,107.9,111.9,3,31.30295,31.30295,"Fuchsia", , ,121,709,3758,9.8666666666667,625.73333333333,1648.4,0,524,0,15,15,15,121,185,3758,31.520665934469,56.552714557389,1065.5648267468,148,9386,24726,15370,5917908,56654336
"Image 11_Out_Channel Alignment_P5.czi",8,10,43114.48586291,44,394.59090909091,128.5,3,31.30295,31.30295,"Fuchsia", , ,835,1047,5548,447.06818181818,766.11363636364,2179.7727272727,0,455,0,44,44,44,835,592,5548,259.88892061241,154.37243034812,1702.8950296567,19671,33709,95910,11698595,26849651,333755616
"Image 11_Out_Channel Alignment_P5.czi",8,11,41154.736505505,42,288.64285714286,159.2380952381,3,31.30295,31.30295,"Fuchsia", , ,439,1751,3536,228.47619047619,1213.380952381,613.19047619048,0,674,0,42,42,42,439,1077,3536,135.0546841541,295.01541525503,1059.1311726518,9596,50962,25754,2940288,65404718,61784220
"Image 11_Out_Channel Alignment_P5.czi",8,12,41154.736505505,42,192.80952380952,176.5,3,31.30295,31.30295,"Fuchsia", , ,783,1778,9169,274,1219.6190476191,4428.7380952381,0,672,0,42,42,42,783,1106,9169,240.2628641768,291.77822787605,2757.8352420723,11508,51224,186007,5519968,65964282,1135608151
"Image 11_Out_Channel Alignment_P5.czi",8,13,20577.368252753,21,251.5,220.5,3,31.30295,31.30295,"Fuchsia", , ,505,1026,3723,130.61904761905,801.80952380952,748.61904761905,0,556,0,21,21,21,505,470,3723,157.39074820029,135.50705481547,1084.8544822321,2743,16838,15721,853725,13868112,35307225
"Image 11_Out_Channel Alignment_P5.czi",8,14,39194.9871481,40,196.125,263.975,3,31.30295,31.30295,"Fuchsia", , ,542,1079,5061,76.25,853.5,1167.25,0,573,0,40,40,40,542,506,5061,132.82931982484,129.34450123604,1574.182388514,3050,34140,46690,920664,29790960,151142860
"Image 11_Out_Channel Alignment_P5.czi",1,2,92300275.235061,94196,253.18884029046,202.53869591065,4,31.30295,31.30295,"Orange",7,11, , , , , , , , , , , , , , , , , , , , , , , , 
