ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 11_P8-7.czi",1,2,55311965.863399,56448,192.17949263039,156.86080994898,1,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P8-7.czi",4,5,24496.866967563,25,257.22,104.18,1,31.30295,31.30295,"Fuchsia", , ,35,2155,10919,1.4,1631.24,7989.52,0,1096,3233,25,25,25,35,1059,7686,7,336.16120636782,2656.5714922308,35,40781,199738,1225,69235703,1765187676
"Image 11_P8-7.czi",4,6,24496.866967563,25,165.1,115.1,1,31.30295,31.30295,"Fuchsia", , ,272,1380,7849,53.84,1073.16,4259.08,0,778,34,25,25,25,272,602,7815,88.695490302495,186.77831779947,2621.8995327815,1346,26829,106477,261274,29629077,618478633
"Image 11_P8-7.czi",1,2,54643691.332524,55766,192.67779650683,156.06954058028,2,31.30295,31.30295,"Orange",1,6, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P8-7.czi",3,4,57812.606043448,59,198.9406779661,71.042372881356,2,31.30295,31.30295,"Yellow", , ,3707,716,7555,2897.4406779661,170.81355932203,2039.4745762712,1823,0,0,59,59,59,1884,716,7555,478.2155866158,202.47771052946,2133.2925931844,170949,10078,120329,508578615,4099298,509362299
"Image 11_P8-7.czi",5,6,29396.240361075,30,257.26666666667,102.73333333333,2,31.30295,31.30295,"Fuchsia", , ,4,2652,9288,0.16666666666667,1971.3,6793.3,0,1137,2140,30,30,30,4,1515,7148,0.74663998310285,414.73873371242,1828.4094114454,5,59139,203799,17,121568949,1481417095
"Image 11_P8-7.czi",5,7,33315.739075885,34,164.82352941177,114.44117647059,2,31.30295,31.30295,"Fuchsia", , ,303,1897,7229,63.147058823529,1340.0588235294,3339.2058823529,0,563,0,34,34,34,303,1334,7229,90.162860173819,352.68905879331,2458.1496586267,2147,45562,113533,403845,65160616,578512553
"Image 11_P8-7.czi",5,8,18617.618895348,19,289.39473684211,129.65789473684,2,31.30295,31.30295,"Fuchsia", , ,311,1569,7483,98.894736842105,1213.6315789474,4001.7894736842,0,817,361,19,19,19,311,752,7122,109.33632858542,235.52947693001,2033.1321370117,1879,23059,76034,401003,28983665,378677334
"Image 11_P8-7.czi",5,9,30376.115039778,31,295.27419354839,149.37096774194,2,31.30295,31.30295,"Fuchsia", , ,380,1389,6600,169.29032258065,1093.6451612903,1713.6129032258,0,727,0,31,31,31,380,662,6600,101.16362770231,174.54847433442,1834.602712259,5248,33903,53122,1195458,37991867,192003558
"Image 11_P8-7.czi",5,10,27436.49100367,28,253,150.10714285714,2,31.30295,31.30295,"Fuchsia", , ,152,1882,7903,45.857142857143,1401.4285714286,1889.4642857143,0,792,0,28,28,28,152,1090,7903,49.645196168869,312.34055826713,2152.2195000638,1284,39240,52905,125426,57626086,225027425
"Image 11_P8-7.czi",5,11,17637.744216645,18,156.83333333333,178.66666666667,2,31.30295,31.30295,"Fuchsia", , ,243,1267,2764,33.166666666667,1035.5,1369.8333333333,0,812,0,18,18,18,243,455,2764,68.382359266287,143.40368770383,913.23531211518,597,18639,24657,99295,19650283,47953959
"Image 11_P8-7.czi",1,2,54042048.2798,55152,192.89703002611,156.16206121265,3,31.30295,31.30295,"Orange",1,4, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P8-7.czi",3,4,29396.240361075,30,197.86666666667,69.866666666667,3,31.30295,31.30295,"Yellow", , ,5208,440,5123,4561.5666666667,110.56666666667,2250.3,4082,0,0,30,30,30,1126,440,5123,353.19269755927,131.07346803602,1628.3581142598,136847,3317,67509,627854321,864977,228810457
"Image 11_P8-7.czi",5,6,39194.9871481,40,257,103.5,3,31.30295,31.30295,"Fuchsia", , ,152,3023,7400,8.725,2026.8,5452.1,0,952,1254,40,40,40,152,2071,6146,30.295965289466,561.05154020752,1438.749061351,349,81072,218084,38841,176593104,1269745732
"Image 11_P8-7.czi",5,7,39194.9871481,40,164.775,114.575,3,31.30295,31.30295,"Fuchsia", , ,291,2330,6186,54.025,1542.3,2652.525,0,681,0,40,40,40,291,1649,6186,82.664129665371,451.76861561122,2014.4328461546,2161,61692,106101,383249,103107272,439695203
"Image 11_P8-7.czi",5,8,34295.613754588,35,291.15714285714,129.01428571429,3,31.30295,31.30295,"Fuchsia", , ,316,1680,8509,117.08571428571,1267.6285714286,3138.5714285714,0,887,0,35,35,35,316,793,8509,114.80273911176,244.4342911481,2521.1714397421,4098,44367,109850,927926,58272313,560886456
"Image 11_P8-7.czi",5,9,28416.365682373,29,295.15517241379,150.98275862069,3,31.30295,31.30295,"Fuchsia", , ,372,1602,8496,159.55172413793,1212.1379310345,3274.6896551724,0,541,0,29,29,29,372,1061,8496,110.2719321259,273.90218850348,3041.880129406,4627,35152,94966,1078723,44709700,570069150
"Image 11_P8-7.czi",1,2,53336538.511135,54432,192.80404908877,156.37755364492,4,31.30295,31.30295,"Orange",1,5, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P8-7.czi",3,4,94067.96915544,96,197.72916666667,69.65625,4,31.30295,31.30295,"Yellow", , ,7217,506,7313,4631.2395833333,118.59375,3075.9166666667,2281,0,0,96,96,96,4936,506,7313,1278.0126903644,134.80993076999,2169.3061353281,444599,11385,295288,2214209549,3076693,1355340746
"Image 11_P8-7.czi",5,6,22537.117610158,23,258.89130434783,91.54347826087,4,31.30295,31.30295,"Fuchsia", , ,377,1945,8032,224.52173913044,1525.4782608696,5360,38,885,3063,23,23,23,339,1060,4969,82.178779369471,296.87445610518,1076.2200265069,5164,35086,123280,1308004,55461888,686262290
"Image 11_P8-7.czi",5,7,32335.864397183,33,256.40909090909,102.95454545455,4,31.30295,31.30295,"Fuchsia", , ,57,3135,6167,3.8181818181818,2184.7272727273,4816.9393939394,0,1171,1145,33,33,33,57,1964,5022,12.904588683523,577.20773300906,1371.7739413665,126,72096,158959,5810,168171498,825912309
"Image 11_P8-7.czi",5,8,35275.48843329,36,164.33333333333,114.66666666667,4,31.30295,31.30295,"Fuchsia", , ,239,2551,5613,56.388888888889,1746.9166666667,2072.3888888889,0,882,0,36,36,36,239,1669,5613,83.461634566095,455.63684630886,1703.5257938049,2030,62889,74606,358274,117128015,256182650
"Image 11_P8-7.czi",5,9,34295.613754588,35,291.58571428571,128.72857142857,4,31.30295,31.30295,"Fuchsia", , ,307,1629,8898,115.37142857143,1234.7428571429,2953.5428571429,0,797,0,35,35,35,307,832,8898,108.70226084404,245.23930004327,2369.5839339783,4038,43216,103374,867620,55405486,496227092
"Image 11_P8-7.czi",5,10,16657.869537943,17,186.5,239.5,4,31.30295,31.30295,"Fuchsia", , ,320,1752,2869,160.70588235294,1391.7647058824,1172.5882352941,0,875,0,17,17,17,320,877,2869,98.15279205522,250.43475433029,1003.9985718879,2732,23660,19934,593192,33932634,39502584
"Image 11_P8-7.czi",1,2,52833862.80096,53919,193.78208980137,156.75912943489,5,31.30295,31.30295,"Orange",1,10, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P8-7.czi",3,4,146981.20180538,150,197.39333333333,69.506666666667,5,31.30295,31.30295,"Yellow", , ,9516,376,8154,4669.0066666667,111.39333333333,3396.7133333333,1028,0,0,150,150,150,8488,376,8154,2179.5277873416,108.3627946173,2172.3010542489,700351,16709,509507,3977744353,3610903,2433764109
"Image 11_P8-7.czi",5,6,31355.98971848,32,179.40625,87.09375,5,31.30295,31.30295,"Fuchsia", , ,0,1959,5625,0,1461.59375,1494.46875,0,902,0,32,32,32,0,1057,5625,0,303.44344845669,1584.7149124782,0,46771,47823,0,71214617,149320941
"Image 11_P8-7.czi",5,7,23516.99228886,24,257.45833333333,103.08333333333,5,31.30295,31.30295,"Fuchsia", , ,155,2954,7139,13.208333333333,2257.7083333333,5170.0833333333,0,1417,3043,24,24,24,155,1537,4096,35.323325421605,469.570153037,1095.8558663028,317,54185,124082,32885,127405337,669134982
"Image 11_P8-7.czi",5,8,17637.744216645,18,152.83333333333,108.5,5,31.30295,31.30295,"Fuchsia", , ,376,2513,3867,291.38888888889,2027.8888888889,2807.4444444444,223,1453,1842,18,18,18,153,1060,2025,45.649739241429,356.66459592582,581.2341051309,5245,36502,50534,1563761,76184564,147614560
"Image 11_P8-7.czi",5,9,28416.365682373,29,164.60344827586,114.3275862069,5,31.30295,31.30295,"Fuchsia", , ,155,2507,5791,40.655172413793,1810.8620689655,2078.1724137931,0,817,0,29,29,29,155,1690,5791,54.207455906564,427.61270228176,1781.6517029544,1179,52515,60267,130209,100217295,214125135
"Image 11_P8-7.czi",5,10,17637.744216645,18,137,122.5,5,31.30295,31.30295,"Fuchsia", , ,128,1406,2918,44.166666666667,1149.6666666667,468.44444444444,0,818,0,18,18,18,128,588,2918,50.58859438997,192.33977288979,833.4283004711,795,20694,8432,78619,24420110,15758170
"Image 11_P8-7.czi",5,11,20577.368252753,21,292.21428571429,129.64285714286,5,31.30295,31.30295,"Fuchsia", , ,298,1438,8898,201.09523809524,1169.6666666667,3045.0476190476,37,866,0,21,21,21,261,572,8898,71.144152789885,181.42280268294,3179.6038035609,4223,24563,63946,950455,29388807,396916222
"Image 11_P8-7.czi",5,12,23516.99228886,24,229.5,147.125,5,31.30295,31.30295,"Fuchsia", , ,53,1766,3604,3.4166666666667,1258.125,1069.0833333333,0,710,0,24,24,24,53,1056,3604,12.104317112238,318.97503139301,1299.1212051988,82,30195,25658,3650,40329221,66248006
"Image 11_P8-7.czi",5,13,43114.48586291,44,260.5,151.29545454546,5,31.30295,31.30295,"Fuchsia", , ,443,3191,4438,260.29545454546,2167.8181818182,1189.3863636364,7,1200,0,44,44,44,436,1991,4438,117.0033948117,540.62454291858,1356.3316500495,11453,95384,52333,3569825,219342990,141348485
"Image 11_P8-7.czi",5,14,29396.240361075,30,296.1,151.1,5,31.30295,31.30295,"Fuchsia", , ,444,1708,6454,153.36666666667,1283.2,1517.8,0,599,0,30,30,30,444,1109,6454,168.51818347264,301.99433655343,1910.6400335833,4601,38496,45534,1529193,52042884,174977320
"Image 11_P8-7.czi",5,15,23516.99228886,24,178,261,5,31.30295,31.30295,"Fuchsia", , ,334,1976,8766,158.04166666667,1487.4166666667,5619.4166666667,10,780,0,24,24,24,324,1196,8766,86.220384539533,333.59138200039,2502.5462496993,3793,35698,134866,770433,55657314,901911216
"Image 11_P8-7.czi",1,2,52799567.187206,53884,193.86914482963,156.69443619627,6,31.30295,31.30295,"Orange",1,9, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P8-7.czi",3,4,106806.33997857,109,197.39908256881,69.059633027523,6,31.30295,31.30295,"Yellow", , ,11660,304,9517,6617.3394495413,112.40366972477,4022.7064220184,3148,0,0,109,109,109,8512,304,9517,2392.8562864872,90.505485741868,2242.9010409915,721290,12252,438475,5391402982,2261824,2307161547
"Image 11_P8-7.czi",5,6,46054.109899018,47,179.01063829787,87.734042553192,6,31.30295,31.30295,"Fuchsia", , ,40,2685,7327,1.4893617021277,1685.7446808511,2349.1276595745,0,777,0,47,47,47,40,1908,7327,6.4264140397119,553.71619901099,2260.328877735,70,79230,110409,2004,147665226,494382821
"Image 11_P8-7.czi",5,7,27436.49100367,28,137.82142857143,94.392857142857,6,31.30295,31.30295,"Fuchsia", , ,253,2778,7523,70.107142857143,2214.5357142857,5746.5714285714,0,1506,2531,28,28,28,253,1272,4992,89.373266068946,345.01996529915,1412.108678762,1963,62007,160904,353285,140530763,978485704
"Image 11_P8-7.czi",5,8,30376.115039778,31,257.11290322581,103.20967741936,6,31.30295,31.30295,"Fuchsia", , ,188,2534,8355,26.41935483871,1861.3548387097,4990.8387096774,0,1192,1042,31,31,31,188,1342,7313,51.103668618178,389.96474613201,1818.370444414,819,57702,154716,99985,111966072,871356734
"Image 11_P8-7.czi",5,9,36255.363111993,37,151.82432432432,108.0945945946,6,31.30295,31.30295,"Fuchsia", , ,529,3468,4191,354.13513513514,2311.5135135135,3022.5675675676,221,1239,1934,37,37,37,308,2229,2257,90.460906891738,643.91880188687,566.25060905243,13103,85526,111835,4934827,212621236,349571875
"Image 11_P8-7.czi",5,10,20577.368252753,21,292.07142857143,129.21428571429,6,31.30295,31.30295,"Fuchsia", , ,309,1201,7668,180.52380952381,1062.3333333333,2065.6666666667,0,902,0,21,21,21,309,299,7668,89.837419290415,89.685190156086,2402.2477876633,3791,22309,43379,845781,23860463,205022443
"Image 11_P8-7.czi",5,11,32335.864397183,33,228.28787878788,146.07575757576,6,31.30295,31.30295,"Fuchsia", , ,0,2370,3845,0,1646.4545454546,635.36363636364,0,844,0,33,33,33,0,1526,3845,0,430.652781463,1063.0484413405,0,54333,20967,0,95391593,49483973
"Image 11_P8-7.czi",5,12,60752.230079555,62,260.35483870968,151.11290322581,6,31.30295,31.30295,"Fuchsia", , ,458,4206,3644,236.62903225807,2406.1612903226,964.04838709677,0,1074,0,62,62,62,458,3132,3644,126.84225828789,894.86198576035,1108.9055367449,14671,149182,59771,4453011,407803410,132632097
"Image 11_P8-7.czi",5,13,21557.242931455,22,262.77272727273,172.72727272727,6,31.30295,31.30295,"Fuchsia", , ,39,2205,3527,3.3636363636364,1690.1818181818,708.18181818182,0,983,0,22,22,22,39,1222,3527,10.348892071114,327.75246704438,1042.1960164943,74,37184,15580,2498,65103576,33843096
"Image 11_P8-7.czi",5,14,16657.869537943,17,171.91176470588,229.44117647059,6,31.30295,31.30295,"Fuchsia", , ,473,1566,3600,363.47058823529,1292.6470588235,777.35294117647,195,838,0,17,17,17,278,728,3600,73.112172077448,199.67816016545,1000.7889351142,6179,21975,13215,2331411,29043861,26297975
"Image 11_P8-7.czi",1,2,51820672.383182,52885,194.17762125366,157.8729412877,7,31.30295,31.30295,"Orange",1,11, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P8-7.czi",3,4,130323.33226743,133,197.0037593985,68.605263157895,7,31.30295,31.30295,"Yellow", , ,13337,541,11252,6567.8270676692,117.77443609023,4590.8947368421,1444,0,0,133,133,133,11893,541,11252,3101.5625668736,127.74991054622,2643.9053909148,873521,15664,610589,7006933995,3999064,3725860941
"Image 11_P8-7.czi",5,6,41154.736505505,42,159.57142857143,72.547619047619,7,31.30295,31.30295,"Fuchsia", , ,408,3386,6553,196.2380952381,2261.2380952381,3899.4285714286,0,1332,441,42,42,42,408,2054,6112,116.01467727243,581.66605998857,1829.9589778537,8242,94972,163776,2169230,228626056,775931558
"Image 11_P8-7.czi",5,7,36255.363111993,37,177.7972972973,87.418918918919,7,31.30295,31.30295,"Fuchsia", , ,52,3398,6676,2.5945945945946,2372.2162162162,1790.8918918919,0,1225,0,37,37,37,52,2173,6676,11.044001537938,595.85303627727,1931.0784520542,96,87772,66263,4640,220995632,252916173
"Image 11_P8-7.czi",5,8,24496.866967563,25,259.18,90.42,7,31.30295,31.30295,"Fuchsia", , ,322,1634,8581,158.16,1271.8,6584.28,0,784,4594,25,25,25,322,850,3987,109.30144860278,248.86927626099,929.00567454313,3954,31795,164607,912088,41923343,1104531815
"Image 11_P8-7.czi",5,9,59772.355400853,61,136.94262295082,94.05737704918,7,31.30295,31.30295,"Fuchsia", , ,222,4181,6749,55.44262295082,2582.4098360656,4386.7540983607,0,1136,0,61,61,61,222,3045,6749,72.036686160633,852.68097545427,1912.7809654683,3382,157527,267592,498864,450423165,1393384164
"Image 11_P8-7.czi",5,10,37235.237790695,38,151.65789473684,108.26315789474,7,31.30295,31.30295,"Fuchsia", , ,564,4226,4673,377,2652.8684210526,3152.8947368421,203,901,674,38,38,38,361,3325,3999,104.98210915791,888.1610570725,899.8623555247,14326,100809,119810,5808688,296619725,407709152
"Image 11_P8-7.czi",5,11,26456.616324968,27,244.72222222222,127.05555555556,7,31.30295,31.30295,"Fuchsia", , ,256,2092,7092,54.666666666667,1474.6666666667,3643.037037037,0,780,0,27,27,27,256,1312,7092,83.700013785497,434.96233258666,2329.2813101153,1476,39816,98362,262836,63634326,499400746
