ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 11_P9-2-2.czi",1,2,62726677.557141,64015,202.89259548543,159.38091853472,1,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P9-2-2.czi",4,5,17637.744216645,18,122.16666666667,174.33333333333,1,31.30295,31.30295,"Fuchsia", , ,117,1344,2584,29.333333333333,1099.5,861,0,797,41,18,18,18,117,547,2543,38.391175456623,165.77917629822,614.77906122252,528,19791,15498,40544,22227411,19768984
"Image 11_P9-2-2.czi",4,6,66631.47815177,68,109.73529411765,248.73529411765,1,31.30295,31.30295,"Fuchsia", , ,353,4731,3197,68.882352941177,2426.4411764706,1009.5,0,821,0,68,68,68,353,3910,3197,103.85502659768,1125.8231931168,1082.5233581293,4684,164998,68646,1045298,485278958,147812544
"Image 11_P9-2-2.czi",1,2,62080940.143876,63356,202.6949302355,158.99269208915,2,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P9-2-2.czi",4,5,17637.744216645,18,241,41,2,31.30295,31.30295,"Fuchsia", , ,157,2363,1090,40.444444444444,1756.5555555556,283.38888888889,0,1032,0,18,18,18,157,1331,1090,51.330786797035,391.96551802456,396.56230708262,728,31618,5101,74236,58150602,4119015
"Image 11_P9-2-2.czi",4,6,33315.739075885,34,178.58823529412,70.970588235294,2,31.30295,31.30295,"Fuchsia", , ,382,2610,5973,65.441176470588,1815.9117647059,3035.7058823529,0,1110,71,34,34,34,382,1500,5902,115.68850318105,446.10743152682,1558.3089227596,2225,61741,103214,587273,118683599,393462128
"Image 11_P9-2-2.czi",1,2,61515552.454264,62779,202.8471224454,157.86806894025,3,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P9-2-2.czi",4,5,18617.618895348,19,242.02631578947,41.078947368421,3,31.30295,31.30295,"Fuchsia", , ,92,2387,1843,17.578947368421,1730.6315789474,757.73684210526,0,1105,0,19,19,19,92,1282,1843,35.098774574167,394.9012830972,655.14212555625,334,32882,14397,28046,59713674,18634939
"Image 11_P9-2-2.czi",4,6,47033.98457772,48,179.08333333333,70.875,3,31.30295,31.30295,"Fuchsia", , ,483,2402,6209,77.604166666667,1527.1875,2819.3125,0,754,0,48,48,48,483,1648,6209,128.90467194929,466.26098327147,1618.327099938,3725,73305,135327,1070047,122168247,504621285
"Image 11_P9-2-2.czi",4,7,23516.99228886,24,284,189.5,3,31.30295,31.30295,"Fuchsia", , ,597,1382,5776,248.79166666667,1150.5416666667,1702.7083333333,0,851,0,24,24,24,597,531,5776,185.79253955319,153.1384650986,1871.176228058,5971,27613,40865,2279469,32309289,150111087
"Image 11_P9-2-2.czi",1,2,60804163.437526,62053,201.57572558942,158.00734049925,4,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P9-2-2.czi",4,5,22537.117610158,23,180.9347826087,70.108695652174,4,31.30295,31.30295,"Fuchsia", , ,183,2069,3117,43.260869565217,1404.1739130435,833.65217391304,0,774,0,23,23,23,183,1295,3117,63.698306950031,395.30950499967,917.8764329936,995,32296,19174,132309,48787132,34519384
