ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 5_P1-1_1.czi",1,2,127617898.27954,130239,269.47424734527,211.39139197936,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",1,2,125847264.73512,128432,269.48164787592,212.81305282173,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",1,2,125307353.78715,127881,268.59233584348,213.68130136611,3,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,20577.368252753,21,216.21428571429,221.78571428571,3,31.30295,31.30295,"Fuchsia", , ,476,1561,6517,88.666666666667,1229.9047619048,4491.0952380952,0,838,286,21,21,21,476,723,6231,143.51596891403,225.49742897911,1851.6119708179,1862,25828,94313,577034,32782962,492138003
"Image 5_P1-1_1.czi",1,2,123630788.21189,126170,268.70367757787,214.03255131965,4,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",1,2,121775885.44511,124277,268.38195724068,214.86606129855,5,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,71530.851545283,73,214.80136986301,221.22602739726,5,31.30295,31.30295,"Fuchsia", , ,665,3806,6581,181.31506849315,1901.4657534247,2494.1506849315,0,531,0,73,73,73,665,3275,6581,227.18976873924,912.28434410842,2152.2135676711,13236,138807,182073,6116180,323859673,787623171
"Image 5_P1-1_1.czi",1,2,120719580.54147,123199,268.19128807864,215.01984999878,6,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,74470.47558139,76,214.14473684211,220.72368421053,6,31.30295,31.30295,"Fuchsia", , ,582,5375,7548,182.26315789474,2582.0789473684,2462.1184210526,0,780,0,76,76,76,582,4595,7548,220.93687595758,1312.9314657225,2277.3066955923,13852,196238,187121,6185692,635986186,849673495
"Image 5_P1-1_1.czi",1,2,119362454.11147,121814,268.27963124107,214.2231106441,7,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,85249.097047118,87,213.95977011494,220.87931034483,7,31.30295,31.30295,"Fuchsia", , ,579,7099,8051,175.74712643678,3006.9195402299,2272.2528735632,0,451,0,87,87,87,579,6648,8051,215.09317712633,1841.0065132484,2229.4338326986,15290,261602,197686,6665970,1078096394,876644850
"Image 5_P1-1_1.czi",4,6,57812.606043448,59,351.26271186441,261.39830508475,7,31.30295,31.30295,"Fuchsia", , ,188,4535,8276,33.35593220339,2350.6949152542,1560.2881355932,0,801,0,59,59,59,188,3734,8276,57.035609781677,1049.0873579588,2201.4604325847,1968,138691,92057,254322,389854117,424728271
"Image 5_P1-1_1.czi",1,2,118032764.17247,120457,267.47928721453,214.13680815561,8,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,90148.47044063,92,213.76086956522,220.67391304348,8,31.30295,31.30295,"Fuchsia", , ,608,8530,7346,172.64130434783,3405.2826086957,2182.4347826087,0,197,0,92,92,92,608,8333,7346,208.81947519391,2243.9584496265,2005.5173638737,15883,313286,200784,6710169,1525044174,804209076
"Image 5_P1-1_1.czi",4,6,68591.227509175,70,351.51428571429,261.45714285714,8,31.30295,31.30295,"Fuchsia", , ,233,5360,7234,34.214285714286,2474.7857142857,1933.4857142857,0,584,0,70,70,70,233,4776,7234,64.363301465737,1328.7249951877,2417.6065523203,2395,173235,135344,367785,550539701,664978370
"Image 5_P1-1_1.czi",1,2,117572223.07348,119987,267.02945735788,214.06074408061,9,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,96027.718512845,98,213.97959183674,220.78571428571,9,31.30295,31.30295,"Fuchsia", , ,650,9232,6316,177.30612244898,3492.2448979592,1995.6734693878,0,257,0,98,98,98,650,8975,6316,213.222230914,2470.1040508207,1781.1961507173,17376,342240,195576,7490852,1787023054,698053828
"Image 5_P1-1_1.czi",4,6,69571.102187878,71,351.54225352113,261.27464788732,9,31.30295,31.30295,"Fuchsia", , ,292,5751,9083,42.535211267606,2614.3943661972,2453.7042253521,0,364,0,71,71,71,292,5387,9083,78.641470518499,1441.1568813073,2890.5622804191,3020,185622,174213,561370,630674432,1012341695
"Image 5_P1-1_1.czi",1,2,116293486.61777,118682,266.59313122462,214.36066968875,10,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,95047.843834143,97,213.88144329897,220.87113402062,10,31.30295,31.30295,"Fuchsia", , ,697,8993,6274,160.54639175258,3471.7010309278,2190.8350515464,0,350,0,97,97,97,697,8643,6274,205.95079411408,2438.4017099875,1658.9808158953,15573,336755,212511,6572099,1739909759,729789413
"Image 5_P1-1_1.czi",4,6,64671.728794365,66,351.69696969697,261.80303030303,10,31.30295,31.30295,"Fuchsia", , ,348,5589,9153,69.090909090909,2698.8787878788,2505.6818181818,0,626,0,66,66,66,348,4963,9153,105.72238352223,1348.8700515064,2855.2963589097,4560,178126,165375,1041574,599004760,944303755
"Image 5_P1-1_1.czi",1,2,114643377.65884,116998,267.03919725124,215.93719550762,11,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,87208.846404523,89,214.45505617978,221.0393258427,11,31.30295,31.30295,"Fuchsia", , ,703,8112,7444,174.19101123596,3396.404494382,2361.8876404494,0,475,0,89,89,89,703,7637,7444,214.35722502002,2109.0290728152,1945.6713403102,15503,302280,210208,6743997,1418089470,829623730
"Image 5_P1-1_1.czi",4,6,65651.603473068,67,351.87313432836,261.81343283582,11,31.30295,31.30295,"Fuchsia", , ,396,4896,7782,74.701492537313,2390.0746268657,2757.6567164179,0,451,0,67,67,67,396,4445,7782,122.0129172155,1210.038933927,2572.5208574838,5005,160135,184763,1356433,479371419,946291923
"Image 5_P1-1_1.czi",1,2,114103466.71087,116447,267.22254330296,217.06388743377,12,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-1_1.czi",4,5,87208.846404523,89,215.0393258427,220.98314606742,12,31.30295,31.30295,"Fuchsia", , ,664,6557,8466,184.32584269663,2830.4606741573,2488.2584269663,0,350,0,89,89,89,664,6207,8466,212.64069007263,1692.73141332,2275.9479569865,16405,251911,221455,7002879,965174067,1006871911
