ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 5_P1-3.czi",1,2,74139277.939989,75662,151.50726917079,155.16309375909,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,72899736.47143,74397,151.51243329704,155.20711184591,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,72028627.882063,73508,151.99191924689,155.1639821516,3,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,72337288.405855,73823,151.23780529103,156.36038226569,4,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,72107997.731038,73589,152.3608080012,156.11101523326,5,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,71840491.943753,73316,152.35633422445,155.54499699929,6,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,70607809.597945,72058,151.76802020595,154.96933026173,7,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,69696526.146751,71128,151.49128332021,154.05783938815,8,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,69122319.585032,70542,152.01614640923,153.43245158912,9,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,69138977.45457,70559,152.64923680891,153.69575107357,10,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,69202669.308685,70624,151.32695684187,154.64359141368,11,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,68453065.179478,69859,151.21627134657,154.19906526002,12,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,67720118.919809,69111,150.58309820434,154.28046910043,13,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,67365404.286118,68749,150.89034749596,153.92375889104,14,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,67005790.279034,68382,149.73547132286,153.31104676669,15,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,66825493.338153,68198,149.80651925276,153.322018241,16,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,66688310.883135,68058,150.332437039,152.95544976344,17,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,66236588.656253,67597,150.34309954584,152.38620796781,18,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,65633965.728851,66982,149.76987847481,152.5796631931,19,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,65064658.540525,66401,149.34530353459,151.46936793121,20,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,64684467.165188,66013,149.01223243907,150.46138639359,21,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,64047548.624032,65363,149.36330186803,149.92173706837,22,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,63413569.706911,64716,149.64600716979,148.30406700043,23,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,38215.112469398,39,101.42307692308,127.5,23,31.30295,31.30295,"Fuchsia", , ,499,2067,7117,194.53846153846,1275.1538461539,2432.7692307692,0,318,0,39,39,39,499,1749,7117,163.09423271514,486.35007634536,2163.9066822658,7587,49731,94878,2486753,72403059,408750980
"Image 5_P1-3.czi",1,2,63324401.111149,64625,149.09659574468,148.03275048356,24,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,62694341.692743,63982,149.16681254103,147.99996874121,25,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,62470930.265999,63754,149.07216802083,148.08501427361,26,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,26456.616324968,27,104.5,104.83333333333,26,31.30295,31.30295,"Fuchsia", , ,150,2103,6142,36.888888888889,1482,951.74074074074,0,773,0,27,27,27,150,1330,6142,50.518338888987,376.96174056017,1790.4004621355,996,40014,25697,103096,62995352,107800761
"Image 5_P1-3.czi",1,2,61899663.328316,63171,149.90551835494,147.59309651581,27,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,61095186.217101,62350,149.44848436247,147.15127506014,28,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,26456.616324968,27,100.83333333333,127.27777777778,28,31.30295,31.30295,"Fuchsia", , ,611,2538,7496,231.55555555556,1784.2222222222,4735.5925925926,0,830,1811,27,27,27,611,1708,5685,215.7279863684,452.37198217442,1752.983703888,6252,48174,127861,2657688,91273772,685394353
"Image 5_P1-3.czi",1,2,60442589.681085,61684,149.39277608456,146.97133778614,29,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,59498970.365495,60721,149.22040974292,145.81633207622,30,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,21557.242931455,22,177.04545454546,175.59090909091,30,31.30295,31.30295,"Fuchsia", , ,330,2103,2030,124.45454545455,1560.0909090909,927.04545454546,0,930,12,22,22,22,330,1173,2018,128.54005389195,359.30063139792,607.63479611897,2738,34322,20395,687730,56256476,26660713
"Image 5_P1-3.czi",1,2,59218726.207386,60435,149.41867295441,145.16555803756,31,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,59079584.00301,60293,149.93462756871,145.35459340222,32,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,62711.97943696,64,177.5,154.078125,32,31.30295,31.30295,"Fuchsia", , ,504,3856,6855,170.25,1924.515625,1452.921875,0,365,0,64,64,64,504,3491,6855,160.11166738169,950.95335609391,2005.2667027992,10896,123169,92987,3470096,294012339,388431803
"Image 5_P1-3.czi",1,2,58789541.098114,59997,149.66495824791,145.81521576079,33,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,67611.352830473,69,177.28260869565,154.39855072464,33,31.30295,31.30295,"Fuchsia", , ,615,4872,6752,174.72463768116,2330.2608695652,1382.8115942029,0,680,0,69,69,69,615,4192,6752,166.01256898358,1183.7648396756,1886.0979972307,12056,160788,95414,3980572,469966330,373840450
"Image 5_P1-3.czi",1,2,58662157.389883,59867,150.32416022183,146.08583192744,34,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,70550.97686658,72,177.34722222222,154.44444444444,34,31.30295,31.30295,"Fuchsia", , ,706,5524,6514,193.56944444444,2532.4722222222,1246.375,0,592,0,72,72,72,706,4932,6514,184.7738493165,1385.8237899107,1838.0437506287,13937,182338,89739,5121815,598121958,351715189
"Image 5_P1-3.czi",4,6,21557.242931455,22,160.22727272727,180.27272727273,34,31.30295,31.30295,"Fuchsia", , ,361,1989,7057,169.77272727273,1369.2272727273,2371.9090909091,13,617,0,22,22,22,348,1372,7057,115.58173023292,433.89190356895,2186.0809881109,3735,30123,52182,914643,45198739,224128912
"Image 5_P1-3.czi",1,2,58611203.90659,59815,151.06724901781,146.86181559809,35,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,73490.600902688,75,177.35333333333,154.24666666667,35,31.30295,31.30295,"Fuchsia", , ,766,5608,6094,204.8,2473.6266666667,1024.7733333333,0,581,0,75,75,75,766,5027,6094,195.67754777363,1442.951421457,1686.9424329989,15360,185522,76858,5979166,612988218,289349362
"Image 5_P1-3.czi",1,2,58583767.415586,59787,151.67572381956,147.45102614281,36,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,66631.47815177,68,176.85294117647,154.38235294118,36,31.30295,31.30295,"Fuchsia", , ,781,5078,5717,216.79411764706,2376.5441176471,898.75,0,443,0,68,68,68,781,4635,5717,203.28801411126,1290.8370931336,1532.6705926331,14742,161605,61115,5964822,495700859,212315409
"Image 5_P1-3.czi",4,6,29396.240361075,30,161.43333333333,179.66666666667,36,31.30295,31.30295,"Fuchsia", , ,337,3846,4177,172.2,2646.7666666667,1784.6666666667,0,1115,0,30,30,30,337,2731,4177,111.04252059149,720.98350850781,1307.4637288655,5166,79403,53540,1247168,225235913,145125434
"Image 5_P1-3.czi",1,2,58374074.234344,59573,151.37141825995,147.22541251909,37,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,57812.606043448,59,177.00847457627,154.1779661017,37,31.30295,31.30295,"Fuchsia", , ,576,4075,5046,155.77966101695,2081.2372881356,954.05084745763,0,516,0,59,59,59,576,3559,5046,165.16418871646,989.16206856913,1426.8646411859,9191,122793,56289,3013965,312310983,171787245
"Image 5_P1-3.czi",4,6,57812.606043448,59,160.65254237288,179.68644067797,37,31.30295,31.30295,"Fuchsia", , ,372,4550,4170,154.62711864407,2292.7457627119,1145.7288135593,0,716,0,59,59,59,372,3834,4170,127.103934976,1076.1586793845,1153.1534101146,9123,135272,67598,2347677,377315120,154575218
"Image 5_P1-3.czi",1,2,58633741.0242,59838,151.91590628029,147.49000635048,38,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,42134.611184208,43,100.01162790698,163.10465116279,38,31.30295,31.30295,"Fuchsia", , ,255,2206,6773,134.58139534884,1408.6279069767,2655.023255814,0,442,0,43,43,43,255,1764,6773,75.274175853261,450.93680389542,2430.5760192104,5787,60571,114166,1016803,93862449,551236776
"Image 5_P1-3.czi",4,6,51933.357971233,53,160.44339622642,179.93396226415,38,31.30295,31.30295,"Fuchsia", , ,412,4801,3137,150.98113207547,2528.320754717,929.75471698113,0,739,0,53,53,53,412,4062,3137,134.55374827784,1121.6301970721,967.12450287637,8002,134001,49277,2149596,404216333,94452673
"Image 5_P1-3.czi",1,2,58545552.303117,59748,151.18149561492,147.62775323023,39,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,54872.98200734,56,160.19642857143,179.875,39,31.30295,31.30295,"Fuchsia", , ,428,4501,3046,138.82142857143,2283.2678571429,1012.9642857143,0,734,0,56,56,56,428,3767,3046,135.02984278136,1066.2253128946,1061.2648365261,7774,127863,56726,2082016,354471481,119406980
"Image 5_P1-3.czi",1,2,58129105.564668,59323,150.79406806803,147.14189268918,40,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,58195737.04282,59391,150.28052230136,147.35583674294,41,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,55852.856686043,57,99.587719298246,162.81578947368,41,31.30295,31.30295,"Fuchsia", , ,466,3767,5833,221.68421052632,2057.6666666667,1323.7192982456,0,422,0,57,57,57,466,3345,5833,132.09198065509,888.55629963388,1747.6573172024,12636,117287,75452,3778306,285551359,270918410
"Image 5_P1-3.czi",4,6,27436.49100367,28,160.35714285714,179.89285714286,41,31.30295,31.30295,"Fuchsia", , ,334,2636,3844,134.14285714286,1800.3214285714,1589,0,811,0,28,28,28,334,1825,3844,109.99013904815,486.42658108194,1226.0261612821,3756,50409,44492,830482,97140895,111282572
"Image 5_P1-3.czi",1,2,58457363.582034,59658,149.90433806028,147.01349358007,42,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",4,5,46054.109899018,47,99.5,163.62765957447,42,31.30295,31.30295,"Fuchsia", , ,514,3790,5789,334.91489361702,2308.1276595745,1576.7021276596,0,849,0,47,47,47,514,2941,5789,126.09155227836,775.50246312006,1841.5422992096,15741,108482,74105,6003253,278054892,272840301
"Image 5_P1-3.czi",1,2,58714090.747854,59920,150.36405206943,146.26682242991,43,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,59273599.189393,60491,150.33010695806,146.16790101007,44,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,59556782.971538,60780,150.55225403093,145.94911154985,45,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,59545024.475394,60768,151.1870556872,145.38635466035,46,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P1-3.czi",1,2,59400982.897624,60621,151.06353408885,144.43396677719,47,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
