ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 12_P2-1_1.czi",1,2,76427285.314759,77997,134.56679744093,175.65945485083,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_P2-1_1.czi",1,2,78393893.794915,80004,141.07678366082,184.73266336683,2,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_P2-1_1.czi",4,5,26456.616324968,27,64.833333333333,316.05555555556,2,31.30295,31.30295,"Fuchsia", , ,3034,1964,1797,1211.1111111111,1493.7037037037,330.85185185185,0,661,0,27,27,27,3034,1303,1797,1053.4455311878,323.00450280439,574.55606298748,32700,40330,8933,68456768,62953700,11538481
"Image 12_P2-1_1.czi",1,2,77797150.115585,79395,139.76965174129,184.55512941621,3,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_P2-1_1.czi",4,5,43114.48586291,44,63.931818181818,315.09090909091,3,31.30295,31.30295,"Fuchsia", , ,2645,2117,1638,770.04545454546,1600.8636363636,335.34090909091,0,438,0,44,44,44,2645,1679,1638,871.89000678546,383.54045848919,474.30889469823,33882,70438,14755,58778944,119087074,14621619
"Image 12_P2-1_1.czi",1,2,79108222.435689,80733,142.75663607199,183.0325703244,4,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_P2-1_1.czi",4,5,40174.861826803,41,63.524390243902,315.64634146342,4,31.30295,31.30295,"Fuchsia", , ,2276,2015,1428,666.0243902439,1557.756097561,357.73170731707,0,815,0,41,41,41,2276,1200,1428,800.40269514179,322.92652264004,446.3982540507,27307,63868,14667,43812907,103662028,13217707
"Image 12_P2-1_1.czi",1,2,74005035.109006,75525,132.57384309831,172.22963919232,5,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_P2-1_1.czi",4,5,31355.98971848,32,146.21875,22.15625,5,31.30295,31.30295,"Fuchsia", , ,1461,2014,2068,242.78125,1518.65625,783.09375,0,750,0,32,32,32,1461,1264,2068,408.54041805614,358.36786014581,696.38228097073,7769,48597,25059,7060231,77783391,34656943
