ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 16_P5-1.czi",1,2,76937800.022363,78518,235.00360426909,218.16996102805,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P5-1.czi",1,2,78072494.9003,79676,235.63463276269,218.65096139364,2,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P5-1.czi",4,5,29396.240361075,30,285.16666666667,106.13333333333,2,31.30295,31.30295,"Fuchsia", , ,3881,2993,6850,2158.6,2192.6666666667,2961.4666666667,475,1344,0,30,30,30,3406,1649,6850,830.93605712743,506.059239638,2022.8802227028,64758,65780,88844,159809806,151660396,381777832
"Image 16_P5-1.czi",1,2,78124428.258272,79729,235.01589760313,219.00281578848,3,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P5-1.czi",4,5,32335.864397183,33,284.28787878788,105.95454545455,3,31.30295,31.30295,"Fuchsia", , ,4092,3299,7197,2545.2727272727,2325.0606060606,3773.9696969697,726,1338,0,33,33,33,3366,1961,7197,897.90047724982,574.9015100103,1987.8938522474,83994,76727,124541,239586846,188971301,596469063
"Image 16_P5-1.czi",1,2,77978426.931145,79580,234.96455139482,218.88735863282,4,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P5-1.czi",4,5,37235.237790695,38,284.36842105263,106.13157894737,4,31.30295,31.30295,"Fuchsia", , ,4140,3570,8060,2661.052631579,2429.0789473684,3979.8947368421,1258,1019,0,38,38,38,2882,2551,8060,770.45377809579,666.83862392307,2284.8955004725,101120,92305,151236,291048806,240669061,795071016
"Image 16_P5-1.czi",4,6,18617.618895348,19,273.39473684211,165.92105263158,4,31.30295,31.30295,"Fuchsia", , ,1905,2318,6465,539.36842105263,1734.7368421053,4018.7368421053,0,762,987,19,19,19,1905,1556,5478,703.65278768298,464.13011132,1515.2532183729,10248,32960,76356,14439738,61054428,348182532
"Image 16_P5-1.czi",1,2,78056816.905441,79660,235.78039166457,218.41461210143,5,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P5-1.czi",4,5,48013.859256423,49,284.05102040816,105.70408163265,5,31.30295,31.30295,"Fuchsia", , ,4215,3743,8369,2672.0408163265,2410.8979591837,4611.6734693878,1068,1047,0,49,49,49,3147,2696,8369,781.75558198582,711.71363754726,2555.7849690111,130930,118134,225972,379185110,309122762,1355646844
"Image 16_P5-1.czi",4,6,18617.618895348,19,273.34210526316,165.6052631579,5,31.30295,31.30295,"Fuchsia", , ,1694,2691,6096,483.21052631579,2036.2105263158,3759,0,1341,1223,19,19,19,1694,1350,4873,632.02571844185,456.69459512499,1464.2305905226,9181,38688,71421,11626573,82531172,307063021
"Image 16_P5-1.czi",1,2,78769185.796858,80387,236.41207533556,215.86273278018,6,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P5-1.czi",4,5,54872.98200734,56,284.39285714286,105.75,6,31.30295,31.30295,"Fuchsia", , ,4132,3807,9132,2466.0892857143,2361.3392857143,5008.8928571429,483,1129,3,56,56,56,3649,2678,9129,870.69523478834,740.61633489917,2677.383571383,138101,132235,280498,382265457,342419891,1799245482
"Image 16_P5-1.czi",4,6,27436.49100367,28,273.64285714286,166,6,31.30295,31.30295,"Fuchsia", , ,2471,2784,6054,509.35714285714,1931.5,3933.0714285714,0,814,1375,28,28,28,2471,1970,4679,679.64616144131,503.34448111275,1492.3211581806,14262,54082,110126,19736262,111299986,493263030
"Image 16_P5-1.czi",4,7,17637.744216645,18,376,169,6,31.30295,31.30295,"Fuchsia", , ,2738,2594,6714,1061.1111111111,2003.6666666667,4306.3888888889,0,1067,493,18,18,18,2738,1527,6221,918.02081796778,411.58788640495,1820.0317430615,19100,36066,77515,34594180,75144120,390122499
