ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 37_P3-8.czi",1,2,53176818.938506,54269,146.98449390997,159.58321509517,1,31.30295,31.30295,"Orange",0,32, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 37_P3-8.czi",4,5,22537.117610158,23,219.67391304348,60.5,1,31.30295,31.30295,"Fuchsia", , ,732,10409,2486,125.04347826087,7947.6956521739,1314.7391304348,0,5534,231,23,23,23,732,4875,2255,221.56642309226,1435.9091651058,640.80973047539,2876,182797,30239,1439642,1498175295,48790413
"Image 37_P3-8.czi",4,6,48013.859256423,49,83.683673469388,74.622448979592,1,31.30295,31.30295,"Fuchsia", , ,2141,11988,3058,684.4693877551,7553,932.48979591837,0,3895,0,49,49,49,2141,8093,3058,662.96612853526,2305.7993281434,830.04437939709,33539,370097,45692,44053575,3050544747,75678060
"Image 37_P3-8.czi",4,7,17637.744216645,18,237.5,100,1,31.30295,31.30295,"Fuchsia", , ,650,7553,1809,59.111111111111,6512.1666666667,874.77777777778,0,5373,11,18,18,18,650,2180,1798,166.83062523512,663.27531769155,563.9180745208,1064,117219,15746,536046,770828545,19180312
"Image 37_P3-8.czi",4,8,29396.240361075,30,189.43333333333,102.26666666667,1,31.30295,31.30295,"Fuchsia", , ,1482,14138,6515,858.5,11616.9,5791.6333333333,0,8255,4499,30,30,30,1482,5883,2016,460.09577338817,1490.1887487485,501.3382424405,25755,348507,173749,28249623,4112970181,1013579361
"Image 37_P3-8.czi",4,9,89168.595761928,91,104.42307692308,113.71978021978,1,31.30295,31.30295,"Fuchsia", , ,3053,20553,6664,967.36263736264,12399.362637363,4001.5164835165,0,4343,541,91,91,91,3053,16210,6123,897.49645021252,3902.5412134388,1414.1968538333,88030,1128342,364138,157651922,15361406150,1637099956
"Image 37_P3-8.czi",4,10,17637.744216645,18,213.5,143,1,31.30295,31.30295,"Fuchsia", , ,1634,14956,6863,1049,12198.222222222,5611.5555555556,320,9034,4091,18,18,18,1314,5922,2772,430.42045107764,1686.3888518005,759.2470900773,18882,219568,101008,22956668,2726685682,576611758
"Image 37_P3-8.czi",4,11,21557.242931455,22,71.409090909091,144.59090909091,1,31.30295,31.30295,"Fuchsia", , ,1443,14202,9020,1076.0454545455,11090.090909091,5247.3636363636,227,7219,513,22,22,22,1216,6983,8507,339.97373529824,2222.5324018012,2526.7702431111,23673,243982,115442,27900449,2809515216,739842078
"Image 37_P3-8.czi",4,12,65651.603473068,67,205.36567164179,157.23134328358,1,31.30295,31.30295,"Fuchsia", , ,2557,19808,6290,568.73134328358,13370.059701493,3186.3134328358,0,8059,0,67,67,67,2557,11749,6290,592.61842141183,3140.1395639733,1960.1029673708,38105,895794,213483,44850483,12627610708,933795991
