ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 28_P3-2_1.czi",1,2,53393371.242499,54490,171.18526335107,182.35076160763,1,31.30295,31.30295,"Orange",9,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P3-2_1.czi",3,4,46054.109899018,47,178.98936170213,68.585106382979,1,31.30295,31.30295,"Yellow", , ,11220,321,2302,7127.0212765957,71.021276595745,971.72340425532,3240,0,0,47,47,47,7980,321,2302,2136.2230433271,103.76823870314,738.25218685545,334970,3338,45671,2597256966,732390,69450329
"Image 28_P3-2_1.czi",3,5,145021.45244797,148,141.08783783784,90.148648648649,1,31.30295,31.30295,"Yellow", , ,15754,344,5146,7580.9594594595,47.398648648649,2820.7027027027,2279,0,50,148,148,148,13475,344,5096,2929.3212951204,74.335216095085,1169.1792368511,1121982,7015,417464,9767095774,1144783,1378487906
"Image 28_P3-2_1.czi",3,6,39194.9871481,40,225.7,112.7,1,31.30295,31.30295,"Yellow", , ,8773,240,3468,5715.25,53.625,2132.325,1209,0,651,40,40,40,7564,240,2817,2129.2052297175,64.0331194353,775.49971937041,228610,2145,85293,1483370384,274935,205326989
"Image 28_P3-2_1.czi",3,7,73490.600902688,75,264.59333333333,117.23333333333,1,31.30295,31.30295,"Yellow", , ,9548,209,758,5244.52,45.493333333333,76.186666666667,863,0,0,75,75,75,8685,209,758,2155.4842270295,62.433613030451,167.30096632516,393339,3412,5714,2406686559,443672,2506562
"Image 28_P3-2_1.czi",3,8,28416.365682373,29,216.94827586207,171.18965517241,1,31.30295,31.30295,"Yellow", , ,8335,31,4271,6387.7931034483,2.5172413793103,2933.1724137931,3503,0,1688,29,29,29,4832,31,2583,1220.2224439863,8.0650068180609,696.96623555057,185246,73,85062,1225003520,2005,263102846
"Image 28_P3-2_1.czi",3,9,39194.9871481,40,116.5,174.25,1,31.30295,31.30295,"Yellow", , ,8523,393,4135,6281.875,155.825,2794.35,3647,11,1904,40,40,40,4876,382,2231,1321.097061352,107.61991225057,541.03692229094,251275,6233,111774,1646544741,1422957,323751794
"Image 28_P3-2_1.czi",3,10,63691.854115663,65,265.43846153846,189.06923076923,1,31.30295,31.30295,"Yellow", , ,16194,279,3990,9186.5846153846,87.323076923077,2219.7692307692,3486,0,847,65,65,65,12708,279,3143,3503.9461320966,83.153492803277,896.21781269313,597128,5676,144285,6271335762,938174,371684611
"Image 28_P3-2_1.czi",3,11,33315.739075885,34,258.52941176471,200.11764705882,1,31.30295,31.30295,"Yellow", , ,10408,272,4419,7714.8235294118,107.41176470588,3167.3823529412,4755,0,1784,34,34,34,5653,272,2635,1592.1400591388,95.902449694455,751.84230352921,262304,3652,107691,2107281100,695778,359752379
