ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 28_P4-2.czi",1,2,72700821.911653,74194,176.16281640025,186.87593336388,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P4-2.czi",1,2,72534243.216274,74024,176.87793148168,186.52496487626,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P4-2.czi",1,2,71718987.483593,73192,176.91087823806,186.09880861296,3,31.30295,31.30295,"Orange",0,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P4-2.czi",4,5,27436.49100367,28,171,57.785714285714,3,31.30295,31.30295,"Fuchsia", , ,1295,2672,2665,802.60714285714,1981.8571428571,1903.6071428571,239,1224,780,28,28,28,1056,1448,1885,328.08934411966,414.38734020825,521.14378049353,22473,55492,53301,20943341,114613572,108797117
"Image 28_P4-2.czi",4,6,16657.869537943,17,149.44117647059,148.08823529412,3,31.30295,31.30295,"Fuchsia", , ,2430,2278,3812,1692.1176470588,1859.9411764706,2877.7058823529,1244,1265,1867,17,17,17,1186,1013,1945,350.5238726451,288.71839017203,491.3448082439,28766,31619,48921,50641328,60143213,144642965
"Image 28_P4-2.czi",1,2,70994860.096032,72453,176.45034022056,186.10421238596,4,31.30295,31.30295,"Orange",1,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P4-2.czi",3,4,25476.741646265,26,106.65384615385,67.961538461539,4,31.30295,31.30295,"Yellow", , ,8279,291,706,6298.3846153846,52.461538461539,321.65384615385,3250,0,0,26,26,26,5029,291,706,1259.9111421659,85.70471668198,210.7933475815,163758,1364,8363,1071095270,255190,3800837
"Image 28_P4-2.czi",5,6,30376.115039778,31,170.98387096774,58.08064516129,4,31.30295,31.30295,"Fuchsia", , ,1628,3043,2423,885.87096774194,2130.6451612903,1648.7419354839,94,812,330,31,31,31,1534,2231,2093,445.46849809577,566.73106781419,579.88268743152,27462,66050,51111,30281054,150364636,94356767
"Image 28_P4-2.czi",5,7,20577.368252753,21,149.35714285714,147.5,4,31.30295,31.30295,"Fuchsia", , ,2445,2876,4189,1572.9047619048,2341.9523809524,3022.2380952381,963,1837,1916,21,21,21,1482,1039,2273,418.21333129898,309.76644043383,572.80755099439,33031,49181,63467,55452665,117098665,198374555
"Image 28_P4-2.czi",1,2,70373619.549735,71819,176.38735571367,186.36581545274,5,31.30295,31.30295,"Orange",1,2, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P4-2.czi",3,4,30376.115039778,31,105.91935483871,68.048387096774,5,31.30295,31.30295,"Yellow", , ,9109,238,777,6624.2580645161,34.483870967742,312.51612903226,3962,0,0,31,31,31,5147,238,777,1479.4417633631,63.291848325958,216.92777153817,205352,1069,9688,1425967080,157039,4439386
"Image 28_P4-2.czi",5,6,34295.613754588,35,170.67142857143,57.814285714286,5,31.30295,31.30295,"Fuchsia", , ,1800,3348,2584,828.51428571429,2280.6285714286,1357.0857142857,0,1217,3,35,35,35,1800,2131,2581,513.89294899348,592.33273070593,717.70227201849,28998,79822,47498,33004180,193973508,81972140
"Image 28_P4-2.czi",5,7,30376.115039778,31,149.11290322581,146.85483870968,5,31.30295,31.30295,"Fuchsia", , ,2446,3457,4489,1324.7419354839,2425.1935483871,3476.0967741936,467,1494,2322,31,31,31,1979,1963,2167,480.48426736241,595.44456329451,614.13192691466,41067,75181,107759,61329131,192965103,385895453
"Image 28_P4-2.czi",1,2,69859185.343416,71294,176.14565040536,186.44682581985,6,31.30295,31.30295,"Orange",1,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P4-2.czi",3,4,34295.613754588,35,106.44285714286,69.014285714286,6,31.30295,31.30295,"Yellow", , ,9646,118,1585,6932.7142857143,21.142857142857,417.71428571429,4539,0,0,35,35,35,5107,118,1585,1511.1383432489,32.798980307987,425.46967621459,242645,740,14620,1759828787,52222,12261814
"Image 28_P4-2.czi",5,6,43114.48586291,44,170.36363636364,57.704545454546,6,31.30295,31.30295,"Fuchsia", , ,2025,3485,2522,768.95454545455,2153.5,1066.0681818182,0,834,0,44,44,44,2025,2651,2522,611.1404875806,740.32712756859,688.95385465776,33834,94754,46907,42076994,227620362,70416329
"Image 28_P4-2.czi",5,7,27436.49100367,28,148.82142857143,147.5,6,31.30295,31.30295,"Fuchsia", , ,2591,3973,4550,1473.6071428571,2993.0714285714,3743,595,1950,2881,28,28,28,1996,2023,1669,465.4758090771,558.35120558934,464.36599550115,41261,83806,104804,66652533,259254758,398103538
"Image 28_P4-2.czi",5,8,21557.242931455,22,190.81818181818,297.13636363636,6,31.30295,31.30295,"Fuchsia", , ,2322,2396,2512,1862.8181818182,1861.7727272727,1845.5909090909,1225,1276,973,22,22,22,1097,1120,1539,335.50681440296,322.86322208198,487.67179235248,40982,40959,40603,78705876,78445403,79930827
"Image 28_P4-2.czi",1,2,69125259.209068,70545,176.58112552272,186.2506272592,7,31.30295,31.30295,"Orange",3,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P4-2.czi",3,4,40174.861826803,41,106.13414634146,69.060975609756,7,31.30295,31.30295,"Yellow", , ,9884,150,1847,6750.8292682927,23.658536585366,600.0243902439,3512,0,0,41,41,41,6372,150,1847,1829.7546816778,38.287471682064,559.692749989,276784,970,24601,2002441616,81586,27291439
"Image 28_P4-2.czi",3,5,26456.616324968,27,209.27777777778,191.61111111111,7,31.30295,31.30295,"Yellow", , ,8372,1038,3740,7393.2962962963,531.7037037037,3212.7777777778,6382,77,2708,27,27,27,1990,961,1032,635.75157308344,242.98904926494,274.31429662585,199619,14356,86745,1486351095,9168274,280648865
"Image 28_P4-2.czi",3,6,33315.739075885,34,191.14705882353,322,7,31.30295,31.30295,"Yellow", , ,6797,265,1244,4670.5588235294,48.205882352941,392.26470588235,1929,0,0,34,34,34,4868,265,1244,1344.4326772686,71.485442218663,368.89624958652,158799,1639,13337,801327545,247645,9722421
"Image 28_P4-2.czi",7,8,41154.736505505,42,169.85714285714,57.904761904762,7,31.30295,31.30295,"Fuchsia", , ,2056,3543,2353,693.26190476191,2199.4047619048,712.83333333333,0,1140,0,42,42,42,2056,2403,2353,602.84549084357,712.59378705026,632.30264121013,29117,92375,29939,35086037,223989401,37733589
"Image 28_P4-2.czi",7,9,40174.861826803,41,148.76829268293,147.15853658537,7,31.30295,31.30295,"Fuchsia", , ,2766,4420,4533,1509.1463414634,2846.7804878049,3749.8292682927,372,1493,2992,41,41,41,2394,2927,1541,521.06163555647,861.492266715,409.6725462146,61875,116718,153743,104238639,361957282,583223265
"Image 28_P4-2.czi",7,10,25476.741646265,26,190.73076923077,297.65384615385,7,31.30295,31.30295,"Fuchsia", , ,2192,2683,2420,1762.7307692308,2046.4230769231,1880.0769230769,924,1379,1085,26,26,26,1268,1304,1335,308.23712400583,354.77059326578,395.19057914651,45831,53207,48882,83162967,112030587,95806310
"Image 28_P4-2.czi",1,2,68838155.928208,70252,176.82860274441,186.36454478164,8,31.30295,31.30295,"Orange",4,5, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P4-2.czi",3,4,39194.9871481,40,105.775,68.775,8,31.30295,31.30295,"Yellow", , ,10068,89,1668,6931.525,10.1,507.825,3542,0,0,40,40,40,6526,89,1668,1738.1207503936,19.244446418349,487.44566495359,277261,404,20313,2039663039,18524,19581977
"Image 28_P4-2.czi",3,5,39194.9871481,40,125.35,68.45,8,31.30295,31.30295,"Yellow", , ,9804,1411,2325,6960.425,499.15,1298.175,4202,0,578,40,40,40,5602,1411,1747,1529.0052722067,418.10375046613,438.82026502886,278417,19966,51927,2029077075,16783648,74920299
"Image 28_P4-2.czi",3,6,27436.49100367,28,208.10714285714,189.78571428571,8,31.30295,31.30295,"Yellow", , ,9787,1186,3663,8010.1785714286,774.96428571429,3045.1071428571,6152,426,2203,28,28,28,3635,760,1460,1057.8467316544,237.7035941614,424.33899265544,224285,21699,85263,1826776973,18341531,264496687
"Image 28_P4-2.czi",3,7,28416.365682373,29,192.3275862069,224.98275862069,8,31.30295,31.30295,"Yellow", , ,8459,3499,6969,7596.2413793104,1700.4482758621,5427,5962,630,3680,29,29,29,2497,2869,3289,615.48764959017,738.12777572755,840.71954725869,220291,49313,157383,1683990711,99109519,873908203
"Image 28_P4-2.czi",8,9,30376.115039778,31,169.98387096774,57.887096774194,8,31.30295,31.30295,"Fuchsia", , ,2045,3387,1658,602.77419354839,2299.1935483871,520.74193548387,0,1129,0,31,31,31,2045,2258,1658,662.75700472483,622.07279420525,496.86087709015,18686,71275,16143,24440844,175484257,15812459
