ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R,ClassColorName::Region Class Color Name
,,,"nm²","pixel","pixel",,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²",
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,33315.739075885,274.5,216.23529411765,19,2652,4280,1756,2158.8823529412,3093.8235294118,1261.7647058824,1305,2089,619,34,34,34,1347,2191,1137,368.91805484998,633.18925652691,272.92657008062,73402,105190,42900,162957600,338669942,56587840,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,43114.48586291,274,216.5,20,2785,5063,1746,2246.9318181818,3372.7045454546,1012.9318181818,1335,2061,378,44,44,44,1450,3002,1368,357.32842021632,883.25693750645,322.13881145832,98865,148399,44569,227633309,534052123,49607615,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,40174.861826803,273.5,216.25609756098,21,2894,5912,1264,2392.4146341463,3932.243902439,728.21951219512,1755,2257,109,41,41,41,1139,3655,1155,294.53709236782,1013.184207844,292.48696656391,98089,161222,29857,238139643,675025916,25164395,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,44094.360541613,273.5,216.5,22,2961,6543,776,2413.2222222222,4150.4888888889,464.68888888889,1796,2289,0,45,45,45,1165,4254,776,313.94968393105,1187.5092080451,230.44037112985,108595,186772,20911,266400701,837242948,12053631,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,272.5,214,26,3293,6146,4,2548.7692307692,4145.4230769231,0.15384615384615,1931,2766,0,26,26,26,1362,3380,4,284.69047159219,951.60639649288,0.78446454055274,66268,107781,4,170928056,469436713,16,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,29396.240361075,253.13333333333,192.13333333333,28,3002,3829,3680,1343.1666666667,3265.0666666667,2284.8,425,2340,673,30,30,30,2577,1489,3007,705.25979968907,404.79462083564,801.83132631625,40295,97952,68544,68547251,324571712,175254402,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,262,198.5,34,4659,3976,716,1976.6923076923,3267.4230769231,56.961538461539,319,2469,0,26,26,26,4340,1507,716,1137.4450586901,428.65213617356,166.31283312342,51394,84953,1481,133934656,282170959,775859,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,261.5,199,36,4465,4076,909,1787.7307692308,3350.1538461539,89.538461538462,247,2584,0,26,26,26,4218,1492,909,1096.208212255,441.89706424078,206.4149666607,46481,87104,2328,113137325,296693626,1273624,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,261.5,198,37,6093,4023,2371,2466.3461538462,3305.5769230769,529.03846153846,273,2445,0,26,26,26,5820,1578,2371,1561.4294205582,462.24471208025,716.40348858834,64125,85945,13755,219105993,289439563,20107773,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,6,25476.741646265,274.5,218,37,3254,3745,0,1176.9230769231,3169,0,182,2488,0,26,26,26,3072,1257,0,899.39864011803,379.89609105649,0,30600,82394,0,56236794,264714612,0,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,25476.741646265,299,213.5,40,892,4084,5707,242.92307692308,3141.2692307692,2053.8076923077,0,2265,0,26,26,26,892,1819,5707,255.85447787005,521.09412260683,1897.4544003845,6316,81673,53399,3170840,263345359,199679607,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",4,5,27436.49100367,252,277,43,2468,4089,3919,1653.1785714286,3006.75,593.82142857143,1119,2031,0,28,28,28,1349,2058,3919,330.52349651126,631.11380819064,1074.3918194709,46289,84189,16627,79473619,263889501,41040049,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,25476.741646265,256,138.5,48,4161,3794,7499,1925.1923076923,3122.0769230769,5508.1923076923,322,2166,3757,26,26,26,3839,1628,3742,1143.5733476863,423.58214533447,1109.8524233151,50055,81174,143213,129059501,257917018,819639055,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,7,25476.741646265,315,181.5,48,1274,4036,6062,490.65384615385,3029.1923076923,2104.8076923077,0,2106,0,26,26,26,1274,1930,6062,337.91655091844,584.74993077252,1905.751085934,12757,78759,54725,9113961,247124469,205982781,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,38215.112469398,255.96153846154,137.9358974359,49,5450,4472,8403,2704.4615384615,3392.8717948718,5806.358974359,551,2076,3707,39,39,39,4899,2396,4696,1439.4495081939,615.88319891831,1375.730035619,105474,132322,226448,363986942,463365442,1386758436,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,8,29396.240361075,315.13333333333,181.86666666667,49,1195,4299,6437,384.6,3194.6333333333,2162.4666666667,0,2294,0,30,30,30,1195,2005,6437,332.89778901494,593.68350347542,2013.0693280511,11538,95839,64874,7651322,316391807,257808858,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,45074.235220315,256.04347826087,137.63043478261,50,6425,5147,9301,3222.4347826087,3616.9130434783,5674.8260869565,873,1922,3469,46,46,46,5552,3225,5832,1596.8632537596,888.96018723718,1556.291679379,148232,166378,261042,592416704,637336018,1590359922,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,8,29396.240361075,315.86666666667,181.13333333333,50,1188,4453,6059,420.73333333333,3205.2,2072.7,0,1992,0,30,30,30,1188,2461,6059,361.53923174665,784.66669401068,2012.3686532422,12622,96156,62181,9101104,326054564,246321759,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,52913.232649935,255.5,138,51,6920,5678,9265,3231.2037037037,3829.9444444444,5610.5,870,2150,3490,54,54,54,6050,3528,5775,1629.838565679,999.01100937645,1620.8258173501,174485,206817,302967,704584387,844992839,1839031399,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,8,38215.112469398,315.9358974359,180.96153846154,51,1697,4480,4960,576.41025641026,3153.8461538462,1549.5897435897,0,1987,0,39,39,39,1697,2493,4960,564.07146420834,762.06342250434,1604.3863348555,22480,123000,60434,25048414,409991222,191462016,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",7,8,53893.107328638,254.97272727273,138.19090909091,52,6661,6065,10456,3236.2181818182,4037.2727272727,5370.8909090909,1161,2079,3376,55,55,55,5500,3986,7080,1395.1522642364,1093.8421826474,1809.2369239926,177992,222050,295399,681129238,961086908,1763316069,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",7,9,44094.360541613,315.67777777778,180.9,52,2070,4452,4092,674.06666666667,3165.4,1101.3333333333,0,1912,0,45,45,45,2070,2540,4092,670.77256679417,683.39494770261,1342.4920856378,30333,142443,49560,40243641,471438333,133882620,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",7,8,44094.360541613,255.45555555556,137.76666666667,53,6998,6301,10546,3798.0222222222,4356.5111111111,4954.9333333333,1852,2345,3045,45,45,45,5146,3956,7501,1357.9334146363,1070.1542926611,1956.2802875959,170911,196043,222972,730259035,904453637,1273200828,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,35275.48843329,255.36111111111,137.88888888889,54,7194,6259,9110,4168.7777777778,4469.5277777778,4554.3611111111,2033,2381,2730,36,36,36,5161,3878,6380,1414.424185942,1020.132694061,1711.927704628,150076,160903,163957,695654346,755583903,849293761,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",6,7,52913.232649935,316,179.5,55,3387,4750,1477,1819.1851851852,3304.6481481482,186.24074074074,0,1912,0,54,54,54,3387,2838,1477,1323.7026268406,769.05374735272,371.62031420728,98236,178451,10057,271575474,621064281,9192411,"White"
"Image 8_Out_Channel Alignment_P2-6.czi",5,6,25476.741646265,255,137.5,56,7156,5585,9094,4690.9230769231,3968.3846153846,5011.6538461539,2295,2364,2605,26,26,26,4861,3221,6489,1313.2729167413,863.9565302455,1916.0824396107,121964,103178,130303,615240886,428110510,744817829,"White"
