ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I
,,,"nm²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#"
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,65764289.061118,311.88639648365,235.02369813008,9,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,65119531.522532,311.49041485472,235.59333854974,10,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,65080336.535384,311.60307601969,235.71369528886,11,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,64694265.911975,311.54992199688,235.6888887206,12,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,64670748.919686,311.59518326035,236.0694328702,13,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,64702104.909405,312.24313579985,236.87871605761,14,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,64365028.019931,312.58284744318,237.0680271591,15,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,64524747.59256,313.06365983295,236.60410022779,16,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,64325833.032783,312.83855317075,236.56934056393,17,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,64318973.910032,313.28833028641,236.92713284583,18,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63959359.902948,313.53261685536,236.80177868338,19,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63466482.939561,313.06685193763,237.61086922958,20,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63302843.868218,313.91665247744,237.70492856369,21,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,63159782.165127,313.90237677832,238.03496129202,22,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,62416057.283992,313.86665201419,238.70534396684,23,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61846750.095666,314.27739753157,238.39959915712,24,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61684090.899001,314.73435688075,238.99327254531,25,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61261764.91248,315.23841970569,239.10735764555,26,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,61248046.666979,315.27570153265,239.04514766582,27,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60272091.486991,314.79084701675,239.84327751585,28,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,60063378.180427,315.31782142682,240.0830138506,29,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59795872.393141,315.66580361825,240.25491609858,30,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59751778.0326,316.07962577281,240.79706948294,31,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59546984.224751,316.05206516373,240.50839229883,32,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59191289.716382,316.6804592183,239.80898736901,33,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59518567.859069,316.71726675557,240.45120264731,34,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59580299.963827,316.92587658707,240.71756792316,35,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59444097.383487,317.31298936784,240.29996703206,36,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59512688.610996,317.55770972257,240.58500864411,37,31.30295,31.30295,"Yellow",0,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59452916.255596,317.22365428355,240.17376470976,38,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,59267719.941321,317.95437711829,239.69173348764,39,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,58681754.883457,318.46563527978,239.44997244811,40,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,58242771.027398,318.49111694342,239.49942798499,41,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,58408369.848099,318.60236880956,239.0812810361,42,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,58063453.961195,318.46802011611,239.28022478736,43,31.30295,31.30295,"Yellow",0,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57832203.537022,318.87341579126,238.8550830227,44,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57702860.079433,319.30736313001,238.42884798261,45,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57452992.036364,319.04776320502,238.27759964525,46,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57704819.82879,319.25129903209,238.3277636271,47,31.30295,31.30295,"Yellow",0,0
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57583315.368631,319.35632848926,237.60405676752,48,31.30295,31.30295,"Yellow",1,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57685222.335216,319.3416850688,237.53562085952,49,31.30295,31.30295,"Yellow",2,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57200184.369258,319.55409850107,236.04454817987,50,31.30295,31.30295,"Yellow",2,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57043404.420666,318.97597698188,236.36968994246,51,31.30295,31.30295,"Yellow",2,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57106116.400103,318.61976869885,236.29381938606,52,31.30295,31.30295,"Yellow",3,2
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,57324628.453454,318.22200950395,236.07314279854,53,31.30295,31.30295,"Yellow",3,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56912101.21372,317.8680893924,235.7468104888,54,31.30295,31.30295,"Yellow",2,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,56528970.214347,316.59637718842,235.71124978333,55,31.30295,31.30295,"Yellow",2,1
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55777406.335782,315.21331447745,235.54569330499,56,31.30295,31.30295,"Yellow",1,3
"Image 8_Out_Channel Alignment_P2-6.czi",1,2,55780345.959819,314.66119172259,235.29868601342,57,31.30295,31.30295,"Yellow",1,3
