mr74-MV411_IRF2BP2-DMSO_2h-r1,mr75-MV411_IRF2BP2-DMSO_2h-r2,mr76-MV411_IRF2BP2-DMSO_2h-r3,mr77-MV411_IRF2BP2-DMSO_2h-r4,mr78-MV411_IRF2BP2-DMSO_6h-r1,mr79-MV411_IRF2BP2-DMSO_6h-r2,mr80-MV411_IRF2BP2-DMSO_6h-r3,mr81-MV411_IRF2BP2-DMSO_6h-r4,mr82-MV411_IRF2BP2-VHL_2h-r1,mr83-MV411_IRF2BP2-VHL_2h-r2,mr84-MV411_IRF2BP2-VHL_2h-r3,mr85-MV411_IRF2BP2-VHL_2h-r4,mr86-MV411_IRF2BP2-VHL_6h-r1,mr87-MV411_IRF2BP2-VHL_6h-r2,mr88-MV411_IRF2BP2-VHL_6h-r3,mr89-MV411_IRF2BP2-VHL_6h-r4,genes
454,175,350,46,691,362,910,343,1008,211,457,458,574,48,595,387,DPM1
179,248,209,303,435,767,701,589,437,471,296,485,534,402,456,359,SCYL3
488,687,255,746,900,1713,1357,1366,1045,1074,690,1131,1158,975,1041,628,C1orf112
495,857,396,1048,496,1669,1059,1446,890,1392,646,1267,801,1048,632,779,FGR
437,347,365,541,389,550,735,502,837,642,528,664,483,299,492,338,FUCA2
279,245,145,213,291,616,617,467,407,304,215,332,532,309,420,297,GCLC
1349,1472,613,1497,2390,4425,3304,3431,2046,2054,1649,2151,2828,2603,2367,2198,NFYA
73,55,9,30,57,204,60,91,66,96,18,66,113,148,129,117,STPG1
275,377,101,340,537,1266,804,1060,471,545,297,481,661,676,488,543,NIPAL3
1143,1710,673,1888,1107,2990,1984,2539,2126,2819,1446,2670,1485,2067,1479,1459,LAS1L
9,30,9,21,33,117,63,66,45,60,6,39,18,33,63,60,SEMA3F
982,1004,629,909,1275,2418,1606,2069,1699,1498,1030,1664,1760,1298,1550,1300,ANKIB1
1085,888,844,827,719,1078,990,839,1884,1372,1181,1599,812,596,812,680,CYP51A1
