mr74.MV411_IRF2BP2.DMSO_2h.r1,mr75.MV411_IRF2BP2.DMSO_2h.r2,mr76.MV411_IRF2BP2.DMSO_2h.r3,mr77.MV411_IRF2BP2.DMSO_2h.r4,mr78.MV411_IRF2BP2.DMSO_6h.r1,mr79.MV411_IRF2BP2.DMSO_6h.r2,mr80.MV411_IRF2BP2.DMSO_6h.r3,mr81.MV411_IRF2BP2.DMSO_6h.r4,mr82.MV411_IRF2BP2.VHL_2h.r1,mr83.MV411_IRF2BP2.VHL_2h.r2,mr84.MV411_IRF2BP2.VHL_2h.r3,mr85.MV411_IRF2BP2.VHL_2h.r4,mr86.MV411_IRF2BP2.VHL_6h.r1,mr87.MV411_IRF2BP2.VHL_6h.r2,mr88.MV411_IRF2BP2.VHL_6h.r3,mr89.MV411_IRF2BP2.VHL_6h.r4,genes
0,0,20,1,6,0,8,4,34,2,12,6,2,0,0,4,DPM1
25,13,13,30,12,41,34,39,26,31,15,35,8,19,7,7,SCYL3
17,18,35,14,16,11,7,25,31,38,23,32,6,16,3,21,C1orf112
43,22,18,36,0,25,15,57,10,54,15,35,9,19,17,20,FGR
3,0,0,15,4,5,1,14,12,14,4,3,10,4,1,3,FUCA2
21,28,16,3,16,36,24,27,2,21,19,30,15,10,40,4,GCLC
183,157,17,159,78,223,87,224,251,208,185,289,131,84,122,130,NFYA
0,6,0,0,0,9,15,3,3,6,6,3,0,9,6,9,STPG1
9,14,0,10,5,24,21,38,18,16,15,22,11,16,8,16,NIPAL3
14,33,78,22,12,47,14,50,54,46,7,24,22,15,25,28,LAS1L
0,0,0,18,0,12,0,12,12,15,0,12,3,3,0,15,SEMA3F
53,39,9,22,15,31,49,58,60,72,49,38,32,15,36,12,ANKIB1
44,23,14,31,12,33,43,35,79,58,78,103,14,18,35,31,CYP51A1
20,0,24,4,2,14,16,20,14,24,4,4,8,24,18,16,KRIT1
17,24,0,12,11,20,20,30,21,45,4,31,8,21,15,13,RAD52
2,6,0,9,0,2,9,6,9,11,6,6,3,2,0,0,BAD
48,2,6,21,3,17,66,45,64,30,25,37,28,4,16,23,LAP3
2,4,0,13,0,9,0,9,5,8,1,13,1,6,6,13,MAD1L1
146,166,61,347,49,288,123,265,232,297,94,316,128,229,78,112,LASP1
77,83,0,91,19,90,27,188,90,125,32,183,59,91,44,30,SNX11
177,199,36,161,53,246,147,209,199,260,172,251,117,124,102,124,M6PR
3,4,0,18,4,0,0,0,2,2,2,0,0,0,3,0,KLHL13
0,2,0,0,0,0,0,0,2,4,0,4,0,0,0,0,DBNDD1
25,28,0,18,41,13,48,48,25,42,43,46,15,5,13,20,ALS2
27,30,0,29,19,31,29,50,26,46,19,54,62,29,24,19,CASP10
137,131,62,82,81,195,80,221,160,221,138,205,96,79,93,106,CFLAR
2,6,0,19,3,15,8,9,23,25,12,10,0,6,7,3,NDUFAF7
85,53,0,62,36,71,32,93,83,114,35,88,29,65,35,64,RBM5
0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,SLC7A2
0,14,0,0,0,5,1,5,4,6,2,6,3,2,1,3,ARF5
0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,SARM1
20,39,0,51,25,36,6,36,68,61,27,35,17,38,11,11,POLDIP2
13,36,4,36,19,78,48,36,90,37,34,41,33,31,10,22,PLXND1
168,165,87,276,111,250,191,305,340,294,118,361,86,165,105,77,AK2
63,73,29,64,47,68,59,69,58,72,36,77,26,22,12,21,CD38
11,13,3,4,2,22,11,18,20,21,13,33,8,12,3,7,FKBP4
6,10,2,50,14,20,2,16,10,34,8,22,14,6,4,8,KDM1A
108,55,4,75,39,52,38,80,116,108,55,94,38,65,46,52,RBM6
9,16,0,23,0,14,16,22,27,49,13,19,8,6,5,5,CAMKK1
13,9,0,7,8,6,21,18,36,8,37,35,5,4,10,14,RECQL
29,32,8,16,6,35,20,45,26,30,35,63,14,10,15,20,VPS50
2,4,0,0,0,4,2,15,0,14,0,0,2,2,0,0,ARHGAP33
58,33,64,187,48,63,97,58,106,69,105,82,34,30,42,32,NDUFAB1
0,4,0,0,1,0,0,3,0,2,3,0,0,0,0,0,SLC22A16
0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,ZMYND10
20,25,22,32,6,18,23,17,54,43,31,14,24,24,8,10,SLC25A13
11,8,0,12,0,11,0,9,2,3,4,20,1,7,5,0,ST7
362,230,114,219,179,283,260,327,480,408,321,407,145,102,130,195,CDC27
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SLC4A1
30,18,18,11,11,41,14,39,72,49,11,41,9,7,9,16,HCCS
2,3,0,0,0,2,0,6,6,10,7,0,0,1,2,0,DVL2
100,138,78,186,62,156,112,180,156,230,96,228,44,96,68,84,UPF1
14,11,0,16,9,22,13,18,16,20,19,40,6,11,9,15,SKAP2
19,14,2,29,20,24,19,20,23,20,31,18,15,7,11,14,SLC25A5
