Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210312_DMSO_FLAG_A_MP8736_S138_R1_001	20210312_DMSO_FLAG_A_MP8736_S138_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67947917.0	0.0	100.0	40.0	92.34398070521159	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20210312_DMSO_FLAG_A_MP8736_S138_R2_001	20210312_DMSO_FLAG_A_MP8736_S138_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67947917.0	0.0	100.0	40.0	92.47385052618144	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20210312_DMSO_FLAG_B_MP8736_S139_R1_001	20210312_DMSO_FLAG_B_MP8736_S139_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50264532.0	0.0	100.0	40.0	93.272058765539	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20210312_DMSO_FLAG_B_MP8736_S139_R2_001	20210312_DMSO_FLAG_B_MP8736_S139_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50264532.0	0.0	100.0	40.0	93.37485169915438	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20210312_DMSO_MED1_A_MP8736_S144_R1_001	20210312_DMSO_MED1_A_MP8736_S144_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61511301.0	0.0	100.0	40.0	92.60223679303448	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20210312_DMSO_MED1_A_MP8736_S144_R2_001	20210312_DMSO_MED1_A_MP8736_S144_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61511301.0	0.0	100.0	40.0	92.72840455569144	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20210312_DMSO_MED1_B_MP8736_S145_R1_001	20210312_DMSO_MED1_B_MP8736_S145_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49506650.0	0.0	100.0	40.0	92.86273541385657	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20210312_DMSO_MED1_B_MP8736_S145_R2_001	20210312_DMSO_MED1_B_MP8736_S145_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49506650.0	0.0	100.0	40.0	92.98663153805452	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
20210312_DMSO_MEF2C_A_MP8736_S142_R1_001	20210312_DMSO_MEF2C_A_MP8736_S142_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48261150.0	0.0	100.0	39.0	92.52615581359606	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
20210312_DMSO_MEF2C_A_MP8736_S142_R2_001	20210312_DMSO_MEF2C_A_MP8736_S142_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48261150.0	0.0	100.0	39.0	92.67787351541357	100.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
