Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20210312_DMSO_FLAG_A_MP8736_S138_R1_001	7.656019294788408	40.0	100.0	0.0	67947917.0
20210312_DMSO_FLAG_A_MP8736_S138_R2_001	7.526149473818563	40.0	100.0	0.0	67947917.0
20210312_DMSO_FLAG_B_MP8736_S139_R1_001	6.7279412344609995	40.0	100.0	0.0	50264532.0
20210312_DMSO_FLAG_B_MP8736_S139_R2_001	6.625148300845623	40.0	100.0	0.0	50264532.0
20210312_DMSO_MED1_A_MP8736_S144_R1_001	7.3977632069655215	40.0	100.0	0.0	61511301.0
20210312_DMSO_MED1_A_MP8736_S144_R2_001	7.271595444308559	40.0	100.0	0.0	61511301.0
20210312_DMSO_MED1_B_MP8736_S145_R1_001	7.137264586143431	40.0	100.0	0.0	49506650.0
20210312_DMSO_MED1_B_MP8736_S145_R2_001	7.0133684619454755	40.0	100.0	0.0	49506650.0
20210312_DMSO_MEF2C_A_MP8736_S142_R1_001	7.473844186403937	39.0	100.0	0.0	48261150.0
20210312_DMSO_MEF2C_A_MP8736_S142_R2_001	7.322126484586434	39.0	100.0	0.0	48261150.0
20210312_DMSO_MEF2C_B_MP8736_S143_R1_001	8.75275314169592	40.0	100.0	0.0	104927352.0
20210312_DMSO_MEF2C_B_MP8736_S143_R2_001	8.454878676129752	40.0	100.0	0.0	104927352.0
20210312_DMSO_MYC_A_MP8736_S140_R1_001	9.1164053941892	40.0	100.0	0.0	34943981.0
20210312_DMSO_MYC_A_MP8736_S140_R2_001	8.884183685774502	40.0	100.0	0.0	34943982.0
20210312_VHL_FLAG_A_MP8736_S146_R1_001	21.3054925364126	42.0	100.0	0.0	29025192.0
20210312_VHL_FLAG_A_MP8736_S146_R2_001	20.315395535143537	42.0	100.0	0.0	29025192.0
20210312_VHL_FLAG_B_MP8736_S147_R1_001	23.34005480193153	42.0	100.0	9.090909090909092	39155226.0
20210312_VHL_FLAG_B_MP8736_S147_R2_001	23.08455601345186	42.0	100.0	9.090909090909092	39155226.0
20210312_VHL_MED1_A_MP8736_S152_R1_001	16.310904031637236	42.0	100.0	0.0	33202285.0
20210312_VHL_MED1_A_MP8736_S152_R2_001	16.058473054142553	42.0	100.0	9.090909090909092	33202285.0
20210312_VHL_MED1_B_MP8736_S153_R1_001	6.19047619047619	37.0	100.0	18.181818181818183	1050.0
20210312_VHL_MED1_B_MP8736_S153_R2_001	0.10893246187363559	37.0	100.0	18.181818181818183	918.0
20210312_VHL_MEF2C_A_MP8736_S150_R1_001	19.150214611032197	42.0	100.0	0.0	31775302.0
20210312_VHL_MEF2C_A_MP8736_S150_R2_001	18.93056107686148	42.0	100.0	0.0	31775302.0
20210312_VHL_MEF2C_B_MP8736_S151_R1_001	16.847433316295238	42.0	100.0	9.090909090909092	37215360.0
20210312_VHL_MEF2C_B_MP8736_S151_R2_001	17.146536470450897	42.0	100.0	9.090909090909092	37215360.0
20210312_VHL_MYC_A_MP8736_S148_R1_001	21.554117500151932	46.0	100.0	9.090909090909092	43882727.0
20210312_VHL_MYC_A_MP8736_S148_R2_001	20.963668984408827	46.0	100.0	9.090909090909092	43882727.0
20210312_VHL_MYC_B_MP8736_S149_R1_001	19.247628259893673	46.0	100.0	9.090909090909092	35647274.0
20210312_VHL_MYC_B_MP8736_S149_R2_001	19.229011621339552	46.0	100.0	9.090909090909092	35647274.0
