Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20200723_10_MP8088_S146_R1_001	66.44534194418858	47.0	100.0	9.090909090909092	59648928.0
20200723_10_MP8088_S146_R2_001	66.11347203786859	48.0	100.0	9.090909090909092	59648928.0
20200723_11_MP8088_S147_R1_001	64.58515949192333	45.0	100.0	9.090909090909092	34582344.0
20200723_11_MP8088_S147_R2_001	63.74001288299975	47.0	100.0	9.090909090909092	34582344.0
20200723_12_MP8088_S148_R1_001	62.10429659029418	46.0	100.0	9.090909090909092	28995920.0
20200723_12_MP8088_S148_R2_001	61.09505934785095	48.0	100.0	9.090909090909092	28995920.0
20200723_13_MP8088_S149_R1_001	64.7353778948792	46.0	100.0	18.181818181818183	40058373.0
20200723_13_MP8088_S149_R2_001	64.79972504603725	48.0	100.0	9.090909090909092	40058373.0
20200723_14_MP8088_S150_R1_001	63.4517971043994	46.0	100.0	9.090909090909092	37569098.0
20200723_14_MP8088_S150_R2_001	62.838615224546814	48.0	100.0	9.090909090909092	37569098.0
20200723_15_MP8088_S151_R1_001	66.1144579686904	45.0	100.0	18.181818181818183	37471607.0
20200723_15_MP8088_S151_R2_001	65.4747612338802	47.0	100.0	9.090909090909092	37471607.0
20200723_16_MP8088_S152_R1_001	65.12325485845173	47.0	100.0	9.090909090909092	48885842.0
20200723_16_MP8088_S152_R2_001	64.6596445165786	49.0	100.0	9.090909090909092	48885842.0
20200723_17_MP8088_S153_R1_001	61.68562747832908	44.0	100.0	18.181818181818183	35465547.0
20200723_17_MP8088_S153_R2_001	60.1659848616523	47.0	100.0	9.090909090909092	35465547.0
20200723_18_MP8088_S154_R1_001	66.47895589254115	45.0	100.0	9.090909090909092	53302410.0
20200723_18_MP8088_S154_R2_001	64.4562909263432	48.0	100.0	9.090909090909092	53302410.0
20200723_19_MP8088_S155_R1_001	65.29126839902172	44.0	100.0	9.090909090909092	37978333.0
20200723_19_MP8088_S155_R2_001	62.91998178533061	46.0	100.0	9.090909090909092	37978333.0
20200723_1_MP8088_S137_R1_001	60.698947650514626	45.0	100.0	9.090909090909092	25577044.0
20200723_1_MP8088_S137_R2_001	59.01720062923122	47.0	100.0	9.090909090909092	25577044.0
20200723_20_MP8088_S156_R1_001	64.67731369536259	45.0	100.0	9.090909090909092	42968695.0
20200723_20_MP8088_S156_R2_001	63.136653142224425	47.0	100.0	9.090909090909092	42968695.0
20200723_21_MP8088_S157_R1_001	62.536726000376866	44.0	100.0	9.090909090909092	31254218.0
20200723_21_MP8088_S157_R2_001	61.50577708371092	47.0	100.0	9.090909090909092	31254218.0
20200723_22_MP8088_S158_R1_001	64.26060310339645	46.0	100.0	9.090909090909092	39870793.0
20200723_22_MP8088_S158_R2_001	63.940330231446374	48.0	100.0	9.090909090909092	39870793.0
20200723_23_MP8088_S159_R1_001	65.38829323712052	46.0	100.0	9.090909090909092	44236192.0
