Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R1_001	18.330438561844176	42.0	150.0	0.0	47479320.0
20220526_1_MYBdegron1h_MYB-DMSO_r2_MP10066_S178_R2_001	16.599647558545044	42.0	150.0	0.0	47479320.0
20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R1_001	28.632295209136686	45.0	150.0	9.090909090909092	36061579.0
20220526_2_MYBdegron1h_MYC-DMSO_r2_MP10066_S179_R2_001	26.625394517562086	45.0	150.0	18.181818181818183	36061579.0
20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R1_001	25.177115087431062	42.0	150.0	0.0	44336379.0
20220526_3_MYBdegron1h_MED1-DMSO_r2_MP10066_S180_R2_001	23.39883010063322	41.0	150.0	0.0	44336379.0
20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R1_001	15.130111059781598	44.0	150.0	9.090909090909092	45284856.0
20220526_4_MYBdegron1h_PolII-DMSO_r2_MP10066_S181_R2_001	14.4215366968794	44.0	150.0	0.0	45284856.0
20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R1_001	45.08312048380543	42.0	150.0	27.27272727272727	47286882.0
20220526_5_MYBdegron1h_MYB-VHL_r2_MP10066_S182_R2_001	43.46497800084552	42.0	150.0	27.27272727272727	47286882.0
20220526_6_MYBdegron1h_MYC-VHL_r2_MP10066_S183_R1_001	26.862818863275933	44.0	150.0	18.181818181818183	39191070.0
20220526_6_MYBdegron1h_MYC-VHL_r2_MP10066_S183_R2_001	25.03813928620258	44.0	150.0	18.181818181818183	39191070.0
20220526_7_MYBdegron1h_MED1-VHL_r2_MP10066_S184_R1_001	27.625083857123485	41.0	150.0	9.090909090909092	45540355.0
20220526_7_MYBdegron1h_MED1-VHL_r2_MP10066_S184_R2_001	26.55215515198664	41.0	150.0	9.090909090909092	45540355.0
20220526_8_MYBdegron1h_PolII-VHL_r2_MP10066_S185_R1_001	17.54097992067605	44.0	150.0	9.090909090909092	62828444.0
20220526_8_MYBdegron1h_PolII-VHL_r2_MP10066_S185_R2_001	16.825687264690487	44.0	150.0	9.090909090909092	62828444.0
