;;;;
REGION_ID;OVERLAP_GENES;PROXIMAL_GENES;CLOSEST_GENE;
;;;;
1_merged_PDX_cell_lines_AML_1_lociStitched;ETV6;;ETV6;
1_merged_PDX_cell_lines_AML_10_lociStitched;ZNF521;;ZNF521;
1_merged_PDX_cell_lines_AML_100_lociStitched;COL23A1;;COL23A1;
1_merged_PDX_cell_lines_AML_1000_lociStitched;PROM1;PROM1;PROM1;
1_merged_PDX_cell_lines_AML_10000_lociStitched;TMEM39B;KPNA6;TMEM39B;
1_merged_PDX_cell_lines_AML_10001_lociStitched;FERMT3;MACROD1 STIP1 FKBP2 NUDT22 DNAJC4 VEGFB PLCB3 TRPT1 PPP1R14B;FERMT3;
1_merged_PDX_cell_lines_AML_10002_lociStitched;FAM118A;UPK3A;FAM118A;
1_merged_PDX_cell_lines_AML_10003_lociStitched;LOC645323;MIR9-2;LOC645323;
1_merged_PDX_cell_lines_AML_10004_lociStitched;POU2F1;POU2F1;POU2F1;
1_merged_PDX_cell_lines_AML_10005_lociStitched;RNF123;MST1 GMPPB AMIGO3 APEH;AMIGO3;
1_merged_PDX_cell_lines_AML_10006_lociStitched;MEF2A;MEF2A;MEF2A;
1_merged_PDX_cell_lines_AML_10007_lociStitched;SAT1;SAT1 ACOT9;SAT1;
1_merged_PDX_cell_lines_AML_10008_lociStitched;;;SNX18;
1_merged_PDX_cell_lines_AML_10009_lociStitched;;ARC;ARC;
1_merged_PDX_cell_lines_AML_1001_lociStitched;;TIFAB C5orf20 NEUROG1;TIFAB;
1_merged_PDX_cell_lines_AML_10010_lociStitched;AGPAT1 RNF5 RNF5P1;ATF6B FKBPL PPT2 EGFL8 PRRT1 NOTCH4 GPSM3 AGER PBX2 LOC100507547;AGPAT1;
1_merged_PDX_cell_lines_AML_10011_lociStitched;STXBP2;TRAPPC5 RETN KIAA1543 C19orf59 XAB2 PCP2 LOC100131801;STXBP2;
1_merged_PDX_cell_lines_AML_10012_lociStitched;;;DUSP6;
1_merged_PDX_cell_lines_AML_10013_lociStitched;PELI1;;PELI1;
1_merged_PDX_cell_lines_AML_10014_lociStitched;ECE1;ECE1;ECE1;
1_merged_PDX_cell_lines_AML_10015_lociStitched;NFATC1;;NFATC1;
1_merged_PDX_cell_lines_AML_10016_lociStitched;PCBD2 TXNDC15;;PCBD2;
1_merged_PDX_cell_lines_AML_10017_lociStitched;RPL15 NKIRAS1;NR1D2;NKIRAS1;
1_merged_PDX_cell_lines_AML_10018_lociStitched;PCNX;;PCNX;
1_merged_PDX_cell_lines_AML_10019_lociStitched;CMTM8;;CMTM8;
1_merged_PDX_cell_lines_AML_1002_lociStitched;ANP32A;MIR4312 C15orf28 MIR548H4;MIR4312;
1_merged_PDX_cell_lines_AML_10020_lociStitched;;KIAA0748;KIAA0748;
1_merged_PDX_cell_lines_AML_10021_lociStitched;CDH1;;CDH1;
1_merged_PDX_cell_lines_AML_10022_lociStitched;;ZNF736;ZNF736;
1_merged_PDX_cell_lines_AML_10023_lociStitched;TAF4B;;TAF4B;
1_merged_PDX_cell_lines_AML_10024_lociStitched;LUC7L2;C7orf55;LUC7L2;
1_merged_PDX_cell_lines_AML_10025_lociStitched;ASAM;HSPA8;HSPA8;
1_merged_PDX_cell_lines_AML_10026_lociStitched;BTF3L4 TXNDC12;KTI12;BTF3L4;
1_merged_PDX_cell_lines_AML_10027_lociStitched;PHF15;;PHF15;
1_merged_PDX_cell_lines_AML_10028_lociStitched;;;HIST1H2BL;
1_merged_PDX_cell_lines_AML_10029_lociStitched;TRIM22;OR56B1 TRIM78P TRIM5;TRIM22;
1_merged_PDX_cell_lines_AML_1003_lociStitched;;;PTGER4;
1_merged_PDX_cell_lines_AML_10030_lociStitched;;;LOC221122;
1_merged_PDX_cell_lines_AML_10031_lociStitched;;LPAL2;LPAL2;
1_merged_PDX_cell_lines_AML_10032_lociStitched;CADM1;;CADM1;
1_merged_PDX_cell_lines_AML_10033_lociStitched;HPSE2;;HPSE2;
1_merged_PDX_cell_lines_AML_10034_lociStitched;;GADD45A;GADD45A;
1_merged_PDX_cell_lines_AML_10035_lociStitched;JAZF1;;TAX1BP1;
1_merged_PDX_cell_lines_AML_10036_lociStitched;PDIA5;SEC22A;SEC22A;
1_merged_PDX_cell_lines_AML_10037_lociStitched;SLC9A8;;SLC9A8;
1_merged_PDX_cell_lines_AML_10038_lociStitched;IL15;IL15;IL15;
1_merged_PDX_cell_lines_AML_10039_lociStitched;DDX18;;DDX18;
1_merged_PDX_cell_lines_AML_1004_lociStitched;;;GALNTL6;
1_merged_PDX_cell_lines_AML_10040_lociStitched;PFKFB3 MIR3155;;MIR3155;
1_merged_PDX_cell_lines_AML_10041_lociStitched;CCL4;CCL18 CCL3;CCL4;
1_merged_PDX_cell_lines_AML_10042_lociStitched;;FHDC1;FHDC1;
1_merged_PDX_cell_lines_AML_10043_lociStitched;BACH2;;GJA10;
