ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 4_P2-1.czi",1,2,96557830.714023,98541,214.60430176272,171.18312682031,1,31.30295,31.30295,"Orange",1,24, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P2-1.czi",3,4,125423.95887392,128,356.5625,219.140625,1,31.30295,31.30295,"Yellow", , ,14238,480,4776,8057.90625,92.703125,2783.65625,2191,0,899,128,128,128,12047,480,3877,3181.66219233,101.0618707646,1095.6431213719,1031412,11866,356308,9596638938,2397130,1144294090
"Image 4_P2-1.czi",5,6,23516.99228886,24,269.125,24.25,1,31.30295,31.30295,"Fuchsia", , ,322,2627,1479,157.83333333333,1900.375,708.08333333333,0,1144,66,24,24,24,322,1483,1413,101.71813855033,425.13903735949,435.66090889157,3788,45609,16994,835844,90831297,16398578
"Image 4_P2-1.czi",5,7,27436.49100367,28,246.25,36.678571428571,1,31.30295,31.30295,"Fuchsia", , ,396,3118,2091,76.892857142857,2140.1785714286,1663.6428571429,0,1276,1068,28,28,28,396,1842,1023,128.38493602811,568.25803043463,328.97227332065,2153,59925,46582,610583,136968965,80417826
"Image 4_P2-1.czi",5,8,21557.242931455,22,220.59090909091,38.590909090909,1,31.30295,31.30295,"Fuchsia", , ,177,2327,1090,93.954545454546,1859.8636363636,429.27272727273,0,1382,0,22,22,22,177,945,1090,64.13117306979,283.00736915436,329.47305429503,2067,40917,9444,280573,77781997,6333654
"Image 4_P2-1.czi",5,9,21557.242931455,22,159.40909090909,97.045454545455,1,31.30295,31.30295,"Fuchsia", , ,231,2925,3005,105.81818181818,2127.1818181818,2610.3636363636,0,1150,2131,22,22,22,231,1775,874,75.759416427855,519.29115022432,213.39356563124,2328,46798,57428,366874,105210784,150864236
"Image 4_P2-1.czi",5,10,20577.368252753,21,208.92857142857,115.07142857143,1,31.30295,31.30295,"Fuchsia", , ,309,2339,1219,143,1868.380952381,752.19047619048,0,1085,418,21,21,21,309,1254,801,119.6139623957,340.67484148238,227.27221982627,3003,39236,15796,715579,75628982,12914654
"Image 4_P2-1.czi",5,11,33315.739075885,34,35.588235294118,117.44117647059,1,31.30295,31.30295,"Fuchsia", , ,307,3353,275,90.764705882353,2128.1764705882,22.941176470588,0,972,0,34,34,34,307,2381,275,110.83322410299,643.29396035529,60.337907666775,3086,72358,780,685472,167646888,138036
"Image 4_P2-1.czi",5,12,28416.365682373,29,291.12068965517,127.6724137931,1,31.30295,31.30295,"Fuchsia", , ,883,3527,1551,417.31034482759,2193.724137931,980.48275862069,0,1025,348,29,29,29,883,2502,1203,304.30613151049,700.16298595152,360.03448452789,12102,63618,28434,7643152,153286732,31508542
"Image 4_P2-1.czi",5,13,23516.99228886,24,112.875,138.125,1,31.30295,31.30295,"Fuchsia", , ,852,1761,2094,505.91666666667,1365,1826.375,154,865,1572,24,24,24,698,896,522,227.80443876018,264.58762007254,181.50597367101,12142,32760,43833,7336422,46327552,80813217
"Image 4_P2-1.czi",5,14,15677.99485924,16,127,150.5,1,31.30295,31.30295,"Fuchsia", , ,619,3167,2576,274.5,2341.75,2079.5625,0,1352,1505,16,16,16,619,1815,1071,185.99068077012,559.38615165793,302.80135815415,4392,37468,33273,1724492,92434382,70568613
"Image 4_P2-1.czi",5,15,50953.48329253,52,102.55769230769,167.55769230769,1,31.30295,31.30295,"Fuchsia", , ,1589,4538,2533,501.21153846154,2403.0384615385,1295.3653846154,0,1021,210,52,52,52,1589,3517,2323,410.7227172345,1007.3974226288,653.05826629056,26063,124958,67359,21666427,352036208,109005257
"Image 4_P2-1.czi",5,16,83289.347689713,85,361.46470588235,184.33529411765,1,31.30295,31.30295,"Fuchsia", , ,1092,4709,2788,410.35294117647,2354.4588235294,1921.3058823529,0,681,1296,85,85,85,1092,4028,1492,278.7255308877,974.97072670269,310.17019228042,34880,200129,163311,20838896,551043195,321851651
"Image 4_P2-1.czi",5,17,18617.618895348,19,161.6052631579,184.92105263158,1,31.30295,31.30295,"Fuchsia", , ,448,2754,1187,48.105263157895,2176.6315789474,771.57894736842,0,1620,302,19,19,19,448,1134,885,114.30898415982,343.81393716924,210.33843517042,914,41356,14660,279166,92144520,12107708
"Image 4_P2-1.czi",5,18,60752.230079555,62,123.90322580645,189.61290322581,1,31.30295,31.30295,"Fuchsia", , ,1220,8917,1707,412,3887.0322580645,826.25806451613,0,610,250,62,62,62,1220,8307,1457,353.17844837057,2332.558223881,317.50352704812,25544,240996,51228,18132964,1268649726,48476866
"Image 4_P2-1.czi",5,19,17637.744216645,18,82,201,1,31.30295,31.30295,"Fuchsia", , ,907,2822,2254,480.5,2097.5555555556,1820.1666666667,0,1298,1301,18,18,18,907,1524,953,283.36429473279,483.39853515588,295.17497303444,8649,37756,32763,5520865,83167768,61115301
"Image 4_P2-1.czi",5,20,59772.355400853,61,325.20491803279,204.0737704918,1,31.30295,31.30295,"Fuchsia", , ,642,5508,2183,210.19672131148,2605.3442622951,1083.6557377049,0,652,335,61,61,61,642,4856,1848,182.51537101225,1395.1263369942,503.79671446745,12822,158926,66103,4693854,530839592,86861563
"Image 4_P2-1.czi",5,21,20577.368252753,21,73.642857142857,219.78571428571,1,31.30295,31.30295,"Fuchsia", , ,245,2412,2156,75.333333333333,1849.9047619048,1747.9047619048,0,1198,1379,21,21,21,245,1214,777,93.395574484733,387.90255280958,239.3325938442,1582,38848,36706,293632,74874468,65304194
