ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 58_SIM_P7-2.czi",1,2,71553388.662893,73023,183.53820714022,162.8668981006,1,31.30295,31.30295,"Orange",0,11, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 58_SIM_P7-2.czi",4,5,17637.744216645,18,271.5,62,1,31.30295,31.30295,"Fuchsia", , ,442,1551,2104,331.66666666667,1360.3333333333,1162.3888888889,181,1111,85,18,18,18,261,440,2019,83.968481481762,143.07957473337,694.99260587594,5970,24486,20923,2099912,33657142,32531913
"Image 58_SIM_P7-2.czi",4,6,28416.365682373,29,92.327586206897,119.18965517241,1,31.30295,31.30295,"Fuchsia", , ,502,2678,2765,298.62068965517,1938.6896551724,1726.5862068966,122,1135,446,29,29,29,380,1543,2319,111.42563625034,424.50652892912,694.22899254401,8660,56222,50071,2933694,114042772,99946607
"Image 58_SIM_P7-2.czi",4,7,16657.869537943,17,70.911764705882,135.44117647059,1,31.30295,31.30295,"Fuchsia", , ,736,1919,3282,515.47058823529,1465.2941176471,2326.6470588235,305,942,1216,17,17,17,431,977,2066,122.54086953291,295.47308775629,628.08090055904,8763,24910,39553,4757329,37897346,98337641
"Image 58_SIM_P7-2.czi",4,8,19597.49357405,20,80.6,155.45,1,31.30295,31.30295,"Fuchsia", , ,703,2883,1919,522.75,2089.4,1274.4,371,759,690,20,20,20,332,2124,1229,94.471869942996,684.66537351046,309.2890659493,10455,41788,25488,5634925,96218414,34299442
"Image 58_SIM_P7-2.czi",4,9,37235.237790695,38,288.81578947368,184.21052631579,1,31.30295,31.30295,"Fuchsia", , ,714,2695,1750,567.23684210526,1808.2368421053,819.52631578947,401,868,1,38,38,38,313,1827,1749,78.196368966135,500.96088395665,542.49900918291,21555,68713,31142,12453033,133534965,36410980
"Image 58_SIM_P7-2.czi",4,10,24496.866967563,25,116.78,188.82,1,31.30295,31.30295,"Fuchsia", , ,275,2539,2673,122.12,1957.64,1610.12,0,1338,901,25,25,25,275,1201,1772,73.847432814779,356.47999943896,520.12701333424,3053,48941,40253,503715,98858731,71304931
"Image 58_SIM_P7-2.czi",4,11,32335.864397183,33,48.863636363636,219.13636363636,1,31.30295,31.30295,"Fuchsia", , ,149,1821,1883,67,1255,1475.4545454546,0,512,724,33,33,33,149,1309,1159,51.051444641655,351.17961928335,292.98774408125,2211,41415,48690,231537,55922293,74586820
"Image 58_SIM_P7-2.czi",4,12,23516.99228886,24,242.875,230.375,1,31.30295,31.30295,"Fuchsia", , ,197,2194,1639,47.208333333333,1644.0833333333,973.875,0,915,318,24,24,24,197,1279,1321,57.431228565065,350.6340736768,326.12711745442,1133,39458,23373,129349,67699958,25208635
