ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 4_P1-2.czi",1,2,122695987.76841,125216,218.17857142857,185.29604842832,1,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P1-2.czi",4,5,21557.242931455,22,140.27272727273,180.59090909091,1,31.30295,31.30295,"Fuchsia", , ,300,2453,2336,69.5,1878.7272727273,1555.2272727273,0,1320,918,22,22,22,300,1133,1418,98.826326741121,320.15192551546,441.51696638038,1529,41332,34215,311365,79803998,57305783
"Image 4_P1-2.czi",1,2,122021833.98947,124528,218.14440928948,185.18226422973,2,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P1-2.czi",4,5,18617.618895348,19,139.92105263158,180.6052631579,2,31.30295,31.30295,"Fuchsia", , ,249,2541,2099,41.052631578947,1983.7894736842,1464.5263157895,0,1310,915,19,19,19,249,1231,1184,71.650753027144,348.06091084869,366.23950397111,780,37692,27826,124430,76953628,43166274
"Image 4_P1-2.czi",1,2,121449587.1771,123944,217.81972503711,184.49204479442,3,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P1-2.czi",1,2,120891058.61024,123374,217.80152220079,184.22098659361,4,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P1-2.czi",4,5,19597.49357405,20,245.5,301,4,31.30295,31.30295,"Fuchsia", , ,32,2282,2122,1.6,1762.05,1395.9,0,1096,1041,20,20,20,32,1186,1081,7.1554175279993,359.55739970721,305.90898199163,32,35241,27918,1024,64552753,40748762
"Image 4_P1-2.czi",1,2,119672094.50994,122130,217.47654957832,183.84189797757,5,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P1-2.czi",4,5,25476.741646265,26,245.26923076923,301.34615384615,5,31.30295,31.30295,"Fuchsia", , ,54,2643,2766,5.6153846153846,1910.6538461539,1851.6923076923,0,1100,1412,26,26,26,54,1543,1354,13.888345972295,439.4494685224,364.1057834455,146,49677,48144,5642,99743447,92462200
"Image 4_P1-2.czi",1,2,118858798.52661,121300,217.35107996702,183.47682605111,6,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
