ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 8_SIM_P1-1.czi",1,2,144659878.69153,147631,272.08443687301,239.9669886406,1,31.30295,31.30295,"Orange",4,27, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 8_SIM_P1-1.czi",3,4,57812.606043448,59,299.34745762712,22.432203389831,1,31.30295,31.30295,"Yellow", , ,10373,162,7690,8401.8474576271,21.169491525424,3668.1186440678,6374,0,96,59,59,59,3999,162,7594,1101.0147797805,35.623100090838,1975.4196942522,495709,1249,216419,4235180947,100043,1020182981
"Image 8_SIM_P1-1.czi",3,5,44094.360541613,45,259.92222222222,51.055555555556,1,31.30295,31.30295,"Yellow", , ,9801,345,6704,7902.7333333333,24.111111111111,3116.7333333333,5551,0,1219,45,45,45,4250,345,5485,1092.3597559246,64.399047925706,1207.9900360817,355623,1085,140253,2862896729,208639,501337757
"Image 8_SIM_P1-1.czi",3,6,61732.104758258,63,402.3253968254,97.484126984127,1,31.30295,31.30295,"Yellow", , ,9628,391,9719,7993.5396825397,139.09523809524,6964.1428571429,5818,0,3087,63,63,63,3810,391,6632,856.63446537649,131.393120344,1544.176572065,503593,8763,438741,4070987631,2289269,3203292841
"Image 8_SIM_P1-1.czi",3,7,54872.98200734,56,410.35714285714,181.07142857143,1,31.30295,31.30295,"Yellow", , ,9591,449,3651,7870.3928571429,110.58928571429,753.73214285714,5277,0,0,56,56,56,4314,449,3651,1234.9573371883,133.04418634228,960.97967987355,440742,6193,42209,3552694268,1658421,82605787
"Image 8_SIM_P1-1.czi",8,9,20577.368252753,21,305.5,1.5,1,31.30295,31.30295,"Fuchsia", , ,4066,4523,575,2899.0952380952,2606.5714285714,67.476190476191,1563,920,0,21,21,21,2503,3603,575,735.42130134787,1067.5005654063,163.44069843452,60881,54738,1417,187316707,165469656,629871
"Image 8_SIM_P1-1.czi",8,10,19597.49357405,20,251,38.5,1,31.30295,31.30295,"Fuchsia", , ,3184,2546,10216,1069.95,2000.3,5358.15,0,1348,27,20,20,20,3184,1198,10189,994.59975949069,340.92599907033,3373.2190977728,21399,40006,107163,41691205,82232382,790388963
"Image 8_SIM_P1-1.czi",8,11,22537.117610158,23,426.89130434783,84.065217391304,1,31.30295,31.30295,"Fuchsia", , ,2250,2681,14197,1250.4347826087,2189.6086956522,7578.9130434783,0,1624,949,23,23,23,2250,1057,13248,679.69972154066,305.6755170751,4274.0530574093,28760,50361,174315,46126322,112326509,1723003877
"Image 8_SIM_P1-1.czi",8,12,49973.608613828,51,430.04901960784,95.441176470588,1,31.30295,31.30295,"Fuchsia", , ,3470,4098,17060,815.82352941177,2336.2352941177,12750.784313726,0,1103,7398,51,51,51,3470,2995,9662,975.7047853912,870.8074089771,2730.8844011692,41607,119148,650290,81543961,316273040,8664594012
