ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 48_SIM_P6-4.czi",1,2,139711511.56408,142581,232.24096829171,231.6473548369,1,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 48_SIM_P6-4.czi",4,5,48993.733935125,50,399.34,209.34,1,31.30295,31.30295,"Fuchsia", , ,460,4798,1576,153.64,2404.38,361.3,0,803,0,50,50,50,460,3995,1576,162.19360565166,1148.9928844738,552.15352974346,7682,120219,18065,2469294,353741207,21465687
"Image 48_SIM_P6-4.czi",4,6,57812.606043448,59,87.923728813559,294.31355932203,1,31.30295,31.30295,"Fuchsia", , ,602,4709,3673,164.42372881356,2433.3220338983,2034.8644067797,0,876,798,59,59,59,602,3833,2875,171.64701182548,1105.3988270846,778.19161406047,9701,143566,120057,3303911,420212892,279423483
"Image 48_SIM_P6-4.czi",4,7,35275.48843329,36,84,315.41666666667,1,31.30295,31.30295,"Fuchsia", , ,262,2675,2578,57.305555555556,1713.0277777778,1719.6944444444,0,664,466,36,36,36,262,2011,2112,88.381581612087,522.64041099627,560.49737195482,2063,61669,61909,391617,115201065,117460069
"Image 48_SIM_P6-4.czi",1,2,139238232.09427,142098,232.33690129347,231.94215963631,2,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 48_SIM_P6-4.czi",4,5,55852.856686043,57,398.76315789474,209.55263157895,2,31.30295,31.30295,"Fuchsia", , ,412,4870,1660,136.31578947368,2490.0877192983,500.40350877193,0,809,0,57,57,57,412,4061,1660,142.42418508189,1156.661147452,604.00493315302,7770,141935,28523,2195114,428351041,34703039
"Image 48_SIM_P6-4.czi",4,6,59772.355400853,61,87.795081967213,294.74590163934,2,31.30295,31.30295,"Fuchsia", , ,576,5579,3496,173.83606557377,2780.4918032787,1979.6721311475,0,745,647,61,61,61,576,4834,2849,171.99875777922,1363.4756277366,801.06595070384,10604,169610,120760,3618372,583143162,277567606
"Image 48_SIM_P6-4.czi",4,7,39194.9871481,40,84.425,316.1,2,31.30295,31.30295,"Fuchsia", , ,296,2829,2392,96.35,1842.5,1743.3,0,585,442,40,40,40,296,2244,1950,114.28519207756,564.86295138392,475.61669548665,3854,73700,69732,880716,148235986,130386034
"Image 48_SIM_P6-4.czi",1,2,138696361.39695,141545,232.35716909817,231.8752092974,3,31.30295,31.30295,"Orange",0,4, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 48_SIM_P6-4.czi",4,5,42134.611184208,43,398.43023255814,209.36046511628,3,31.30295,31.30295,"Fuchsia", , ,365,4458,1762,136.13953488372,2684.5581395349,468,0,1354,0,43,43,43,365,3104,1762,118.98911142568,898.21853588421,560.86175191566,5854,115436,20124,1391614,343780108,22629800
"Image 48_SIM_P6-4.czi",4,6,65651.603473068,67,87.932835820896,294.9776119403,3,31.30295,31.30295,"Fuchsia", , ,665,6308,3351,174.91044776119,2936.2985074627,1974.2089552239,0,694,523,67,67,67,665,5614,2828,188.65727554606,1596.5354632143,836.28046508467,11719,196732,132272,4398819,745892960,307290658
"Image 48_SIM_P6-4.czi",4,7,40174.861826803,41,85.134146341463,316.28048780488,3,31.30295,31.30295,"Fuchsia", , ,299,2853,2581,136.51219512195,1842.7804878049,1456.4634146342,0,710,0,41,41,41,299,2143,2581,117.18108250721,540.14157922693,776.73609088161,5597,75554,59715,1313315,150899554,111105471
"Image 48_SIM_P6-4.czi",4,8,23516.99228886,24,328.375,373.125,3,31.30295,31.30295,"Fuchsia", , ,0,2858,2366,0,2050.8333333333,1711.5,0,1204,479,24,24,24,0,1654,1887,0,484.1318241847,486.82752949917,0,49220,41076,0,106332840,75752598
"Image 48_SIM_P6-4.czi",1,2,138445513.4792,141289,232.24424052828,231.62486463914,4,31.30295,31.30295,"Orange",0,4, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 48_SIM_P6-4.czi",4,5,53893.107328638,55,398.17272727273,209.24545454546,4,31.30295,31.30295,"Fuchsia", , ,329,3821,2409,124.81818181818,1984.4363636364,569.58181818182,0,349,0,55,55,55,329,3472,2409,113.44897546329,950.3656365303,689.12431526215,6865,109144,31327,1551893,265361844,43487475
"Image 48_SIM_P6-4.czi",4,6,78389.9742962,80,88.0375,295.025,4,31.30295,31.30295,"Fuchsia", , ,667,6764,3195,173.9,2754.0625,1931.1625,0,364,476,80,80,80,667,6400,2719,185.93088412334,1805.914364594,799.37827809326,13912,220325,154493,5150350,864433629,348832533
"Image 48_SIM_P6-4.czi",4,7,24496.866967563,25,85.66,317.26,4,31.30295,31.30295,"Fuchsia", , ,299,2636,2383,194.8,1741.92,1157.4,0,1085,0,25,25,25,299,1551,2383,104.04566305234,447.48528094974,845.29467248607,4870,43548,28935,1208488,80662966,50637923
"Image 48_SIM_P6-4.czi",4,8,47033.98457772,48,328.33333333333,374.77083333333,4,31.30295,31.30295,"Fuchsia", , ,240,3513,2501,36.791666666667,2020.7916666667,1597.4166666667,0,299,602,48,48,48,240,3214,1899,67.229349699316,859.07277967594,471.73540335674,1766,96998,76676,277404,230699034,132942632
"Image 48_SIM_P6-4.czi",1,2,137610660.25294,140437,232.67105178835,232.05078789778,5,31.30295,31.30295,"Orange",0,5, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 48_SIM_P6-4.czi",4,5,26456.616324968,27,184.83333333333,9.7222222222222,5,31.30295,31.30295,"Fuchsia", , ,77,3076,783,16.814814814815,2144.2222222222,167.85185185185,0,1132,0,27,27,27,77,1944,783,24.820954294301,570.69878444246,221.61309037005,454,57894,4532,23652,132605726,2037626
"Image 48_SIM_P6-4.czi",4,6,25476.741646265,26,398.46153846154,209.19230769231,5,31.30295,31.30295,"Fuchsia", , ,266,2939,1891,108.92307692308,2074.6153846154,473.23076923077,0,1268,0,26,26,26,266,1671,1891,79.793695528869,524.60568635295,538.89006728217,2832,53940,12304,467646,118785032,13082694
"Image 48_SIM_P6-4.czi",4,7,59772.355400853,61,88.352459016393,295.40163934426,5,31.30295,31.30295,"Fuchsia", , ,658,6886,3073,188.75409836066,3035.4262295082,2047.4426229508,0,419,548,61,61,61,658,6467,2525,195.38847251375,1851.3942265134,794.97657249737,11514,185161,124894,4463914,767702191,293632564
"Image 48_SIM_P6-4.czi",4,8,28416.365682373,29,84.431034482759,315.08620689655,5,31.30295,31.30295,"Fuchsia", , ,295,2478,2380,87.310344827586,1858.1379310345,1696.724137931,0,1003,355,29,29,29,295,1475,2025,107.10078812845,345.79243610437,415.55211952222,2532,53886,49205,542246,103475648,88322451
"Image 48_SIM_P6-4.czi",4,9,29396.240361075,30,327.7,372.5,5,31.30295,31.30295,"Fuchsia", , ,0,4153,2366,0,2418.7666666667,1531.1666666667,0,946,185,30,30,30,0,3207,2181,0,985.50693005955,674.60093354533,0,72563,45935,0,203678459,83531647
"Image 48_SIM_P6-4.czi",1,2,137310818.60126,140131,232.66012873668,231.59055098444,6,31.30295,31.30295,"Orange",0,5, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 48_SIM_P6-4.czi",4,5,31355.98971848,32,184.75,10,6,31.30295,31.30295,"Fuchsia", , ,74,3132,873,10.1875,2090.6875,238.28125,0,1148,0,32,32,32,74,1984,873,19.167239355633,587.60681595884,259.74941204255,326,66902,7625,14710,150574910,3908457
"Image 48_SIM_P6-4.czi",4,6,32335.864397183,33,397.22727272727,209.04545454546,6,31.30295,31.30295,"Fuchsia", , ,286,2257,2076,138.60606060606,1477.1212121212,828.72727272727,0,728,0,33,33,33,286,1529,2076,85.07604664135,471.81496356992,685.98602722319,4574,48745,27348,865598,79125773,37722492
"Image 48_SIM_P6-4.czi",4,7,64671.728794365,66,88.348484848485,295.12121212121,6,31.30295,31.30295,"Fuchsia", , ,645,6642,2970,171.27272727273,3068.6060606061,2002.3939393939,0,544,745,66,66,66,645,6098,2225,183.54429735328,1717.548753121,731.85874801059,11304,202528,132158,4125820,813226940,299447498
"Image 48_SIM_P6-4.czi",4,8,26456.616324968,27,212.90740740741,337.57407407407,6,31.30295,31.30295,"Fuchsia", , ,269,2908,3819,60.851851851852,2113.962962963,1500.962962963,0,1330,544,27,27,27,269,1578,3275,82.369105347026,437.85750065882,841.29942906478,1643,57077,40526,276381,125643363,79230428
"Image 48_SIM_P6-4.czi",4,9,65651.603473068,67,328.14179104478,374.33582089552,6,31.30295,31.30295,"Fuchsia", , ,222,4813,2345,36.34328358209,2357.0597014925,1467.0298507463,0,470,168,67,67,67,222,4343,2177,67.349732230195,1172.1600738832,616.55708207681,2435,157923,98291,387871,462915249,169285245
"Image 48_SIM_P6-4.czi",1,2,136749350.41036,139558,232.61999312114,231.40980810846,7,31.30295,31.30295,"Orange",0,4, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 48_SIM_P6-4.czi",4,5,17637.744216645,18,185.5,10,7,31.30295,31.30295,"Fuchsia", , ,29,2985,1303,2.7777777777778,2061.6666666667,574.5,0,1084,149,18,18,18,29,1901,1154,7.3688977191145,582.12258664508,345.48742209164,50,37110,10341,1062,82269184,7970051
"Image 48_SIM_P6-4.czi",4,6,70550.97686658,72,88,294.69444444444,7,31.30295,31.30295,"Fuchsia", , ,615,6045,2898,154.875,2677.6111111111,1851.4722222222,0,456,593,72,72,72,615,5589,2305,152.18455599865,1540.8536280171,700.71780042842,11151,192788,133306,3371381,684781614,281673742
