ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 6_P6-2.czi",1,2,57924311.75682,59114,166.1515884562,132.42062793924,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 6_P6-2.czi",1,2,57866499.150776,59055,165.76444839556,132.69048344763,2,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 6_P6-2.czi",4,5,26456.616324968,27,199.27777777778,159.83333333333,2,31.30295,31.30295,"Fuchsia", , ,332,2833,971,70.703703703704,2029.2592592593,322.77777777778,0,1151,0,27,27,27,332,1682,971,111.01310207317,476.35746052668,304.30252322488,1909,54790,8715,455395,117082942,5220609
"Image 6_P6-2.czi",1,2,57735195.94383,58921,165.69056024168,132.81145092582,3,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 6_P6-2.czi",4,5,15677.99485924,16,255.5,146,3,31.30295,31.30295,"Fuchsia", , ,694,1956,4038,531.875,1591.25,3297.125,442,1140,2886,16,16,16,252,816,1152,80.78520904225,242.41328346442,300.82683280142,8510,25460,52754,4624150,41394688,175293984
"Image 6_P6-2.czi",1,2,57652886.470819,58837,165.71671737172,132.97434437514,4,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 6_P6-2.czi",4,5,20577.368252753,21,174.5,46.642857142857,4,31.30295,31.30295,"Fuchsia", , ,638,2351,1502,330.38095238095,1809.7142857143,916.90476190476,121,1228,447,21,21,21,517,1123,1055,147.0379121827,358.41988544961,353.043043376,6938,38004,19255,2724586,71345678,20147789
"Image 6_P6-2.czi",4,6,29396.240361075,30,137.2,161,4,31.30295,31.30295,"Fuchsia", , ,250,2862,36,60.233333333333,2019.7333333333,4.2,0,1013,0,30,30,30,250,1849,36,79.546422504933,496.31371706525,9.959919678391,1807,60592,126,292343,129523174,3406
"Image 6_P6-2.czi",4,7,15677.99485924,16,98.5,200,4,31.30295,31.30295,"Fuchsia", , ,54,1601,1308,8.625,1301.375,928.75,0,1014,639,16,16,16,54,587,669,16.859715300087,193.89958741576,204.64066067133,138,20822,14860,5454,27661186,14429392
