ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 4_P6-4.czi",1,2,148479430.18911,151529,245.06085633773,238.84916748609,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P6-4.czi",1,2,145841607.55404,148837,245.15468935816,238.46524385737,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P6-4.czi",1,2,145065546.80851,148045,244.83175048127,238.67458880746,3,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P6-4.czi",4,5,75450.350260093,77,262.59090909091,164.5,3,31.30295,31.30295,"Fuchsia", , ,926,2149,1525,340.97402597403,1071.4545454546,434.92207792208,0,285,0,77,77,77,926,1864,1525,289.2477072659,516.20282492382,428.80635324713,26255,82502,33489,15310755,108648510,28539597
"Image 4_P6-4.czi",4,6,34295.613754588,35,151.61428571429,169.27142857143,3,31.30295,31.30295,"Fuchsia", , ,1181,1600,2255,846.02857142857,1098.2,905.14285714286,263,570,0,35,35,35,918,1030,2255,218.35231726222,315.55038751176,756.12865162955,29611,38437,31680,26672795,45596963,48113764
"Image 4_P6-4.czi",4,7,22537.117610158,23,180.89130434783,230.9347826087,3,31.30295,31.30295,"Fuchsia", , ,646,2080,1139,295.13043478261,1605.8260869565,508.91304347826,0,860,0,23,23,23,646,1220,1139,202.29732940938,330.73879451559,400.77253955142,6788,36934,11705,2903678,61716120,9490437
"Image 4_P6-4.czi",1,2,143750554.98969,146703,245.60136807018,239.45651077347,4,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 4_P6-4.czi",4,5,46054.109899018,47,262.62765957447,163.5,4,31.30295,31.30295,"Fuchsia", , ,949,3374,1230,279.78723404255,2118.9574468085,302.48936170213,0,871,0,47,47,47,949,2503,1230,310.48026865615,656.53020584992,273.975631441,13150,99591,14217,8113510,230856559,7753373
"Image 4_P6-4.czi",4,6,27436.49100367,28,151.35714285714,169.89285714286,4,31.30295,31.30295,"Fuchsia", , ,1177,1964,2143,916,1464.0357142857,871.39285714286,420,902,0,28,28,28,757,1062,2143,184.34408246738,309.96027011154,717.3480656937,25648,40993,24399,24411102,62609251,35154997
