ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 5_P2-1_1.czi",1,2,49137775.512894,50147,153.77313697729,170.59912856203,1,31.30295,31.30295,"Orange",2,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-1_1.czi",3,4,55852.856686043,57,176.79824561404,154.71052631579,1,31.30295,31.30295,"Yellow", , ,2022,79,7401,1421.0350877193,51.333333333333,1261.5964912281,789,23,0,57,57,57,1233,56,7401,312.57518894958,16.635089133401,1806.566671298,80999,2926,71911,120573803,165698,273488921
"Image 5_P2-1_1.czi",3,5,75450.350260093,77,149.9025974026,176.57792207792,1,31.30295,31.30295,"Yellow", , ,2040,62,6471,1040.8701298701,17.571428571429,2827.6233766234,405,0,0,77,77,77,1635,62,6471,370.75333517502,15.038046985658,2011.9942976204,80147,1353,217727,93869429,40961,923307155
"Image 5_P2-1_1.czi",1,2,48250009.05399,49241,153.64152840113,171.28048780488,2,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-1_1.czi",3,4,82309.47301101,84,176.67857142857,154.7380952381,2,31.30295,31.30295,"Yellow", , ,3038,100,7210,1793.2142857143,49.5,1675.8214285714,972,4,0,84,84,84,2066,96,7210,569.442150852,26.726413991018,1977.6174003548,150630,4158,140769,297025810,265108,560514265
"Image 5_P2-1_1.czi",1,2,47662084.246768,48641,152.90515203224,170.45958142308,3,31.30295,31.30295,"Orange",2,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-1_1.czi",3,4,152860.44987759,156,176.42948717949,154.14102564103,3,31.30295,31.30295,"Yellow", , ,4224,116,6125,1683.3141025641,34.948717948718,1558.2243589744,335,0,0,156,156,156,3889,116,6125,998.91940844796,32.188115392786,1725.126323841,262597,5452,243083,596698431,351132,840067281
"Image 5_P2-1_1.czi",3,5,79369.848974903,81,149.14197530864,176.70987654321,3,31.30295,31.30295,"Yellow", , ,3725,30,6883,1913.3703703704,5.1358024691358,3336.9382716049,733,0,0,81,81,81,2992,30,6883,836.39834176731,8.309261529191,2103.1134143555,154983,416,270292,352504855,7660,1255794602
"Image 5_P2-1_1.czi",1,2,47206442.521172,48176,153.25921620724,170.31239621388,4,31.30295,31.30295,"Orange",3,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-1_1.czi",3,4,32335.864397183,33,225.01515151515,140.83333333333,4,31.30295,31.30295,"Yellow", , ,1956,87,4137,1604.2121212121,48.606060606061,1320.1212121212,1076,0,0,33,33,33,880,87,4137,225.69458865574,24.705691897237,1248.7739676773,52939,1604,43564,86555403,97496,107411726
"Image 5_P2-1_1.czi",3,5,179317.06620256,183,175.92076502732,154.2650273224,4,31.30295,31.30295,"Yellow", , ,5501,123,6704,1788.4262295082,28.622950819672,1604.4699453552,71,0,0,183,183,183,5430,123,6704,1369.6919015758,33.077745880932,1686.6701957901,327282,5238,293618,926761888,349060,988865112
"Image 5_P2-1_1.czi",3,6,90148.47044063,92,149.07608695652,175.89130434783,4,31.30295,31.30295,"Yellow", , ,3796,59,7528,1721.9130434783,10.652173913044,2926.7282608696,292,0,0,92,92,92,3504,59,7528,879.74523849985,15.804043704697,2330.8495508383,158416,980,269259,343208180,33168,1282438151
"Image 5_P2-1_1.czi",1,2,47538620.037252,48515,152.98547871792,169.4890137071,5,31.30295,31.30295,"Orange",3,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-1_1.czi",3,4,112685.58805079,115,223.39565217391,141.71739130435,5,31.30295,31.30295,"Yellow", , ,2728,125,7648,1531.8260869565,34.634782608696,1747.8695652174,496,0,0,115,115,115,2232,125,7648,551.35301298491,37.548875852723,1956.4187902485,176160,3983,201005,304501360,298681,787674013
"Image 5_P2-1_1.czi",3,5,172457.94345164,176,175.47727272727,154.21022727273,5,31.30295,31.30295,"Yellow", , ,6653,116,6311,2090.7386363636,25.460227272727,1461.5909090909,274,0,0,176,176,176,6379,116,6311,1679.6065729421,31.755469413352,1477.327592156,367970,4481,257240,1263017788,290559,757916588
"Image 5_P2-1_1.czi",3,6,103866.71594247,106,148.7641509434,175.6320754717,5,31.30295,31.30295,"Yellow", , ,4331,86,8341,1890.3396226415,16.584905660377,2997.2641509434,154,0,0,106,106,106,4177,86,8341,1104.625054998,24.165645794344,2434.2444816054,200376,1758,317710,506899326,90474,1574443144
"Image 5_P2-1_1.czi",1,2,47462189.812313,48437,152.72005904577,169.66433718026,6,31.30295,31.30295,"Orange",3,0, , , , , , , , , , , , , , , , , , , , , , , , 
