ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 5_P2-2.czi",1,2,60236815.998558,61474,156.51329017146,163.22695773823,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,60359300.333395,61599,156.57274468741,162.8417100927,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,60712055.217728,61959,155.3004325441,161.77966881325,3,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,61104005.089209,62359,154.64183999102,161.69143988839,4,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,60697357.097548,61944,154.95381312153,161.68061474881,5,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,60516080.281988,61759,156.02026425298,160.57840152852,6,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,60614067.749858,61859,156.36983300732,160.06324867845,7,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,60851197.422104,62101,156.1450781791,160.13828279738,8,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,60640524.366183,61886,157.10474097534,159.53194583589,9,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,60942325.767223,62194,157.33183265267,158.86164260218,10,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,61645875.786532,62912,158.20773461343,158.05458418108,11,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,61328396.390632,62588,157.45195564645,158.3469514923,12,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",4,5,32335.864397183,33,153.68181818182,209.95454545455,12,31.30295,31.30295,"Fuchsia", , ,112,1998,7814,11.454545454546,1313.2424242424,2065.8181818182,0,629,0,33,33,33,112,1369,7814,26.787463146371,386.53104906843,2267.2360300395,378,43337,68172,27292,61692987,305322452
"Image 5_P2-2.czi",1,2,61917301.072532,63189,157.53339188783,158.54361518619,13,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,61703688.392575,62971,156.91628686221,158.50819424815,14,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,62329828.312266,63610,157.2409526804,158.65887439082,15,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,62596354.224873,63882,156.94948498795,158.43959174728,16,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,62655146.705595,63942,157.11413468456,158.71231741266,17,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",4,5,33315.739075885,34,187,216,17,31.30295,31.30295,"Fuchsia", , ,687,2539,2031,341.32352941177,1717.5882352941,715.73529411765,0,966,0,34,34,34,687,1573,2031,188.05748969289,454.63832562832,652.59242042904,11605,58398,24335,5128125,107124686,31471355
"Image 5_P2-2.czi",1,2,62721778.183747,64010,156.59037650367,158.27934697704,18,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,62749214.674751,64038,156.44119116774,158.26065773447,19,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,34295.613754588,35,139.92857142857,203.55714285714,19,31.30295,31.30295,"Yellow", , ,1844,98,11223,1648.9142857143,41.457142857143,8715.5142857143,1371,0,4037,35,35,35,473,98,7186,136.90816403031,32.822466173557,1596.1759517383,57712,1451,305043,95799432,96783,2745231065
"Image 5_P2-2.czi",1,2,62489547.884895,63773,156.02840543804,158.56110736519,20,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,60752.230079555,62,139.06451612903,204.09677419355,20,31.30295,31.30295,"Yellow", , ,2398,86,11286,1822.9838709677,31.274193548387,8137.6290322581,798,0,4080,62,62,62,1600,86,7206,386.01985389931,28.329541642371,1749.6089514739,113025,1939,504533,215132443,109597,4292431409
"Image 5_P2-2.czi",1,2,62917753.119488,64210,154.59317863261,157.86878990811,21,31.30295,31.30295,"Orange",1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,144041.57776927,147,139.02380952381,203.39115646259,21,31.30295,31.30295,"Yellow", , ,3101,132,15420,1625.9319727891,23.469387755102,6927.6258503401,282,0,129,147,147,147,2819,132,15291,716.67264512615,36.236155811272,3464.4324629815,239012,3450,1018361,463605726,272676,8807158663
"Image 5_P2-2.czi",5,6,33315.739075885,34,187,215.5,21,31.30295,31.30295,"Fuchsia", , ,452,2620,3827,222.52941176471,1731.1176470588,857.47058823529,0,625,0,34,34,34,452,1995,3827,142.12909950786,524.94737194838,1061.2995246051,7566,58858,29154,2350280,110983924,62168468
"Image 5_P2-2.czi",1,2,62802127.907401,64092,154.55769830868,158.58983960557,22,31.30295,31.30295,"Orange",1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,121504.46015911,124,137.95161290323,203.35483870968,22,31.30295,31.30295,"Yellow", , ,3914,158,13750,2066.2258064516,18.66935483871,6145.2983870968,376,0,0,124,124,124,3538,158,13750,923.11237271632,36.23045517941,3526.6538067753,256212,2315,762017,634204630,204675,6212608151
"Image 5_P2-2.czi",5,6,29396.240361075,30,188.3,215.2,22,31.30295,31.30295,"Fuchsia", , ,595,1985,3484,245.73333333333,1043.6,501.83333333333,0,161,0,30,30,30,595,1824,3484,196.51286407543,600.66684781913,820.0854910579,7372,31308,15055,2931448,43136248,27058767
"Image 5_P2-2.czi",1,2,62816826.027581,64107,154.62312227994,158.94369569626,23,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,135222.70566095,138,137.80434782609,203.39855072464,23,31.30295,31.30295,"Yellow", , ,4772,174,13658,2299.0797101449,20.942028985507,6108.0652173913,269,0,0,138,138,138,4503,174,13658,1130.1160657504,41.222870860538,3571.0760001203,317273,2890,842913,904407155,293330,6895671557
"Image 5_P2-2.czi",1,2,63104909.18312,64401,153.99107933107,159.13081318613,24,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,163639.07134332,167,137.87125748503,203.08083832335,24,31.30295,31.30295,"Yellow", , ,5543,185,13080,2287.7664670659,22.197604790419,5901.0119760479,241,0,0,167,167,167,5302,185,13080,1368.2362137804,41.905981906282,3594.7643420055,382057,3707,985469,1184820869,373801,7960371263
"Image 5_P2-2.czi",1,2,62917753.119488,64210,152.99995327831,159.8361781654,25,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,138162.32969705,141,137.74822695036,202.84042553192,25,31.30295,31.30295,"Yellow", , ,6109,173,12994,2784.8156028369,18.574468085106,5626.609929078,616,0,0,141,141,141,5493,173,12994,1446.3206500972,37.402489230102,3863.4632812192,392659,2619,793352,1386340989,244499,6553571034
"Image 5_P2-2.czi",1,2,62818785.776939,64109,152.69480884119,159.51757943503,26,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,154820.199235,158,137.80379746835,203.06962025317,26,31.30295,31.30295,"Yellow", , ,6373,161,12763,2701.9430379747,20.962025316456,5474.082278481,375,0,0,158,158,158,5998,161,12763,1569.9879030881,39.491172290344,3657.1410503256,426907,3312,864905,1540461733,314276,6834385997
"Image 5_P2-2.czi",1,2,62711979.43696,64000,152.637609375,160.09546875,27,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,156779.9485924,160,137.7625,203.04375,27,31.30295,31.30295,"Yellow", , ,6278,126,11581,2683.2,16.0875,5177.99375,410,0,0,160,160,160,5868,126,11581,1577.6125852637,30.210454165413,3434.5034438214,429312,2574,828479,1547658932,186524,6165393495
"Image 5_P2-2.czi",1,2,62997122.968462,64291,151.20285109891,160.98659999067,28,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,146001.32712667,149,137.72147651007,203.3322147651,28,31.30295,31.30295,"Yellow", , ,5904,86,12459,2697.5704697987,10.234899328859,5044.966442953,438,0,0,149,149,149,5466,86,12459,1458.4326104151,18.939943941577,3229.3210114221,401938,1525,751700,1399055880,68699,5335721376
"Image 5_P2-2.czi",1,2,62668864.951097,63956,151.48336356245,161.75026580774,29,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,120524.58548041,123,138.20731707317,203.37804878049,29,31.30295,31.30295,"Yellow", , ,5222,36,11580,2749.7073170732,3.8780487804878,4947.0406504065,725,0,0,123,123,123,4497,36,11580,1214.4507611836,8.1618719383843,3123.0407009268,338214,477,608486,1109926170,9977,4200117730
"Image 5_P2-2.czi",1,2,62165209.366244,63442,151.7408183853,161.6405535765,30,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,125423.95887392,128,138.8671875,203.84375,30,31.30295,31.30295,"Yellow", , ,4314,49,11864,2237.5546875,4.484375,5710.6875,295,0,0,128,128,128,4019,49,11864,1047.9531666565,9.4468962323716,3175.3092322595,286407,574,730968,780323467,13908,5454818588
"Image 5_P2-2.czi",1,2,61773259.494763,63042,151.56400494908,162.26185717458,31,31.30295,31.30295,"Orange",2,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,76430.224938795,78,139.15384615385,204.03846153846,31,31.30295,31.30295,"Yellow", , ,3334,30,12101,2212.7435897436,1.7692307692308,5162.3461538462,420,0,48,78,78,78,2914,30,12053,667.78648574435,4.6985023226475,3257.5501225153,172594,138,402663,416243554,1944,2895781515
"Image 5_P2-2.czi",3,5,21557.242931455,22,114,232,31,31.30295,31.30295,"Yellow", , ,2550,82,9900,1777.5909090909,53.454545454546,6512.5909090909,1039,16,2123,22,22,22,1511,66,7777,463.78881268371,16.981018177806,2116.2971629283,39107,1176,143277,74033349,68918,1027157475
"Image 5_P2-2.czi",1,2,61591002.804524,62856,151.28800750923,162.53348924526,32,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,61303899.523665,62563,150.16795070569,163.70436999505,33,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,61295080.651556,62554,150.24745020303,165.29974102376,34,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",3,4,23516.99228886,24,113.375,231.75,34,31.30295,31.30295,"Yellow", , ,2942,222,7878,1849.875,82.541666666667,3690.7083333333,715,0,281,24,24,24,2227,222,7597,623.60204091615,72.487467682452,2236.2922045823,44397,1981,88577,91073129,284367,441934937
"Image 5_P2-2.czi",1,2,60309326.724782,61548,150.29136608826,165.17737375707,35,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,58889488.315342,60099,149.32001364415,167.07405281286,36,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,57904714.263246,59094,147.98400852879,166.98003181372,37,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,56543668.334528,57705,147.7905640759,168.00621263322,38,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,55576532.026648,56718,147.0191826228,168.71478190345,39,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,55412892.955305,56551,146.82466269385,168.98386412265,40,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_P2-2.czi",1,2,55331563.356973,56468,145.80146277538,169.3984734717,41,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
