ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 16_P4-3.czi",1,2,57533341.760017,58715,175.4644213574,138.13169547816,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P4-3.czi",1,2,57379501.435461,58558,177.10985689402,137.27430923187,2,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P4-3.czi",4,5,24496.866967563,25,75.66,247.42,2,31.30295,31.30295,"Fuchsia", , ,815,2933,2123,382.2,2233.24,391.32,0,1246,0,25,25,25,815,1687,2123,283.76046236218,475.8147643779,609.08152984638,9555,55831,9783,5584401,130117615,12731811
"Image 16_P4-3.czi",1,2,57514724.141122,58696,175.64213915769,137.55862409704,3,31.30295,31.30295,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P4-3.czi",4,5,22537.117610158,23,75.108695652174,247.0652173913,3,31.30295,31.30295,"Fuchsia", , ,618,3390,1813,235.78260869565,2592.4347826087,327.86956521739,0,1553,0,23,23,23,618,1837,1813,216.01556268047,541.76578519495,539.14202078587,5423,59626,7541,2305229,161033740,8867295
"Image 16_P4-3.czi",1,2,57196264.870544,58371,176.33700810334,136.74027342345,4,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P4-3.czi",1,2,56309478.286318,57466,175.71607559252,138.91222635994,5,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 16_P4-3.czi",4,5,26456.616324968,27,160.83333333333,16.5,5,31.30295,31.30295,"Fuchsia", , ,711,4138,1458,104.44444444444,2762.962962963,278.22222222222,0,970,0,27,27,27,711,3168,1458,211.61963943564,885.25730642311,451.92360938321,2820,74600,7512,1458888,226492730,7400114
"Image 16_P4-3.czi",4,6,16657.869537943,17,130.5,99.5,5,31.30295,31.30295,"Fuchsia", , ,1633,5516,6295,929.35294117647,3878,2934,310,1264,0,17,17,17,1323,4252,6295,316.21806976683,1244.1553359609,2356.8296501869,15799,65926,49878,16282749,280427788,235216388
