ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 37_P3-3.czi",1,2,39583997.395545,40397,149.26899274699,126.13281926876,1,31.30295,31.30295,"Orange",0,10, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 37_P3-3.czi",4,5,45074.235220315,46,202,17.260869565217,1,31.30295,31.30295,"Fuchsia", , ,336,6904,2073,16.413043478261,3457.847826087,874.76086956522,0,713,0,46,46,46,336,6191,2073,66.514685458495,1640.8809011882,653.79375561352,755,159061,40239,211481,671170789,54434585
"Image 37_P3-3.czi",4,6,15677.99485924,16,147,51,1,31.30295,31.30295,"Fuchsia", , ,0,7781,1243,0,6961.0625,588.625,0,5512,6,16,16,16,0,2269,1237,0,614.8554809872,445.71319253529,0,111377,9418,0,780972967,8523574
"Image 37_P3-3.czi",4,7,17637.744216645,18,199.5,114.83333333333,1,31.30295,31.30295,"Fuchsia", , ,428,9257,2736,60.833333333333,7762.8333333333,1495.3888888889,0,5772,10,18,18,18,428,3485,2726,112.13712718862,964.84428795532,910.32755183724,1095,139731,26917,280383,1100534181,54339219
"Image 37_P3-3.czi",4,8,22537.117610158,23,23.369565217391,119.67391304348,1,31.30295,31.30295,"Fuchsia", , ,91,3290,1273,11.347826086957,2346.6956521739,371.82608695652,0,1257,0,23,23,23,91,2033,1273,30.000922251964,542.08003726241,435.83792360484,261,53974,8552,22763,133125268,7358860
"Image 37_P3-3.czi",4,9,68591.227509175,70,211.87142857143,144.2,1,31.30295,31.30295,"Fuchsia", , ,1476,25106,5391,397.55714285714,12667.9,2942.3714285714,0,3239,195,70,70,70,1476,21867,5196,532.39983437628,5827.7781237295,1371.962005341,27829,886753,205966,30621639,13576745181,735905776
"Image 37_P3-3.czi",4,10,38215.112469398,39,64.012820512821,144.67948717949,1,31.30295,31.30295,"Fuchsia", , ,714,8464,3086,268,6441.7692307692,418.28205128205,0,4140,0,39,39,39,714,4324,3086,246.10406442462,1195.6533440042,742.19496476465,10452,251229,16313,5102690,1672683545,27755863
"Image 37_P3-3.czi",4,11,32335.864397183,33,174.07575757576,148.07575757576,1,31.30295,31.30295,"Fuchsia", , ,1202,11269,3475,368.27272727273,7832.3636363636,2182.6363636364,0,5059,40,33,33,33,1202,6210,3435,364.63211535115,1831.4221048509,918.86634699306,12153,258468,72027,8730229,2131746786,184226841
"Image 37_P3-3.czi",4,12,36255.363111993,37,200.31081081081,172.5,1,31.30295,31.30295,"Fuchsia", , ,1132,12688,5276,235.7027027027,8325.5135135135,2947.8648648649,0,4046,1365,37,37,37,1132,8642,3911,367.57484988812,2379.8125932474,1092.6363927615,8721,308044,109071,6919569,2768510772,364505323
"Image 37_P3-3.czi",4,13,61732.104758258,63,59.960317460318,178.43650793651,1,31.30295,31.30295,"Fuchsia", , ,1216,15442,1782,187.73015873016,8458.8095238095,443.84126984127,0,3144,0,63,63,63,1216,12298,1782,318.95773844585,3440.6754722102,476.18155951713,11827,532905,27962,8527795,5241713247,26469120
"Image 37_P3-3.czi",4,14,15677.99485924,16,98,196.5,1,31.30295,31.30295,"Fuchsia", , ,933,5788,1679,434.6875,4203.25,345.8125,0,1844,0,16,16,16,933,3944,1679,330.58064447272,1164.4367164714,466.89530857213,6955,67252,5533,4662505,303015662,5183249
"Image 37_P3-3.czi",1,2,43770022.022962,44669,138.38661040095,119.78811927735,2,31.30295,31.30295,"Orange",0,12, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 37_P3-3.czi",4,5,18617.618895348,19,205.39473684211,16.342105263158,2,31.30295,31.30295,"Fuchsia", , ,0,6649,1605,0,3635.5789473684,497.73684210526,0,1675,0,19,19,19,0,4974,1605,0,1524.2246960264,508.54343659179,0,69076,9457,0,292949948,9362193
"Image 37_P3-3.czi",4,6,24496.866967563,25,199.46,17.06,2,31.30295,31.30295,"Fuchsia", , ,0,6643,1959,0,3150.64,1141.12,0,593,155,25,25,25,0,6050,1804,0,1795.839633709,589.52200411294,0,78766,28528,0,325564270,40894740
"Image 37_P3-3.czi",4,7,32335.864397183,33,34.742424242424,42.80303030303,2,31.30295,31.30295,"Fuchsia", , ,170,3088,425,13.69696969697,2206.2424242424,30.757575757576,0,1065,0,33,33,33,170,2023,425,37.109201056211,526.75741750254,88.303818682656,452,72806,1015,50258,169506834,280741
"Image 37_P3-3.czi",4,8,17637.744216645,18,176.5,43,2,31.30295,31.30295,"Fuchsia", , ,111,7437,3263,10.222222222222,5264.2222222222,2374.1111111111,0,2488,1570,18,18,18,111,4949,1693,27.790297832063,1417.3929902779,541.5417955614,184,94756,42734,15010,532969690,106440812
"Image 37_P3-3.czi",4,9,30376.115039778,31,146.3064516129,50.822580645161,2,31.30295,31.30295,"Fuchsia", , ,15,8038,2386,0.48387096774194,6618.6129032258,1061.0967741936,0,4046,0,31,31,31,15,3992,2386,2.6940795304016,885.25226827985,801.30736320252,15,205177,32894,225,1381497287,54166522
"Image 37_P3-3.czi",4,10,17637.744216645,18,199.5,114.83333333333,2,31.30295,31.30295,"Fuchsia", , ,566,9283,2916,110.66666666667,7837.1666666667,1775.5555555556,0,5731,128,18,18,18,566,3552,2788,156.33184915053,954.97756364159,923.79601913373,1992,141069,31960,635922,1121084961,71254540
"Image 37_P3-3.czi",4,11,18617.618895348,19,23.394736842105,119.65789473684,2,31.30295,31.30295,"Fuchsia", , ,60,3156,921,8.4736842105263,2307.9473684211,266.42105263158,0,1536,0,19,19,19,60,1620,921,20.386183831901,491.64852776531,311.33160523958,161,43851,5062,8845,105556729,3093316
"Image 37_P3-3.czi",4,12,81329.598332308,83,211.30722891566,144.25903614458,2,31.30295,31.30295,"Fuchsia", , ,1369,29663,5210,429.53012048193,13436.313253012,3016.8554216868,0,3896,0,83,83,83,1369,25767,5210,522.76768933105,7091.0142174715,1436.2214070476,35651,1115214,250399,37722635,19107528224,924561599
"Image 37_P3-3.czi",4,13,43114.48586291,44,63.840909090909,145.68181818182,2,31.30295,31.30295,"Fuchsia", , ,807,8514,3116,253.18181818182,6252.2954545455,491.43181818182,0,3062,0,44,44,44,807,5452,3116,282.08198319483,1270.0365235463,728.88511225778,11140,275101,21623,6241966,1789371421,33470991
"Image 37_P3-3.czi",4,14,32335.864397183,33,173.92424242424,148.07575757576,2,31.30295,31.30295,"Fuchsia", , ,989,12129,3845,283.0303030303,8412.0606060606,2412.0303030303,0,5446,20,33,33,33,989,6683,3825,292.39575972136,1951.3023045423,1051.1407935206,9340,277598,79597,5379352,2457013782,227347079
"Image 37_P3-3.czi",4,15,22537.117610158,23,159.0652173913,166.89130434783,2,31.30295,31.30295,"Fuchsia", , ,949,8565,4427,187.47826086957,7412.7391304348,2999.2608695652,0,5011,1672,23,23,23,949,3554,2755,273.92680999348,865.40511886795,674.09260338967,4312,170493,68983,2459196,1280296505,216894831
"Image 37_P3-3.czi",4,16,34295.613754588,35,200.9,172.5,2,31.30295,31.30295,"Fuchsia", , ,1095,11907,5026,155.34285714286,8194.4,2628.6,0,4344,1023,35,35,35,1095,7563,4003,297.29436223233,2001.15061314,1029.8619610528,5437,286804,92001,3849653,2486343226,277894761
"Image 37_P3-3.czi",1,2,42018006.097442,42881,146.48838646487,122.30914624193,3,31.30295,31.30295,"Orange",0,9, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 37_P3-3.czi",4,5,15677.99485924,16,205,16.5,3,31.30295,31.30295,"Fuchsia", , ,0,6587,1787,0,3856.8125,573.75,0,1780,0,16,16,16,0,4807,1787,0,1521.5946555615,531.84891338299,0,61709,9180,0,272728797,9509974
"Image 37_P3-3.czi",4,6,24496.866967563,25,199.82,17.42,3,31.30295,31.30295,"Fuchsia", , ,0,6477,1802,0,3108.96,956.68,0,380,149,25,25,25,0,6097,1653,0,1725.6605855923,526.52181974413,0,77724,23917,0,313110514,29534321
"Image 37_P3-3.czi",4,7,32335.864397183,33,34.772727272727,42.742424242424,3,31.30295,31.30295,"Fuchsia", , ,42,3188,562,3.2424242424242,2240.7575757576,36.636363636364,0,1158,0,33,33,33,42,2030,562,10.5919494872,548.53515328914,120.74503565929,107,73945,1209,3937,175321325,510833
