ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 28_P2-4_1.czi",1,2,59894839.73569,61125,152.01561554192,169.15436400818,1,31.30295,31.30295,"Orange",7,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P2-4_1.czi",3,4,33315.739075885,34,143.41176470588,97.117647058824,1,31.30295,31.30295,"Yellow", , ,9269,320,4698,7791.2352941177,178.97058823529,3272.2941176471,6367,0,1157,34,34,34,2902,320,3541,870.15815555925,109.66132029727,814.97144509976,264902,6085,111258,2088900594,1485881,385986788
"Image 28_P2-4_1.czi",3,5,39194.9871481,40,141.7,141.975,1,31.30295,31.30295,"Yellow", , ,9929,292,4014,6686.15,184.25,2677.3,3531,71,960,40,40,40,6398,221,3054,1920.4954562393,54.882975736024,987.90408026026,267446,7370,107092,1932027882,1475396,324779636
"Image 28_P2-4_1.czi",3,6,52913.232649935,54,232.12962962963,200.98148148148,1,31.30295,31.30295,"Yellow", , ,7408,155,1878,4438.3148148148,25.685185185185,585.53703703704,2138,0,0,54,54,54,5270,155,1878,1462.4179618864,43.226400071861,584.31038898675,239669,1387,31619,1177075787,134657,36609283
"Image 28_P2-4_1.czi",3,7,112685.58805079,115,31.560869565217,225.30869565217,1,31.30295,31.30295,"Yellow", , ,10765,327,913,5252.8608695652,66.678260869565,235.07826086957,1336,0,0,115,115,115,9429,327,913,2629.5316536058,86.229655401336,303.06528009152,604079,7668,27034,3961388727,1358942,16825842
"Image 28_P2-4_1.czi",3,8,50953.48329253,52,168.84615384615,255.05769230769,1,31.30295,31.30295,"Yellow", , ,9934,132,2116,5834.4615384615,35.307692307692,1185.4807692308,2751,0,39,52,52,52,7183,132,2077,1973.2771632991,37.875719606981,561.58607638683,303392,1836,61645,1968713916,137988,89163287
"Image 28_P2-4_1.czi",3,9,104846.59062117,107,36.892523364486,266.86448598131,1,31.30295,31.30295,"Yellow", , ,10019,140,1678,5346.3738317757,35.981308411215,393.90654205608,696,0,0,107,107,107,9323,140,1678,2158.8744513443,35.861363375889,441.09868259493,572062,3850,42148,3552495630,274848,37226586
"Image 28_P2-4_1.czi",3,10,28416.365682373,29,51.948275862069,296.91379310345,1,31.30295,31.30295,"Yellow", , ,7043,57,1521,5087.1034482759,12.310344827586,577.13793103448,2724,0,1,29,29,29,4319,57,1520,1205.2269598007,18.381091698256,519.17239939693,147526,357,16737,791152040,13855,17206677
"Image 28_P2-4_1.czi",11,12,34295.613754588,35,84.642857142857,257.44285714286,1,31.30295,31.30295,"Fuchsia", , ,2217,3131,4001,538.68571428571,2073.9142857143,2791.0857142857,0,1192,1587,35,35,35,2217,1939,2414,657.43967611568,575.64502805056,616.53025169938,18854,72587,97688,24852096,161805701,285579306
"Image 28_P2-4_1.czi",1,2,59703764.173343,60930,152.10275726243,169.42305924832,2,31.30295,31.30295,"Orange",8,0, , , , , , , , , , , , , , , , , , , , , , , , 
