ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 19_P2-1.czi",1,2,67335028.171078,68718,172.11931371693,166.2214121482,1,31.30295,31.30295,"Orange",0,13, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 19_P2-1.czi",4,5,20577.368252753,21,164.78571428571,58.5,1,31.30295,31.30295,"Fuchsia", , ,2702,2122,4790,1751.380952381,1872.3333333333,2331.9523809524,0,1433,461,21,21,21,2702,689,4329,791.97951212077,202.17921093261,1165.7304781205,36779,39319,48971,76958671,74435803,141376591
"Image 19_P2-1.czi",4,6,16657.869537943,17,219.91176470588,58.558823529412,1,31.30295,31.30295,"Fuchsia", , ,1380,3248,3676,473.05882352941,2792.7058823529,1496.9411764706,0,2175,25,17,17,17,1380,1073,3651,509.02842143001,317.42691377423,1078.8212589783,8042,47476,25448,7950098,134198662,56715844
"Image 19_P2-1.czi",4,7,39194.9871481,40,268.55,67.575,1,31.30295,31.30295,"Fuchsia", , ,867,4743,1453,443.65,3190.6,537.275,0,1671,0,40,40,40,867,3072,1453,306.86609039758,863.91199694271,456.68779592706,17746,127624,21491,11545518,436304548,19680563
"Image 19_P2-1.czi",4,8,17637.744216645,18,134,78,1,31.30295,31.30295,"Fuchsia", , ,1121,3024,9008,364.05555555556,2496.1666666667,7431.2777777778,0,1573,5575,18,18,18,1121,1451,3433,317.48802149191,398.88569054009,1039.3309389476,6553,44931,133763,4099233,114860131,1012393559
"Image 19_P2-1.czi",4,9,38215.112469398,39,257.96153846154,91.192307692308,1,31.30295,31.30295,"Fuchsia", , ,871,6668,2919,415.51282051282,4649.6153846154,1001.8205128205,0,2119,0,39,39,39,871,4549,2919,249.78831793877,1276.3958224417,978.1329387583,16205,181335,39071,9104365,905047085,75498403
"Image 19_P2-1.czi",4,10,32335.864397183,33,195.13636363636,107.22727272727,1,31.30295,31.30295,"Fuchsia", , ,241,3818,2375,31.242424242424,2701.1212121212,1065.2727272727,0,1479,0,33,33,33,241,2339,2375,66.608478393816,671.7061651857,801.20617168458,1031,89137,35154,174185,255207895,57990400
"Image 19_P2-1.czi",4,11,61732.104758258,63,68.65873015873,110.89682539683,1,31.30295,31.30295,"Fuchsia", , ,1881,3711,6996,668.65079365079,2800.3333333333,4809.746031746,0,1430,631,63,63,63,1881,2281,6365,535.80308006225,579.18048331938,1736.1162530595,42125,176421,303014,45966181,514835509,1644294562
"Image 19_P2-1.czi",4,12,23516.99228886,24,169.66666666667,113.08333333333,1,31.30295,31.30295,"Fuchsia", , ,884,3045,3779,267.95833333333,2351.625,2843.875,0,1476,1533,24,24,24,884,1569,2246,333.60553107273,431.47722117315,676.43382738158,6431,56439,68253,4282971,137005333,204626943
