ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 40_P4-4.czi",1,2,67936671.223802,69332,162.36405988577,184.10566549357,1,31.30295,31.30295,"Orange",14,4, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 40_P4-4.czi",3,4,20577.368252753,21,164.21428571429,71.214285714286,1,31.30295,31.30295,"Yellow", , ,7547,80,1382,4417.9523809524,16.476190476191,704.57142857143,1817,0,138,21,21,21,5730,80,1244,1944.5239899829,24.365178118822,405.83267135959,92777,346,14796,485507839,17574,13718842
"Image 40_P4-4.czi",3,5,45074.235220315,46,197.97826086957,76.760869565217,1,31.30295,31.30295,"Yellow", , ,7776,339,3560,5424.347826087,163.84782608696,2497.4565217391,2267,0,731,46,46,46,5509,339,2829,1402.9239817434,92.534190051583,596.85992052935,249520,7537,114883,1442052076,1620237,302946177
"Image 40_P4-4.czi",3,6,80349.723653605,82,245.65853658537,84.987804878049,1,31.30295,31.30295,"Yellow", , ,11751,1439,4720,6404.2804878049,712.23170731707,2457.7804878049,1511,0,0,82,82,82,10240,1439,4720,2757.8395922627,387.04002724,1461.9411923826,525151,58403,201538,3979274319,53730267,668455200
"Image 40_P4-4.czi",3,7,36255.363111993,37,221.17567567568,128.85135135135,1,31.30295,31.30295,"Yellow", , ,11486,1303,8979,8439.4324324324,566.48648648649,7053.3243243243,4300,199,4228,37,37,37,7186,1104,4751,1808.3301311883,284.67365541983,1230.2373089515,312259,20960,260973,2753010815,14790964,1895212627
"Image 40_P4-4.czi",3,8,48993.733935125,50,124.24,129.2,1,31.30295,31.30295,"Yellow", , ,10074,197,1834,6206.82,58.36,320.62,1856,0,0,50,50,50,8218,197,1834,2143.4876090624,50.01989808148,407.27476008719,310341,2918,16031,2151363143,292892,13267623
"Image 40_P4-4.czi",3,9,43114.48586291,44,242.68181818182,144.31818181818,1,31.30295,31.30295,"Yellow", , ,11138,837,8783,8251.1818181818,350.95454545455,5953.4545454546,4758,51,3949,44,44,44,6380,786,4834,1588.1723776269,165.45033042978,1350.7342439895,363052,15442,261952,3104066596,6596514,1637972094
"Image 40_P4-4.czi",3,10,44094.360541613,45,134.03333333333,152.5,1,31.30295,31.30295,"Yellow", , ,8853,237,4284,5560.2888888889,96.866666666667,2433.4888888889,2143,0,38,45,45,45,6710,237,4246,1864.4390896975,82.440226279959,1015.6214985332,250213,4359,109507,1544206421,721283,311869497
"Image 40_P4-4.czi",3,11,96027.718512845,98,96.571428571429,176.30612244898,1,31.30295,31.30295,"Yellow", , ,15761,519,4192,6769.5612244898,239.62244897959,3216.6326530612,1219,25,2218,98,98,98,14542,494,1974,3850.9826114295,120.53202639861,512.55033220797,663417,23483,315230,5929558505,7036267,1039461772
