ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 28_P5-3.czi",1,2,52761352.074736,53845,141.62214690315,150.3570340793,1,31.30295,31.30295,"Orange",2,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P5-3.czi",3,4,27436.49100367,28,136.10714285714,103.25,1,31.30295,31.30295,"Yellow", , ,9551,2371,6871,7291.5,1944,5843.1785714286,4941,1280,4921,28,28,28,4610,1091,1950,1309.6307791808,308.30444309096,426.01113301149,204162,54432,163609,1534955808,108382202,960896711
"Image 28_P5-3.czi",3,5,34295.613754588,35,124.81428571429,249.32857142857,1,31.30295,31.30295,"Yellow", , ,9149,101,4047,6014.4,27.828571428571,2933.0285714286,3754,0,1483,35,35,35,5395,101,2564,1619.6253052517,33.80783559915,587.67435388869,210504,974,102656,1355243586,65966,312835260
"Image 28_P5-3.czi",6,7,19597.49357405,20,127.9,129.85,1,31.30295,31.30295,"Fuchsia", , ,2047,3739,7375,1265.55,3128.25,4865,717,2393,3242,20,20,20,1330,1346,4133,347.45169675647,420.64948216075,1237.8574869082,25311,62565,97300,34326067,199080935,502478032
"Image 28_P5-3.czi",6,8,15677.99485924,16,165,162.5,1,31.30295,31.30295,"Fuchsia", , ,2465,3923,11734,1776.5625,3386.0625,9705.5,993,2593,8589,16,16,16,1472,1330,3145,402.71412006534,420.76889440642,915.26498895129,28425,54177,155288,52931469,186102405,1519713334
"Image 28_P5-3.czi",6,9,21557.242931455,22,117.59090909091,175.59090909091,1,31.30295,31.30295,"Fuchsia", , ,3790,4165,8000,2836.5454545455,3251.1818181818,5326.8636363636,1907,2087,3798,22,22,22,1883,2078,4202,604.99033658341,575.13051407929,1205.360815194,62404,71526,117191,184698062,239490308,654771265
"Image 28_P5-3.czi",1,2,52172447.392836,53244,141.69649162347,149.74201787995,2,31.30295,31.30295,"Orange",3,4, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_P5-3.czi",3,4,36255.363111993,37,59.689189189189,54.013513513514,2,31.30295,31.30295,"Yellow", , ,6143,280,4832,4129.4864864865,184.83783783784,3520.1621621622,1415,16,2122,37,37,37,4728,264,2710,1409.0804452554,82.881278382433,831.87691108432,152791,6839,130246,702426647,1511401,483399732
"Image 28_P5-3.czi",3,5,30376.115039778,31,136.17741935484,103.08064516129,2,31.30295,31.30295,"Yellow", , ,9416,2688,7119,7020.6451612903,2167.3225806452,5863.2258064516,4878,1415,4565,31,31,31,4538,1273,2554,1321.4656647926,358.51595846366,576.35485074604,217640,67187,181760,1580361358,149471913,1075665470
