ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 25_P3-5.czi",1,2,85678282.156389,87438,207.8632859855,239.3438322011,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,85116813.965493,86865,207.6145455592,239.25201749842,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,84593560.887066,86331,207.59296776361,239.25380801798,3,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,84332914.222531,86065,207.57826642654,239.2167489688,4,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83979179.463519,85704,207.3978344068,239.31200410716,5,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83640142.824688,85358,207.50363176269,239.3503479463,6,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83415751.523265,85129,207.85060907564,239.48126372916,7,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83486302.500132,85201,207.8884696189,239.60404807455,8,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83372637.037402,85085,208.07343832638,240.0145325263,9,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83523537.737922,85239,207.96841234646,239.94715447155,10,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83599967.962861,85317,208.05783724229,240.16270497087,11,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83624464.829829,85342,207.78094021701,239.97907243796,12,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83460825.758486,85175,207.46871147637,239.83553272674,13,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83476503.753345,85191,207.20655350917,239.67049923114,14,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,28416.365682373,29,251.39655172414,254.5,14,31.30295,31.30295,"Yellow", , ,1594,4,3874,1087.3448275862,1.7931034482759,3171.724137931,633,0,1648,29,29,29,961,4,2226,298.52174793497,1.4237603717126,588.60476046275,31533,52,91980,36782471,150,301435942
"Image 25_P3-5.czi",1,2,83459845.883807,85174,206.83059384319,239.43749266208,15,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83408892.400514,85122,206.69341650807,239.42862009821,16,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83183521.224413,84892,206.58171559158,239.5174928144,17,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83076714.884434,84783,206.470100138,239.66727409976,18,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83066916.137647,84773,206.48720111356,240.00750828684,19,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,83034580.27325,84740,206.36423176776,240.16561246165,20,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,82864082.079156,84566,206.25580020339,240.53671688385,21,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,82862122.329798,84564,206.26013433612,240.80617047443,22,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,82737678.245603,84437,206.29449767282,240.9465696318,23,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,82536803.936469,84232,206.10601671574,241.14652388641,24,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,82431957.345848,84125,206.09260624071,241.27396731055,25,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,82306533.386974,83997,206.21221591247,241.41455647226,26,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,82180129.553421,83868,206.07381838127,241.52270234178,27,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,81966516.873464,83650,205.98486551106,241.55115361626,28,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,81819535.671659,83500,206.00040718563,241.52868263473,29,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,81504016.025117,83178,206.17951862271,241.89224314122,30,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,81168898.885,82836,206.2194577237,241.94518083925,31,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80889634.60157,82551,206.3719821686,242.06128938474,32,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80500624.354125,82154,206.51079679626,242.08022737785,33,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80176285.835475,81823,206.56768268091,242.1788311355,34,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,79892122.178651,81533,206.81378705555,242.40346240173,35,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,81261007.104798,82930,204.49446521162,238.94863137586,36,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,81189476.253253,82857,204.3796963443,238.77444874905,37,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,81081690.038596,82747,204.33627200986,238.41718128754,38,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80910211.969823,82572,204.40238821877,237.88910284358,39,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80919030.841931,82581,204.01893292646,237.53847131907,40,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80680921.295007,82338,203.75584784668,237.31840705385,41,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80921970.465967,82584,202.98651070425,236.54011672963,42,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80918050.967253,82580,202.19062727053,236.06036570598,43,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80789687.384342,82449,201.61182670499,236.01156472486,44,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80950386.83165,82613,200.89041071018,235.59389563386,45,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80869057.233317,82530,200.3344844299,235.35762752938,46,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80744613.149122,82403,199.9312464352,235.39620523525,47,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80522181.597057,82176,200.01624561916,235.82740702882,48,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80542758.965309,82197,200.04371814057,235.47394065477,49,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80439872.124046,82092,199.88572577109,235.49333674414,50,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80421254.50515,82073,200.06990727767,235.41098168704,51,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,80141010.347041,81787,200.30229131769,235.59605438517,52,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",1,2,79976391.401019,81619,200.47492005538,235.40352736495,53,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,79369.848974903,81,203.53703703704,269.98148148148,53,31.30295,31.30295,"Yellow", , ,4753,8,6163,3500.3950617284,1.1111111111111,4200.3209876543,2179,0,2575,81,81,81,2574,8,3588,668.88948412672,1.7888543819998,944.41975343542,283532,90,340226,1028267064,356,1500412702
"Image 25_P3-5.czi",1,2,79925437.917727,81567,200.35188863143,235.1389839028,54,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,104846.59062117,107,202.54672897196,270.08878504673,54,31.30295,31.30295,"Yellow", , ,5969,9,6784,3884.8785046729,1.3738317757009,4814.0093457944,1994,0,2982,107,107,107,3975,9,3802,1039.6010456691,2.1169725824464,1085.2649402233,415682,147,515099,1729435722,677,2604538199
"Image 25_P3-5.czi",1,2,79589340.902932,81224,200.49337634197,235.09195557963,55,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,64671.728794365,66,204.51515151515,269.5,55,31.30295,31.30295,"Yellow", , ,7403,9,6516,5387.6515151515,1.2272727272727,4630.196969697,2690,0,3407,66,66,66,4713,9,3109,1161.9561026056,2.0665501132635,865.96756414113,355585,81,305593,2003527293,377,1463699271
"Image 25_P3-5.czi",1,2,79480574.813596,81113,200.61519731732,235.15965998052,56,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,97987.46787025,100,203.52,270.35,56,31.30295,31.30295,"Yellow", , ,9060,12,7624,5787.88,1.74,5119.83,3064,0,3265,100,100,100,5996,12,4359,1589.1910989843,2.8519707876725,1121.1526541191,578788,174,511983,3599982796,1108,2745707267
"Image 25_P3-5.czi",1,2,79041590.957537,80665,200.7337816897,235.36100539267,57,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,145021.45244797,148,203.39189189189,270.30405405405,57,31.30295,31.30295,"Yellow", , ,10938,16,8160,5710.9797297297,2.3918918918919,5546.2297297297,1862,0,3300,148,148,148,9076,16,4860,2365.7392696794,3.8626682384339,1246.2371941746,845225,354,820842,5649781019,3040,4780885054
"Image 25_P3-5.czi",1,2,78768205.922179,80386,200.79521309681,235.17664767497,58,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,136202.58033965,139,204.4928057554,270.32014388489,58,31.30295,31.30295,"Yellow", , ,13033,13,8927,6547.8848920863,1.9136690647482,5650.3237410072,1401,0,3445,139,139,139,11632,13,5482,3206.2575571663,3.1426980340412,1306.9836177401,910156,266,785395,7378248800,1872,4673468467
"Image 25_P3-5.czi",1,2,78538915.247363,80152,200.80898792295,235.28014272882,59,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,105826.46529987,108,203.97222222222,270.69444444444,59,31.30295,31.30295,"Yellow", , ,15351,12,8535,8991.962962963,1.8240740740741,5714.0648148148,3306,0,3673,108,108,108,12045,12,4862,3170.9014783704,2.9665698235211,1189.4097591659,971132,197,617119,9808226908,1301,3677630391
"Image 25_P3-5.czi",1,2,78307664.823189,79916,200.65710245758,235.1303368537,60,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,143061.70309057,146,203.80821917808,270.63698630137,60,31.30295,31.30295,"Yellow", , ,17885,18,9214,8789.5273972603,1.8698630136986,6037.4383561644,2260,0,3666,146,146,146,15625,18,5548,4194.717009394,3.4306201281786,1353.0096055555,1283271,273,881466,13830714977,2217,5587238712
"Image 25_P3-5.czi",1,2,78063676.028192,79667,200.48781176648,234.83091493341,61,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,181276.81555996,185,203.73243243243,270.9,61,31.30295,31.30295,"Yellow", , ,20512,23,9014,8427.6648648649,2.1189189189189,6268.3675675676,1029,0,3504,185,185,185,19483,23,5510,5234.1949036359,3.9668351911325,1384.7110297455,1559118,392,1159648,18180734506,3726,7621906046
"Image 25_P3-5.czi",1,2,78784863.791717,80403,199.66120045272,233.70378592839,62,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,195974.9357405,200,203.615,270.84,62,31.30295,31.30295,"Yellow", , ,23117,26,9194,8744.795,1.715,6382.365,899,0,2819,200,200,200,22218,26,6375,6120.0138965073,4.0080039268178,1445.7988530193,1748959,343,1276473,22747747367,3785,8562893129
"Image 25_P3-5.czi",1,2,79050409.829646,80674,199.2800654486,233.0943674542,63,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,203813.93317012,208,203.80769230769,270.93269230769,63,31.30295,31.30295,"Yellow", , ,25551,33,9468,9217.75,2.0769230769231,6440.5480769231,831,0,2799,208,208,208,24720,33,6669,6899.9782254785,5.6529113660068,1414.3894767285,1917292,432,1339634,27528326132,7512,9042080184
"Image 25_P3-5.czi",1,2,78893629.881053,80514,198.97977991405,233.19842511861,64,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,192055.43702569,196,204.08163265306,271.04081632653,64,31.30295,31.30295,"Yellow", , ,27700,31,9222,10395.530612245,2.1275510204082,6412.3979591837,743,0,3342,196,196,196,26957,31,5880,7469.5346880156,5.8361434511156,1315.6394895477,2037524,417,1256830,32060963064,7529,8396821044
"Image 25_P3-5.czi",1,2,78381155.424092,79991,199.21544298734,233.47087172307,65,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,168538.44473683,172,204.01744186047,271.18604651163,65,31.30295,31.30295,"Yellow", , ,29570,35,8931,12183.325581395,1.7848837209302,6265.6627906977,1354,0,3315,172,172,172,28216,35,5616,7734.0424643743,5.4756455453624,1238.2247914506,2095532,307,1077694,35758984218,5675,7014644504
"Image 25_P3-5.czi",1,2,77729538.762755,79326,199.61469127398,233.71235156191,66,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,153840.32455629,157,204.20700636943,271.18152866242,66,31.30295,31.30295,"Yellow", , ,30807,27,7938,13344.770700637,1.8025477707006,6257.6624203822,1937,0,3767,157,157,157,28870,27,4171,7994.9488451665,4.9503166053189,1088.3781309004,2095129,283,982453,37930412391,4333,6332651663
"Image 25_P3-5.czi",1,2,77637430.542957,79232,199.49055936995,233.58035894588,67,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,146981.20180538,150,203.92,270.9,67,31.30295,31.30295,"Yellow", , ,31270,25,7896,13903.046666667,1.1266666666667,6201.3066666667,2407,0,3809,150,150,150,28863,25,4087,8004.6212544591,3.6422145831007,1055.652633448,2085457,169,930196,38541226245,2167,5934476626
"Image 25_P3-5.czi",1,2,77052445.359771,78635,199.91241177593,233.85358301011,68,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,151880.57519889,155,204.24838709677,271.06129032258,68,31.30295,31.30295,"Yellow", , ,30875,22,8291,13353.806451613,1.0838709677419,6172.0516129032,1421,0,3833,155,155,155,29454,22,4458,7948.1293536301,3.3438348750431,1065.2715634111,2069840,168,956668,37368847820,1904,6079364012
"Image 25_P3-5.czi",1,2,76534091.654738,78106,200.31376590787,234.12666120401,69,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 25_P3-5.czi",3,4,170498.19409424,174,204.04597701149,271.44827586207,69,31.30295,31.30295,"Yellow", , ,29610,22,8073,11809.862068966,1.2586206896552,6088.1666666667,1442,0,3181,174,174,174,28168,22,4892,7703.3482565939,3.9295545857737,1130.7488954437,2054916,219,1059341,34534366888,2947,6670641165
"Image 25_P3-5.czi",1,2,75838380.632859,77396,200.93109463021,234.63212569125,70,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
