ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 5_SIM_P5-3.czi",1,2,63420527.149004,64723,133.50296648796,161.8242124129,1,31.302974264139,31.302974264139,"Orange",21,8, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 5_SIM_P5-3.czi",3,4,31356.038329004,32,140.84375,31.875,1,31.302974264139,31.302974264139,"Yellow", , ,633,307,2672,355.09375,75.375,2259.6875,134,0,1642,32,32,32,499,307,1030,142.93318072871,95.750263201862,291.50393540198,11363,2412,72310,4668257,466016,166032214
"Image 5_SIM_P5-3.czi",3,5,22537.152548972,23,172.9347826087,48.891304347826,1,31.302974264139,31.302974264139,"Yellow", , ,638,179,2888,386.26086956522,65.391304347826,2068.3043478261,178,7,1407,23,23,23,460,172,1481,132.40613051974,47.363909477033,414.61498402764,8884,1504,47571,3817232,147702,102173229
"Image 5_SIM_P5-3.czi",3,6,42134.676504599,43,75.5,65.755813953488,1,31.302974264139,31.302974264139,"Yellow", , ,1116,572,1645,456.93023255814,94.976744186047,845.55813953488,109,0,317,43,43,43,1007,572,1328,291.15749259259,148.45770415334,370.86259182547,19648,4084,36359,12538218,1313552,36520289
"Image 5_SIM_P5-3.czi",3,7,42134.676504599,43,162.5,67.5,1,31.302974264139,31.302974264139,"Yellow", , ,981,94,3106,421.16279069767,5.6511627906977,2386.1860465116,109,0,2109,43,43,43,872,94,997,243.67972053815,17.011038042471,248.01874504945,18110,243,102606,10121210,13527,247420564
"Image 5_SIM_P5-3.czi",3,8,32335.914526785,33,95.5,77.5,1,31.302974264139,31.302974264139,"Yellow", , ,922,0,1558,364.21212121212,0,1383.1818181818,84,0,1029,33,33,33,838,0,529,234.47797838707,0,126.18871149628,12019,0,45645,6136823,0,63644889
"Image 5_SIM_P5-3.czi",3,9,46054.181295724,47,146.92553191489,85.670212765957,1,31.302974264139,31.302974264139,"Yellow", , ,1007,123,3693,424.10638297872,25.212765957447,3368.085106383,105,1,2828,47,47,47,902,122,865,252.00907799751,26.086758401961,203.35071757576,19933,1185,158300,11375107,61181,535070042
"Image 5_SIM_P5-3.czi",3,10,28416.40973566,29,225.43103448276,95.086206896552,1,31.302974264139,31.302974264139,"Yellow", , ,934,14,1472,479.51724137931,3.1034482758621,1012.724137931,165,0,637,29,29,29,769,14,835,216.21775080586,3.199830660544,192.44589157024,13906,90,29369,7977170,566,30779687
"Image 5_SIM_P5-3.czi",3,11,32335.914526785,33,134.22727272727,97.045454545455,1,31.302974264139,31.302974264139,"Yellow", , ,976,42,2615,377.18181818182,2.8787878787879,1792.6363636364,54,0,1251,33,33,33,922,42,1364,260.95407337133,8.2868780903817,362.68330005166,12447,95,59157,6873887,2471,110256243
