ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 12_SIM_P1-5.czi",1,2,108501691.38033,110730,204.86013727084,200.11801679762,1,31.302974264139,31.302974264139,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",1,2,108054867.83414,110274,204.76622775994,200.05995973666,2,31.302974264139,31.302974264139,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",1,2,107482620.13464,109690,204.66737168384,199.95779925244,3,31.302974264139,31.302974264139,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",1,2,107036776.46465,109235,204.54413420607,199.90288369113,4,31.302974264139,31.302974264139,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",1,2,106581134.03268,108770,204.52971407557,199.66268272502,5,31.302974264139,31.302974264139,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",1,2,106225438.97289,108407,204.40940621916,199.52345789479,6,31.302974264139,31.302974264139,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",1,2,105805072.08404,107978,204.37671562726,199.43261590324,7,31.302974264139,31.302974264139,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",1,2,105491511.70075,107658,204.22833416931,199.26462501626,8,31.302974264139,31.302974264139,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",1,2,104837934.27683,106991,204.32984550102,198.89484629548,9,31.302974264139,31.302974264139,"Orange",0,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",4,5,30376.162131222,31,142.20967741936,298.79032258065,9,31.302974264139,31.302974264139,"Fuchsia", , ,0,3681,2612,0,1828.064516129,2403.4838709677,0,611,2184,31,31,31,0,3070,428,0,856.68021787533,108.95285554396,0,56670,74508,0,125613446,179434898
"Image 12_SIM_P1-5.czi",1,2,104441084.41673,106586,204.30684142383,198.89565233708,10,31.302974264139,31.302974264139,"Orange",2,5, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",3,4,28416.40973566,29,140.56896551724,223.91379310345,10,31.302974264139,31.302974264139,"Yellow", , ,806,0,1556,439.48275862069,0,1366.4482758621,168,0,1137,29,29,29,638,0,419,181.95243112451,0,123.1240913547,12745,0,39627,6528195,0,54572713
"Image 12_SIM_P1-5.czi",3,5,27436.533537878,28,228.5,328.82142857143,10,31.302974264139,31.302974264139,"Yellow", , ,768,0,5456,377.75,0,4849.3928571429,141,0,4359,28,28,28,627,0,1097,178.97022822971,0,323.49930897925,10577,0,135783,4860281,0,661290709
"Image 12_SIM_P1-5.czi",6,7,22537.152548972,23,77.978260869565,127.9347826087,10,31.302974264139,31.302974264139,"Fuchsia", , ,43,2243,3491,22.434782608696,1380.8695652174,3170.4347826087,1,633,2938,23,23,23,42,1610,553,14.367976029277,521.07383042991,158.80915535978,516,31760,72920,16118,49829812,231742952
"Image 12_SIM_P1-5.czi",6,8,20577.400153409,21,94.119047619048,249.7380952381,10,31.302974264139,31.302974264139,"Fuchsia", , ,12,2307,2184,5.6666666666667,1279.0952380952,1906.0476190476,1,523,1675,21,21,21,11,1784,509,2.8343135559308,528.82330742526,162.74841817679,119,26861,40027,835,39950859,76823109
"Image 12_SIM_P1-5.czi",6,9,45074.305097943,46,142.60869565217,299.13043478261,10,31.302974264139,31.302974264139,"Fuchsia", , ,0,6504,2568,0,2315.0434782609,2289.6304347826,0,486,1957,46,46,46,0,6018,611,0,1686.7197614373,148.95731807701,0,106492,105323,0,374559670,242149219
"Image 12_SIM_P1-5.czi",6,10,23517.028746753,24,126.16666666667,320.375,10,31.302974264139,31.302974264139,"Fuchsia", , ,0,2878,4844,0,1653.25,4281.125,0,595,3480,24,24,24,0,2283,1364,0,617.36919051027,365.51063893396,0,39678,102747,0,74363982,442945505
"Image 12_SIM_P1-5.czi",6,11,24496.904944534,25,267.54,333.9,10,31.302974264139,31.302974264139,"Fuchsia", , ,8,2546,1232,2.76,1413.72,982.32,0,595,701,25,25,25,8,1951,531,2.3853720883753,580.11267009091,146.01704238433,69,35343,24558,327,58041843,24635518
"Image 12_SIM_P1-5.czi",1,2,104133403.29062,106272,204.2586476212,198.88268781993,11,31.302974264139,31.302974264139,"Orange",7,10, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 12_SIM_P1-5.czi",3,4,34295.666922348,35,263.3,40.957142857143,11,31.302974264139,31.302974264139,"Yellow", , ,981,787,1836,409.51428571429,223.25714285714,1145.1714285714,86,11,784,35,35,35,895,776,1052,258.48294646542,212.31848203848,276.47906906356,14333,7814,40081,8141225,3277222,48498599
"Image 12_SIM_P1-5.czi",3,5,22537.152548972,23,308.32608695652,97.5,11,31.302974264139,31.302974264139,"Yellow", , ,652,0,3790,403.69565217391,0,3393.7826086957,204,0,2959,23,23,23,448,0,831,129.58866209616,0,211.67104764485,9285,0,78057,4117765,0,265894191
"Image 12_SIM_P1-5.czi",3,6,27436.533537878,28,292.5,109.82142857143,11,31.302974264139,31.302974264139,"Yellow", , ,896,0,1511,457.5,0,1241.7857142857,148,0,940,28,28,28,748,0,571,207.23121815445,0,145.24471231348,12810,0,34770,7020084,0,43746482
"Image 12_SIM_P1-5.czi",3,7,53893.190877975,55,140.79090909091,224.26363636364,11,31.302974264139,31.302974264139,"Yellow", , ,1532,6,1807,489.78181818182,0.4,1462.4727272727,53,0,1140,55,55,55,1479,6,667,404.07561131959,1.1155467020454,156.74488054083,26938,22,80436,22010706,76,118962180
"Image 12_SIM_P1-5.czi",3,8,27436.533537878,28,215.5,252.82142857143,11,31.302974264139,31.302974264139,"Yellow", , ,770,302,1666,380.60714285714,40,1050.8571428571,122,1,762,28,28,28,648,301,904,183.16200869332,72.576396530369,204.01156726205,10657,1120,29424,4961935,187018,32044180
