ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 28_SIM_P5-3.czi",1,2,54630057.778707,55752,131.06557612283,150.52715597647,1,31.302974264139,31.302974264139,"Orange",10,11, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 28_SIM_P5-3.czi",3,4,18617.647757846,19,132.6052631579,147.07894736842,1,31.302974264139,31.302974264139,"Yellow", , ,464,61,1523,289.89473684211,6,1401.3157894737,108,0,1248,19,19,19,356,61,275,103.08459025741,14.783624574358,81.405058968906,5508,114,26625,1788016,4618,37429315
"Image 28_SIM_P5-3.czi",3,5,34295.666922348,35,229.07142857143,150.92857142857,1,31.302974264139,31.302974264139,"Yellow", , ,1223,61,1757,458,10.8,1383.2285714286,95,0,1030,35,35,35,1128,61,727,319.86302215351,15.888952877059,173.44334313346,16030,378,48413,10820360,12666,67989053
"Image 28_SIM_P5-3.czi",3,6,24496.904944534,25,162.5,161.5,1,31.302974264139,31.302974264139,"Yellow", , ,654,179,1873,362.4,26.08,1684.12,105,0,1489,25,25,25,549,179,384,146.07161485609,41.494899284932,119.77977013391,9060,652,42103,3795430,58328,71250837
"Image 28_SIM_P5-3.czi",3,7,20577.400153409,21,206.78571428571,171.5,1,31.302974264139,31.302974264139,"Yellow", , ,521,36,3740,303.2380952381,10.190476190476,3618.8095238095,90,0,3371,21,21,21,431,36,369,124.47566218418,11.643105460396,104.42491036511,6368,214,75995,2240904,4892,275229521
"Image 28_SIM_P5-3.czi",3,8,32335.914526785,33,103.07575757576,179.92424242424,1,31.302974264139,31.302974264139,"Yellow", , ,609,5,1219,319.15151515152,0.45454545454546,1081.2424242424,119,0,1001,33,33,33,490,5,218,136.84871236427,1.1205720941474,59.136510667602,10532,15,35681,3960586,47,38691719
"Image 28_SIM_P5-3.czi",3,9,21557.27635119,22,142,180,1,31.302974264139,31.302974264139,"Yellow", , ,410,180,1394,281.18181818182,50.954545454546,1323.1818181818,123,1,1149,22,22,22,287,179,245,84.54733042652,50.355382057577,57.739675526194,6186,1121,29110,1889504,110369,38587834
"Image 28_SIM_P5-3.czi",3,10,34295.666922348,35,235.92857142857,197.92857142857,1,31.302974264139,31.302974264139,"Yellow", , ,622,35,774,351.68571428571,3.8285714285714,377.4,127,0,99,35,35,35,495,35,675,137.7068009403,7.7743383084642,160.05315293585,12309,134,13209,4973647,2568,5856055
"Image 28_SIM_P5-3.czi",3,11,22537.152548972,23,111.67391304348,202.5,1,31.302974264139,31.302974264139,"Yellow", , ,399,854,1581,270.04347826087,269.17391304348,1394.0869565217,158,14,1143,23,23,23,241,840,438,72.985975153929,250.95665184792,127.88023979969,6211,6191,32064,1794433,3051999,45059778
