Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20211012_GFI1_DMSO_A_MP9377_S76_R1_001	20211012_GFI1_DMSO_A_MP9377_S76_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38049485.0	0.0	150.0	44.0	39.447631083015125	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
20211012_GFI1_DMSO_A_MP9377_S76_R2_001	20211012_GFI1_DMSO_A_MP9377_S76_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38049485.0	0.0	150.0	45.0	41.58049085967146	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
20211012_GFI1_DMSO_B_MP9377_S77_R1_001	20211012_GFI1_DMSO_B_MP9377_S77_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54004362.0	0.0	150.0	45.0	36.506262510757985	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
20211012_GFI1_DMSO_B_MP9377_S77_R2_001	20211012_GFI1_DMSO_B_MP9377_S77_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54004362.0	0.0	150.0	46.0	38.511048150740365	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
20211012_GFI1_DMSO_C_MP9377_S78_R1_001	20211012_GFI1_DMSO_C_MP9377_S78_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50814162.0	0.0	150.0	45.0	39.269544666083235	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
20211012_GFI1_DMSO_C_MP9377_S78_R2_001	20211012_GFI1_DMSO_C_MP9377_S78_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50814162.0	0.0	150.0	45.0	40.29027150721508	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
20211012_GFI1_DMSO_D_MP9377_S79_R1_001	20211012_GFI1_DMSO_D_MP9377_S79_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61796357.0	0.0	150.0	44.0	36.00200785363987	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
20211012_GFI1_DMSO_D_MP9377_S79_R2_001	20211012_GFI1_DMSO_D_MP9377_S79_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61796357.0	0.0	150.0	45.0	38.170554246216966	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
20211012_GFI1_DMSO_E_MP9377_S80_R1_001	20211012_GFI1_DMSO_E_MP9377_S80_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62445580.0	0.0	150.0	46.0	36.18321492290234	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
20211012_GFI1_DMSO_E_MP9377_S80_R2_001	20211012_GFI1_DMSO_E_MP9377_S80_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62445580.0	0.0	150.0	46.0	36.83102497172039	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
