Sample	Top over-represented sequence	Sum of remaining over-represented sequences
20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R1_001	1.9061822820546261	2.115896325074079
20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R2_001	0.23062330922153626	0.8076082707078208
20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R1_001	1.2517575298135137	1.435136468597044
20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R2_001	0.16556707529142134	0.32812925144036903
20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R1_001	1.309021589471059	2.5976975150440467
20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R2_001	0.23393411061786726	1.2881355781218402
20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R1_001	0.9077280834586341	1.0558679822203172
20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R2_001	0.12594571523905834	0.0
20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R1_001	0.8722284127717108	1.0144755497444577
20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R2_001	0.13102820657308162	0.11144424643076153
20211108_15_MYB-dTAG_DMSO_2h_E_MP9454_S89_R1_001	1.6831994213958028	1.6460560361961156
20211108_15_MYB-dTAG_DMSO_2h_E_MP9454_S89_R2_001	0.3183201771017157	1.2587721788073472
20211108_16_MYB-dTAG_VHL_2h_A_MP9454_S90_R1_001	1.281999585474103	1.6628011013838095
20211108_16_MYB-dTAG_VHL_2h_A_MP9454_S90_R2_001	0.2557076655501522	0.730302175662813
20211108_17_MYB-dTAG_VHL_2h_B_MP9454_S91_R1_001	1.2640279170254347	1.889573731813246
20211108_17_MYB-dTAG_VHL_2h_B_MP9454_S91_R2_001	0.237963188352526	0.1227390393704218
20211108_18_MYB-dTAG_VHL_2h_C_MP9454_S92_R1_001	1.52332290806226	1.6260724794811448
20211108_18_MYB-dTAG_VHL_2h_C_MP9454_S92_R2_001	0.1861858483819432	0.8548851524896215
20211108_19_MYB-dTAG_VHL_2h_D_MP9454_S93_R1_001	1.1106101153407968	1.3457353776903918
