Sample	Unique Reads	Duplicate Reads
20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R1_001	31966766.0	65879805.0
20211108_10_MYB-dTAG_VHL_1h_E_MP9454_S84_R2_001	34652772.0	63193799.0
20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R1_001	33201525.0	67933317.0
20211108_11_MYB-dTAG_DMSO_2h_A_MP9454_S85_R2_001	33933718.0	67201124.0
20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R1_001	25573809.0	59741667.0
20211108_12_MYB-dTAG_DMSO_2h_B_MP9454_S86_R2_001	27251928.0	58063548.0
20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R1_001	22089590.0	66338984.0
20211108_13_MYB-dTAG_DMSO_2h_C_MP9454_S87_R2_001	23770484.0	64658090.0
20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R1_001	23198838.0	46460209.0
20211108_14_MYB-dTAG_DMSO_2h_D_MP9454_S88_R2_001	24138130.0	45520917.0
20211108_15_MYB-dTAG_DMSO_2h_E_MP9454_S89_R1_001	32300668.0	65800245.0
20211108_15_MYB-dTAG_DMSO_2h_E_MP9454_S89_R2_001	33124953.0	64975960.0
20211108_16_MYB-dTAG_VHL_2h_A_MP9454_S90_R1_001	26581935.0	50991023.0
20211108_16_MYB-dTAG_VHL_2h_A_MP9454_S90_R2_001	28118163.0	49454795.0
20211108_17_MYB-dTAG_VHL_2h_B_MP9454_S91_R1_001	24658172.0	47279005.0
20211108_17_MYB-dTAG_VHL_2h_B_MP9454_S91_R2_001	26000563.0	45936614.0
20211108_18_MYB-dTAG_VHL_2h_C_MP9454_S92_R1_001	28786105.0	58387008.0
20211108_18_MYB-dTAG_VHL_2h_C_MP9454_S92_R2_001	30210778.0	56962335.0
20211108_19_MYB-dTAG_VHL_2h_D_MP9454_S93_R1_001	29282932.0	78537894.0
20211108_19_MYB-dTAG_VHL_2h_D_MP9454_S93_R2_001	32262751.0	75558075.0
20211108_1_MYB-dTAG_DMSO_1h_A_MP9454_S75_R1_001	21026865.0	67773352.0
20211108_1_MYB-dTAG_DMSO_1h_A_MP9454_S75_R2_001	22458670.0	66341547.0
20211108_20_MYB-dTAG_VHL_2h_E_MP9454_S94_R1_001	22669200.0	49675319.0
20211108_20_MYB-dTAG_VHL_2h_E_MP9454_S94_R2_001	26711081.0	45633438.0
20211108_21_MYB-dTAG_DMSO_4h_A_MP9454_S95_R1_001	23779028.0	50894420.0
20211108_21_MYB-dTAG_DMSO_4h_A_MP9454_S95_R2_001	25240067.0	49433381.0
20211108_22_MYB-dTAG_DMSO_4h_B_MP9454_S96_R1_001	18385943.0	63745324.0
20211108_22_MYB-dTAG_DMSO_4h_B_MP9454_S96_R2_001	20764207.0	61367060.0
20211108_23_MYB-dTAG_DMSO_4h_C_MP9454_S97_R1_001	31226130.0	64644546.0
20211108_23_MYB-dTAG_DMSO_4h_C_MP9454_S97_R2_001	32192636.0	63678040.0
20211108_24_MYB-dTAG_DMSO_4h_D_MP9454_S98_R1_001	19509795.0	58935989.0
20211108_24_MYB-dTAG_DMSO_4h_D_MP9454_S98_R2_001	20659706.0	57786078.0
20211108_25_MYB-dTAG_DMSO_4h_E_MP9454_S111_R1_001	19158890.0	31895374.0
20211108_25_MYB-dTAG_DMSO_4h_E_MP9454_S111_R2_001	20181071.0	30873193.0
20211108_26_MYB-dTAG_VHL_4h_A_MP9454_S112_R1_001	15463266.0	29270650.0
20211108_26_MYB-dTAG_VHL_4h_A_MP9454_S112_R2_001	17440877.0	27293039.0
20211108_27_MYB-dTAG_VHL_4h_B_MP9454_S113_R1_001	13653466.0	40303386.0
20211108_27_MYB-dTAG_VHL_4h_B_MP9454_S113_R2_001	15581753.0	38375099.0
20211108_28_MYB-dTAG_VHL_4h_C_MP9454_S114_R1_001	14007000.0	31682596.0
20211108_28_MYB-dTAG_VHL_4h_C_MP9454_S114_R2_001	17724341.0	27965255.0
20211108_29_MYB-dTAG_VHL_4h_D_MP9454_S115_R1_001	18463059.0	36897077.0
20211108_29_MYB-dTAG_VHL_4h_D_MP9454_S115_R2_001	20500083.0	34860053.0
20211108_2_MYB-dTAG_DMSO_1h_B_MP9454_S76_R1_001	21120806.0	39007351.0
20211108_2_MYB-dTAG_DMSO_1h_B_MP9454_S76_R2_001	23352219.0	36775938.0
