Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20220610_10_MV411_JQ1_B_MP10091_S10_R1_001	20220610_10_MV411_JQ1_B_MP10091_S10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45477909.0	0.0	150.0	47.0	46.64515889890805	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220610_10_MV411_JQ1_B_MP10091_S10_R2_001	20220610_10_MV411_JQ1_B_MP10091_S10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45477909.0	0.0	150.0	48.0	43.035896288927994	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	fail
20220610_11_MV411_JQ1_C_MP10091_S11_R1_001	20220610_11_MV411_JQ1_C_MP10091_S11_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41494786.0	0.0	150.0	48.0	50.05486586471254	150.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	fail
20220610_11_MV411_JQ1_C_MP10091_S11_R2_001	20220610_11_MV411_JQ1_C_MP10091_S11_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41494786.0	0.0	150.0	48.0	44.23737184109327	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_12_MV411_JQ1_D_MP10091_S12_R1_001	20220610_12_MV411_JQ1_D_MP10091_S12_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40624318.0	0.0	150.0	48.0	53.87758720670504	150.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	fail
20220610_12_MV411_JQ1_D_MP10091_S12_R2_001	20220610_12_MV411_JQ1_D_MP10091_S12_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40624318.0	0.0	150.0	48.0	47.39667865437459	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_13_MV411_MYCi361_A_MP10091_S13_R1_001	20220610_13_MV411_MYCi361_A_MP10091_S13_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40757620.0	0.0	150.0	48.0	49.64270155071377	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
20220610_13_MV411_MYCi361_A_MP10091_S13_R2_001	20220610_13_MV411_MYCi361_A_MP10091_S13_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40757620.0	0.0	150.0	48.0	43.33456785297907	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20220610_14_MV411_MYCi361_B_MP10091_S14_R1_001	20220610_14_MV411_MYCi361_B_MP10091_S14_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30026245.0	0.0	150.0	47.0	43.37722094205979	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220610_14_MV411_MYCi361_B_MP10091_S14_R2_001	20220610_14_MV411_MYCi361_B_MP10091_S14_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30026245.0	0.0	150.0	48.0	40.09117251373799	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	fail
20220610_15_MV411_MYCi361_C_MP10091_S15_R1_001	20220610_15_MV411_MYCi361_C_MP10091_S15_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41586692.0	0.0	150.0	49.0	43.62777719250211	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220610_15_MV411_MYCi361_C_MP10091_S15_R2_001	20220610_15_MV411_MYCi361_C_MP10091_S15_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41586692.0	0.0	150.0	49.0	39.00658325395664	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20220610_16_MV411_MYCi361_D_MP10091_S16_R1_001	20220610_16_MV411_MYCi361_D_MP10091_S16_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50920812.0	0.0	150.0	48.0	53.20920686498356	150.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail
20220610_16_MV411_MYCi361_D_MP10091_S16_R2_001	20220610_16_MV411_MYCi361_D_MP10091_S16_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50920812.0	0.0	150.0	48.0	49.07661686662265	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_17_MV411_THZ1_A_MP10091_S17_R1_001	20220610_17_MV411_THZ1_A_MP10091_S17_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53095601.0	0.0	150.0	48.0	48.81755020590641	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
20220610_17_MV411_THZ1_A_MP10091_S17_R2_001	20220610_17_MV411_THZ1_A_MP10091_S17_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53095601.0	0.0	150.0	48.0	44.15155915507195	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_18_MV411_THZ1_B_MP10091_S18_R1_001	20220610_18_MV411_THZ1_B_MP10091_S18_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52304976.0	0.0	150.0	48.0	47.11431084502302	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220610_18_MV411_THZ1_B_MP10091_S18_R2_001	20220610_18_MV411_THZ1_B_MP10091_S18_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52304976.0	0.0	150.0	48.0	42.22890091003794	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	fail
20220610_19_MV411_THZ1_C_MP10091_S19_R1_001	20220610_19_MV411_THZ1_C_MP10091_S19_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62756036.0	0.0	150.0	48.0	49.87721848489838	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220610_19_MV411_THZ1_C_MP10091_S19_R2_001	20220610_19_MV411_THZ1_C_MP10091_S19_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62756036.0	0.0	150.0	49.0	43.27764784991964	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_1_MV411_DMSO_A_MP10091_S1_R1_001	20220610_1_MV411_DMSO_A_MP10091_S1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48127346.0	0.0	150.0	49.0	45.380296383419	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
20220610_1_MV411_DMSO_A_MP10091_S1_R2_001	20220610_1_MV411_DMSO_A_MP10091_S1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48127346.0	0.0	150.0	49.0	39.23127782642881	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20220610_20_MV411_THZ1_D_MP10091_S20_R1_001	20220610_20_MV411_THZ1_D_MP10091_S20_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51946569.0	0.0	150.0	48.0	52.37273085742186	150.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail
20220610_20_MV411_THZ1_D_MP10091_S20_R2_001	20220610_20_MV411_THZ1_D_MP10091_S20_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51946569.0	0.0	150.0	48.0	47.24392485140216	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_21_MV411_JQ1MS2_A_MP10091_S21_R1_001	20220610_21_MV411_JQ1MS2_A_MP10091_S21_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59385854.0	0.0	150.0	48.0	50.20563928958063	150.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail
20220610_21_MV411_JQ1MS2_A_MP10091_S21_R2_001	20220610_21_MV411_JQ1MS2_A_MP10091_S21_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59385854.0	0.0	150.0	48.0	44.6392070344917	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_22_MV411_JQ1MS2_B_MP10091_S22_R1_001	20220610_22_MV411_JQ1MS2_B_MP10091_S22_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42431820.0	0.0	150.0	47.0	45.60646686535425	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220610_22_MV411_JQ1MS2_B_MP10091_S22_R2_001	20220610_22_MV411_JQ1MS2_B_MP10091_S22_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42431820.0	0.0	150.0	48.0	43.321401280087194	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_23_MV411_JQ1MS2_C_MP10091_S23_R1_001	20220610_23_MV411_JQ1MS2_C_MP10091_S23_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69165895.0	0.0	150.0	48.0	50.265463803705636	150.0	pass	pass	fail	pass	fail	warn	pass	pass	warn	warn	fail
20220610_23_MV411_JQ1MS2_C_MP10091_S23_R2_001	20220610_23_MV411_JQ1MS2_C_MP10091_S23_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69165895.0	0.0	150.0	48.0	44.18351248630153	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_24_MV411_JQ1MS2_D_MP10091_S24_R1_001	20220610_24_MV411_JQ1MS2_D_MP10091_S24_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63685032.0	0.0	150.0	48.0	49.362973741831965	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
20220610_24_MV411_JQ1MS2_D_MP10091_S24_R2_001	20220610_24_MV411_JQ1MS2_D_MP10091_S24_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63685032.0	0.0	150.0	48.0	44.50801109508683	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_25_MV411_JQ1THZ1_A_MP10091_S25_R1_001	20220610_25_MV411_JQ1THZ1_A_MP10091_S25_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45974262.0	0.0	150.0	49.0	41.15116829490145	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	fail
20220610_25_MV411_JQ1THZ1_A_MP10091_S25_R2_001	20220610_25_MV411_JQ1THZ1_A_MP10091_S25_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45974262.0	0.0	150.0	49.0	36.56521858852961	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
20220610_26_MV411_JQ1THZ1_B_MP10091_S26_R1_001	20220610_26_MV411_JQ1THZ1_B_MP10091_S26_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53845860.0	0.0	150.0	48.0	42.067878270157784	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220610_26_MV411_JQ1THZ1_B_MP10091_S26_R2_001	20220610_26_MV411_JQ1THZ1_B_MP10091_S26_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53845860.0	0.0	150.0	49.0	38.576650373914475	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_27_MV411_JQ1THZ1_C_MP10091_S27_R1_001	20220610_27_MV411_JQ1THZ1_C_MP10091_S27_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55097038.0	0.0	150.0	48.0	49.94270913255055	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	fail
20220610_27_MV411_JQ1THZ1_C_MP10091_S27_R2_001	20220610_27_MV411_JQ1THZ1_C_MP10091_S27_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55097038.0	0.0	150.0	48.0	44.11273465091175	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_28_MV411_JQ1THZ1_D_MP10091_S28_R1_001	20220610_28_MV411_JQ1THZ1_D_MP10091_S28_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57677432.0	0.0	150.0	48.0	49.78414387643485	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220610_28_MV411_JQ1THZ1_D_MP10091_S28_R2_001	20220610_28_MV411_JQ1THZ1_D_MP10091_S28_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57677432.0	0.0	150.0	48.0	44.40445851272835	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_2_MV411_DMSO_B_MP10091_S2_R1_001	20220610_2_MV411_DMSO_B_MP10091_S2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43636762.0	0.0	150.0	47.0	47.52964910516943	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220610_2_MV411_DMSO_B_MP10091_S2_R2_001	20220610_2_MV411_DMSO_B_MP10091_S2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43636762.0	0.0	150.0	47.0	44.49840832770269	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	fail
20220610_3_MV411_DMSO_C_MP10091_S3_R1_001	20220610_3_MV411_DMSO_C_MP10091_S3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52153254.0	0.0	150.0	48.0	53.532672675524054	150.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail
20220610_3_MV411_DMSO_C_MP10091_S3_R2_001	20220610_3_MV411_DMSO_C_MP10091_S3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52153254.0	0.0	150.0	48.0	49.07338179541506	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_4_MV411_DMSO_D_MP10091_S4_R1_001	20220610_4_MV411_DMSO_D_MP10091_S4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56587115.0	0.0	150.0	48.0	52.47839691617335	150.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail
20220610_4_MV411_DMSO_D_MP10091_S4_R2_001	20220610_4_MV411_DMSO_D_MP10091_S4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56587115.0	0.0	150.0	48.0	46.9635988855664	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_5_MV411_MS2_A_MP10091_S5_R1_001	20220610_5_MV411_MS2_A_MP10091_S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52625227.0	0.0	150.0	48.0	52.4563666169424	150.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
20220610_5_MV411_MS2_A_MP10091_S5_R2_001	20220610_5_MV411_MS2_A_MP10091_S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52625227.0	0.0	150.0	48.0	47.39285502107568	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_6_MV411_MS2_B_MP10091_S6_R1_001	20220610_6_MV411_MS2_B_MP10091_S6_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37211210.0	0.0	150.0	48.0	40.04759127640509	150.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	fail
20220610_6_MV411_MS2_B_MP10091_S6_R2_001	20220610_6_MV411_MS2_B_MP10091_S6_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37211210.0	0.0	150.0	48.0	33.839686317967946	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	fail
20220610_7_MV411_MS2_C_MP10091_S7_R1_001	20220610_7_MV411_MS2_C_MP10091_S7_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53685762.0	0.0	150.0	48.0	51.57349903105335	150.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail
20220610_7_MV411_MS2_C_MP10091_S7_R2_001	20220610_7_MV411_MS2_C_MP10091_S7_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53685762.0	0.0	150.0	48.0	45.81757937763242	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_8_MV411_MS2_D_MP10091_S8_R1_001	20220610_8_MV411_MS2_D_MP10091_S8_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54757986.0	0.0	150.0	48.0	52.47691259396019	150.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail
20220610_8_MV411_MS2_D_MP10091_S8_R2_001	20220610_8_MV411_MS2_D_MP10091_S8_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54757986.0	0.0	150.0	48.0	47.30523032624775	150.0	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
20220610_9_MV411_JQ1_A_MP10091_S9_R1_001	20220610_9_MV411_JQ1_A_MP10091_S9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61925141.0	0.0	150.0	48.0	49.73647583906302	150.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	fail
20220610_9_MV411_JQ1_A_MP10091_S9_R2_001	20220610_9_MV411_JQ1_A_MP10091_S9_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61925141.0	0.0	150.0	48.0	44.62876910053644	150.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	fail
