Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20220506_10_MebendazoleE_MP10011_S88_R1_001	59.92944050861691	42.0	150.0	36.36363636363637	29555593.0
20220506_10_MebendazoleE_MP10011_S88_R2_001	56.9220726800533	43.0	150.0	18.181818181818183	29555593.0
20220506_1_DMSOA_MP10011_S79_R1_001	56.405603798743826	42.0	150.0	27.27272727272727	18464203.0
20220506_1_DMSOA_MP10011_S79_R2_001	54.210181747582276	43.0	150.0	18.181818181818183	18464203.0
20220506_2_DMSOB_MP10011_S80_R1_001	59.213525322151206	41.0	150.0	36.36363636363637	27956632.0
20220506_2_DMSOB_MP10011_S80_R2_001	56.241794980202386	42.0	150.0	18.181818181818183	27956632.0
20220506_3_DMSOC_MP10011_S81_R1_001	64.48265484346292	46.0	150.0	27.27272727272727	27601872.0
20220506_3_DMSOC_MP10011_S81_R2_001	64.90890060985491	46.0	150.0	18.181818181818183	27601872.0
20220506_4_DMSOD_MP10011_S82_R1_001	71.12118041415007	45.0	150.0	27.27272727272727	54106673.0
20220506_4_DMSOD_MP10011_S82_R2_001	70.5891422412272	46.0	150.0	18.181818181818183	54106673.0
20220506_5_DMSOE_MP10011_S83_R1_001	62.557602599933034	45.0	150.0	27.27272727272727	28241304.0
20220506_5_DMSOE_MP10011_S83_R2_001	62.906874004067426	46.0	150.0	18.181818181818183	28241304.0
20220506_6_MebendazoleA_MP10011_S84_R1_001	62.13160629678727	42.0	150.0	36.36363636363637	36557627.0
20220506_6_MebendazoleA_MP10011_S84_R2_001	59.535970828566235	43.0	150.0	18.181818181818183	36557627.0
20220506_7_MebendazoleB_MP10011_S85_R1_001	61.897793690889976	43.0	150.0	36.36363636363637	39543168.0
20220506_7_MebendazoleB_MP10011_S85_R2_001	61.11408904191045	44.0	150.0	18.181818181818183	39543168.0
20220506_8_MebendazoleC_MP10011_S86_R1_001	61.338155268025474	41.0	150.0	36.36363636363637	34382658.0
20220506_8_MebendazoleC_MP10011_S86_R2_001	58.95712735491102	43.0	150.0	18.181818181818183	34382658.0
20220506_9_MebendazoleD_MP10011_S87_R1_001	62.111213828914025	42.0	150.0	36.36363636363637	39972043.0
20220506_9_MebendazoleD_MP10011_S87_R2_001	60.64889697229915	43.0	150.0	18.181818181818183	39972043.0
