ARID2;1;DEP in 3 or more cell lines, SE in 5 or more samples (primary or cell line) and Lambert TF;;;;;;;;;ETV6
CEBPA;1;;ChIP-seq;RNP k/o;;;;;;;MEF2D
CEBPE;1;ARID2;0;0;;;;;;;FLI1
E2F3;1;CEBPA;1;1;;;;;;;LYL1
FLI1;1;CEBPE;0;0;;;;;;;ARID2
FOSL2;1;E2F3;0;0;;;;;;;ZEB2
GFI1;1;FLI1;1;1;;;;;;;ZFP69B
GFI1B;1;FOSL2;0;0;;;;;;;NFE2L2
HHEX;1;GFI1;1;1;;;;;;;RUNX1
IRF8;1;GFI1B;0;0;;;;;;;E2F3
LYL1;1;HHEX;0;0;;;;;;;SPI1
MEF2C;1;IRF8;1;1;;;;;;;RARA
MEF2D;1;LYL1;1;1;;;;;;;FOSL2
MEIS1;1;MEF2C;1;1;;;;;;;MYB
MTF1;1;MEF2D;1;1;;;;;;;RUNX2
MYB;1;MEIS1;1;1;;;;;;;TCF3
MYC;1;MTF1;0;0;;;;;;;CEBPA
PLAGL2;1;MYB;1;1;;;;;;;HOXA7
RUNX1;1;MYC;1;1;;;;;;;MYC
RUNX2;1;PLAGL2;0;0;;;;;;;MEF2C
RXRA;1;RUNX1;1;1;;;;;;;MEIS1
SETDB1;1;RUNX2;1;1;;;;;;;BCL11A
SNAPC5;1;RXRA;0;0;;;;;;;GFI1
SP1;1;SETDB1;0;0;;;;;;;IRF8
SPI1;1;SNAPC5;0;0;;;;;;;GFI1B
SREBF1;1;SP1;1;1;;;;;;;SREBF1
STAT5B;1;SPI1;1;1;;;;;;;PLAGL2
TERF2;1;SREBF1;0;0;;;;;;;SNAPC5
TFAP4;1;STAT5B;0;0;;;;;;;TOPORS
ZEB2;1;TERF2;0;0;;;;;;;RXRA
ZFPM1;1;TFAP4;0;0;;;;;;;HHEX
ZMYND8;1;ZEB2;1;1;;;;;;;MTF1
LMO2;1;ZFPM1;0;0;;;;;;;DACH1
MAX;1;ZMYND8;1;1;;;;;;;ZFPM1
ELF2;1;LMO2;1;1;;;;;;;STAT5B
ETV6;1;MAX;1;1;;;;;;;CEBPE
HOXA9;1;ELF2;1;1;;;;;;;TFAP4
GATA2;1;ETV6;1;0;;;;;;;MAX
XXXXX;;HOXA9;1;1;;;;;;;LMO2
XXXXX;;GATA2;1;0;;;;;;;ELF2
XXXXX;;;;;;;;;;;IKZF1
XXXXX;;;;;;;;;;;SP1
XXXXX;;;;;;;;;;;GATA2
XXXXX;;;;;;;;;;;ZMYND8
XXXXX;;;;;;;;;;;MYBL2
