group,replicate,fastq_1,fastq_2,antibody,control
db28-MV411-H3K18,1,gs://amlproject/Chip/fastqs/db28-MV411-H3K18-r1.fastq.gz,,H3K18,db33-MV411-INPUT
db32-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db32-MV411-INPUT-r1.fastq.gz,,,
db33-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db33-MV411-INPUT-r2.fastq.gz,,,
db34-MV411-CEBPB,1,gs://amlproject/Chip/fastqs/db34-MV411-CEBPB-r1.fastq.gz,,CEBPB,db35-MV411-INPUT
db35-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db35-MV411-INPUT-r3.fastq.gz,,,
db36-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db36-MV411-INPUT-r4.fastq.gz,,,
db43-MV411-IGG,1,gs://amlproject/Chip/fastqs/db43-MV411-IGG-r1.fastq.gz,,,
db44-MV411-IGG,1,gs://amlproject/Chip/fastqs/db44-MV411-IGG-r2.fastq.gz,,,
db45-MV411-IGG,1,gs://amlproject/Chip/fastqs/db45-MV411-IGG-r3.fastq.gz,,,
db46-MV411-BRD4,1,gs://amlproject/Chip/fastqs/db46-MV411-BRD4-r1.fastq.gz,,BRD4,db48-MV411-INPUT
db47-MV411-BRD4,1,gs://amlproject/Chip/fastqs/db47-MV411-BRD4-r2.fastq.gz,,BRD4,db49-MV411-INPUT
db48-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db48-MV411-INPUT-r5.fastq.gz,,,
db49-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db49-MV411-INPUT-r6.fastq.gz,,,
db51-MV411-H3K36me2,1,gs://amlproject/Chip/fastqs/db51-MV411-H3K36me2-r1.fastq.gz,,H3K36me2,db52-MV411-INPUT
db52-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db52-MV411-INPUT-r7.fastq.gz,,,
db53-MV411-H3K9ac,1,gs://amlproject/Chip/fastqs/db53-MV411-H3K9ac-r1.fastq.gz,,H3K9ac,db54-MV411-INPUT
db54-MV411-INPUT,1,gs://amlproject/Chip/fastqs/db54-MV411-INPUT-r8.fastq.gz,,,
mp100-U937-INPUT,1,gs://amlproject/Chip/fastqs/mp100-U937-INPUT-r1.fastq.gz,,,
mp101-NOMO1-INPUT,1,gs://amlproject/Chip/fastqs/mp101-NOMO1-INPUT-r1.fastq.gz,,,
mp102-UT7-INPUT,1,gs://amlproject/Chip/fastqs/mp102-UT7-INPUT-r1.fastq.gz,,,
mp109-M6-CEBPA,1,gs://amlproject/Chip/fastqs/mp109-M6-CEBPA-r1.fastq.gz,,CEBPA,mp98-M6-INPUT
mp112-MV411-CEBPA,1,gs://amlproject/Chip/fastqs/mp112-MV411-CEBPA-r1.fastq.gz,,CEBPA,mp99-MV411-INPUT
mp115-MV411-PU1,1,gs://amlproject/Chip/fastqs/mp115-MV411-PU1-r1.fastq.gz,,PU1,mp99-MV411-INPUT
mp120-HL60-INPUT,1,gs://amlproject/Chip/fastqs/mp120-HL60-INPUT-r1.fastq.gz,,,
mp121-UCSDAML1-INPUT,1,gs://amlproject/Chip/fastqs/mp121-UCSDAML1-INPUT-r1.fastq.gz,,,
mp122-M6-CEBPA,1,gs://amlproject/Chip/fastqs/mp122-M6-CEBPA-r2.fastq.gz,,CEBPA,mp98-M6-INPUT
mp128-M6-MED1,1,gs://amlproject/Chip/fastqs/mp128-M6-MED1-r1.fastq.gz,,MED1,mp98-M6-INPUT
mp134-MV411-IGG,1,gs://amlproject/Chip/fastqs/mp134-MV411-IGG-r1.fastq.gz,,,
mp136-MV411-H3K27ac,1,gs://amlproject/Chip/fastqs/mp136-MV411-H3K27ac-r1.fastq.gz,,H3K27ac,mp99-MV411-INPUT
mp137-MV411-H3K4me1,1,gs://amlproject/Chip/fastqs/mp137-MV411-H3K4me1-r1.fastq.gz,,H3K4me1,mp99-MV411-INPUT
mp138-MV411-H3K4me3,1,gs://amlproject/Chip/fastqs/mp138-MV411-H3K4me3-r1.fastq.gz,,H3K4me3,mp99-MV411-INPUT
mp14-D9-INPUT,1,gs://amlproject/Chip/fastqs/mp14-D9-INPUT-r1.fastq.gz,,,
mp14-D9-INPUT,1,gs://amlproject/Chip/fastqs/mp14-D9-INPUT-r13.fastq.gz,,,
mp153-D9-CEBPA,1,gs://amlproject/Chip/fastqs/mp153-D9-CEBPA-r1.fastq.gz,,CEBPA,mp14-D9-INPUT
mp154-D9-PU1,1,gs://amlproject/Chip/fastqs/mp154-D9-PU1-r1.fastq.gz,,PU1,mp14-D9-INPUT
mp157-D9-H3K27ac,1,gs://amlproject/Chip/fastqs/mp157-D9-H3K27ac-r1.fastq.gz,,H3K27ac,mp14-D9-INPUT
mp160-D9-MED1,1,gs://amlproject/Chip/fastqs/mp160-D9-MED1-r1.fastq.gz,,MED1,mp14-D9-INPUT
mp168-OCIAML2-PU1,1,gs://amlproject/Chip/fastqs/mp168-OCIAML2-PU1-r1.fastq.gz,,PU1,mp24-OCIAML2-INPUT
mp171-M6-PU1,1,gs://amlproject/Chip/fastqs/mp171-M6-PU1-r1.fastq.gz,,PU1,mp98-M6-INPUT
mp183-MV411_DMSO-H3K27ac,1,gs://amlproject/Chip/fastqs/mp183-MV411_DMSO-H3K27ac-r1.fastq.gz,,H3K27ac,mp99-MV411-INPUT
mp186-NOMO1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp186-NOMO1-H3K27ac-r1.fastq.gz,,H3K27ac,mp101-NOMO1-INPUT
mp187-UT7-H3K27ac,1,gs://amlproject/Chip/fastqs/mp187-UT7-H3K27ac-r1.fastq.gz,,H3K27ac,mp102-UT7-INPUT
mp188-UCSDAML1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp188-UCSDAML1-H3K27ac-r1.fastq.gz,,H3K27ac,mp121-UCSDAML1-INPUT
mp193-NB4-H3K27ac,1,gs://amlproject/Chip/fastqs/mp193-NB4-H3K27ac-r1.fastq.gz,,H3K27ac,mp312-NB4-INPUT
mp194-TF1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp194-TF1-H3K27ac-r1.fastq.gz,,H3K27ac,mp313-TF1-INPUT
mp195-OCIAML3-H3K27ac,1,gs://amlproject/Chip/fastqs/mp195-OCIAML3-H3K27ac-r1.fastq.gz,,H3K27ac,mp314-OCIAML3-INPUT
mp196-MONOMAC6-H3K27ac,1,gs://amlproject/Chip/fastqs/mp196-MONOMAC6-H3K27ac-r1.fastq.gz,,H3K27ac,mp315-MONOMAC6-INPUT
mp197-SKNO1-H3K27ac,1,gs://amlproject/Chip/fastqs/mp197-SKNO1-H3K27ac-r1.fastq.gz,,H3K27ac,mp316-SKNO1-INPUT
mp2-D9-H3K27ac,1,gs://amlproject/Chip/fastqs/mp2-D9-H3K27ac-r2.fastq.gz,,H3K27ac,mp14-D9-INPUT
