group,replicate,fastq_1,fastq_2,antibody,control
mp858-MV411_RNP_AAVS1-H3K27AC,1,additional_degraded_v1/fastqs/mp858-MV411_RNP_AAVS1-H3K27AC-r1_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp858-MV411_RNP_AAVS1-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
mp859-MV411_RNP_AAVS1-H3K27AC,2,additional_degraded_v1/fastqs/mp859-MV411_RNP_AAVS1-H3K27AC-r2_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp859-MV411_RNP_AAVS1-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
mp860-MV411_RNP_RUNX1-H3K27AC,1,additional_degraded_v1/fastqs/mp860-MV411_RNP_RUNX1-H3K27AC-r1_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp860-MV411_RNP_RUNX1-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
mp861-MV411_RNP_RUNX1-H3K27AC,2,additional_degraded_v1/fastqs/mp861-MV411_RNP_RUNX1-H3K27AC-r2_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp861-MV411_RNP_RUNX1-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
mp862-MV411_RNP_RUNX2-H3K27AC,1,additional_degraded_v1/fastqs/mp862-MV411_RNP_RUNX2-H3K27AC-r1_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp862-MV411_RNP_RUNX2-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
mp863-MV411_RNP_RUNX2-H3K27AC,2,additional_degraded_v1/fastqs/mp863-MV411_RNP_RUNX2-H3K27AC-r2_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp863-MV411_RNP_RUNX2-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
mp864-MV411_RNP_RUNX1_RUNX2-H3K27AC,1,additional_degraded_v1/fastqs/mp864-MV411_RNP_RUNX1_RUNX2-H3K27AC-r1_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp864-MV411_RNP_RUNX1_RUNX2-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
mp865-MV411_RNP_RUNX1_RUNX2-H3K27AC,2,additional_degraded_v1/fastqs/mp865-MV411_RNP_RUNX1_RUNX2-H3K27AC-r2_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp865-MV411_RNP_RUNX1_RUNX2-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
mp866-MV411_RNP_MEF2D-H3K27AC,1,additional_degraded_v1/fastqs/mp866-MV411_RNP_MEF2D-H3K27AC-r1_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp866-MV411_RNP_MEF2D-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
mp867-MV411_RNP_MEF2D-H3K27AC,2,additional_degraded_v1/fastqs/mp867-MV411_RNP_MEF2D-H3K27AC-r2_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp867-MV411_RNP_MEF2D-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
mp868-MV411_RNP_IRF8-H3K27AC,1,additional_degraded_v1/fastqs/mp868-MV411_RNP_IRF8-H3K27AC-r1_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp868-MV411_RNP_IRF8-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
mp869-MV411_RNP_IRF8-H3K27AC,2,additional_degraded_v1/fastqs/mp869-MV411_RNP_IRF8-H3K27AC-r2_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp869-MV411_RNP_IRF8-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
mp870-MV411_RNP_MYB-H3K27AC,1,additional_degraded_v1/fastqs/mp870-MV411_RNP_MYB-H3K27AC-r1_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp870-MV411_RNP_MYB-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
mp871-MV411_RNP_MYB-H3K27AC,2,additional_degraded_v1/fastqs/mp871-MV411_RNP_MYB-H3K27AC-r2_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp871-MV411_RNP_MYB-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
mp872-MV411_RNP_SPI1-H3K27AC,1,additional_degraded_v1/fastqs/mp872-MV411_RNP_SPI1-H3K27AC-r1_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp872-MV411_RNP_SPI1-H3K27AC-r1_R2_001.fastq.gz,H3K27AC,INPUT
mp873-MV411_RNP_SPI1-H3K27AC,2,additional_degraded_v1/fastqs/mp873-MV411_RNP_SPI1-H3K27AC-r2_R1_001.fastq.gz,additional_degraded_v1/fastqs/mp873-MV411_RNP_SPI1-H3K27AC-r2_R2_001.fastq.gz,H3K27AC,INPUT
INPUT,1,ref/mp845-MV411-INPUT-r2_R1.fastq.gz,ref/mp845-MV411-INPUT-r2_R2.fastq.gz,,
