task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d4/b47ee9	972138719059933848	CHECK_DESIGN (MYB_degraded_v1_design.csv)	COMPLETED	0	2022-05-11 17:50:15.451	3m 25s	76ms	55.6%	3.1 MB	5.4 MB	577.1 KB	2.3 KB
4	b5/65efef	7749906283872145525	output_documentation	COMPLETED	0	2022-05-11 17:50:18.276	3m 23s	320ms	75.8%	15.1 MB	21.2 MB	3.2 MB	1.2 MB
3	cf/b82f5a	2939561143985953121	get_software_versions	COMPLETED	0	2022-05-11 17:50:14.812	3m 36s	5.3s	89.0%	69.9 MB	3.9 GB	47.6 MB	38.6 KB
2	e9/ef8a85	10012753148859723891	MAKE_GENOME_FILTER (genome.fa)	COMPLETED	0	2022-05-11 17:53:39.179	5m 11s	20.5s	66.9%	4.6 MB	11.6 MB	2.9 GB	18.7 KB
5	cf/39e129	16876144912123190870	FASTQC (INPUT_R1_T1)	COMPLETED	0	2022-05-11 17:53:41.415	14m 29s	10m 49s	101.5%	1.1 GB	4.3 GB	4.8 GB	4.2 MB
19	6b/db5529	13155666368337395663	FASTQC (MV411_MYB_VHL-MYC_R1_T1)	COMPLETED	0	2022-05-11 17:53:47.482	17m 45s	13m 45s	101.3%	1.2 GB	4.3 GB	6.9 GB	4.3 MB
12	1a/e353e9	5768398709202159465	FASTQC (MV411_MYB_DMSO-MYC_R1_T1)	COMPLETED	0	2022-05-11 17:53:44.186	22m 57s	18m 23s	100.9%	1.1 GB	4.2 GB	9 GB	4.4 MB
7	e6/bc042c	16491949843213506613	FASTQC (MV411_MYB_DMSO-MED1_R1_T1)	COMPLETED	0	2022-05-11 17:53:42.379	23m 8s	18m 23s	101.0%	1.1 GB	4.2 GB	8.9 GB	4.4 MB
15	e7/fa6184	501947199564001265	FASTQC (MV411_MYB_VHL-MED1_R1_T1)	COMPLETED	0	2022-05-11 17:53:46.260	24m 5s	19m 23s	101.1%	1.1 GB	4.2 GB	9.2 GB	4.5 MB
17	34/4ae849	4463237217671808126	FASTQC (MV411_MYB_VHL-MYB_R1_T1)	COMPLETED	0	2022-05-11 17:53:47.090	24m 15s	19m 39s	100.9%	1.1 GB	4.2 GB	9.5 GB	4.3 MB
10	4d/43ab15	16502922350135018628	FASTQC (MV411_MYB_DMSO-MYB_R1_T1)	COMPLETED	0	2022-05-11 17:53:43.661	24m 27s	19m 41s	101.0%	1.1 GB	4.2 GB	9.3 GB	4.4 MB
13	13/afea19	10882198419487120298	FASTQC (MV411_MYB_DMSO-POLII_total_R1_T1)	COMPLETED	0	2022-05-11 17:53:45.471	27m 36s	22m 38s	100.9%	1.1 GB	4.2 GB	10.5 GB	4.8 MB
22	92/266ead	6109606581267382976	FASTQC (MV411_MYB_VHL-POLII_total_R1_T1)	COMPLETED	0	2022-05-11 17:53:48.232	28m 24s	23m 16s	100.9%	1.1 GB	4.2 GB	11 GB	4.6 MB
6	61/3be2be	4326072039862832807	TRIMGALORE (INPUT_R1_T1)	COMPLETED	0	2022-05-11 17:53:42.001	33m 19s	29m 25s	594.3%	4.2 GB	5.2 GB	186.9 GB	182.1 GB
20	2d/ecba9f	13061515264861316783	TRIMGALORE (MV411_MYB_VHL-MYC_R1_T1)	COMPLETED	0	2022-05-11 17:53:47.864	50m 34s	46m 10s	511.0%	4.4 GB	5.4 GB	229.2 GB	222.2 GB
11	ed/445ad8	6860829444606468559	TRIMGALORE (MV411_MYB_DMSO-MYC_R1_T1)	COMPLETED	0	2022-05-11 17:53:44.608	1h 5m 17s	59m 58s	509.5%	4.5 GB	5.4 GB	297.6 GB	288.5 GB
8	e9/a288ff	14281736159702197283	TRIMGALORE (MV411_MYB_DMSO-MED1_R1_T1)	COMPLETED	0	2022-05-11 17:53:42.749	1h 6m 28s	1h 1m 11s	537.0%	4.5 GB	5.5 GB	295.9 GB	286.9 GB
16	60/126fed	3214896146807151348	TRIMGALORE (MV411_MYB_VHL-MED1_R1_T1)	COMPLETED	0	2022-05-11 17:53:45.854	1h 8m 55s	1h 2m 47s	542.4%	4.6 GB	5.6 GB	305.9 GB	296.6 GB
9	0f/85f475	5134847099728969574	TRIMGALORE (MV411_MYB_DMSO-MYB_R1_T1)	COMPLETED	0	2022-05-11 17:53:43.258	1h 10m 38s	1h 4m 53s	542.2%	4.6 GB	5.6 GB	308.9 GB	299.5 GB
18	42/460e9f	4547152998973522847	TRIMGALORE (MV411_MYB_VHL-MYB_R1_T1)	COMPLETED	0	2022-05-11 17:53:46.674	1h 10m 36s	1h 5m 16s	533.9%	4.6 GB	5.5 GB	316.8 GB	307.2 GB
14	60/5fcee8	15296450189214685984	TRIMGALORE (MV411_MYB_DMSO-POLII_total_R1_T1)	COMPLETED	0	2022-05-11 17:53:45.115	1h 14m 46s	1h 8m 30s	550.0%	4.6 GB	5.6 GB	398.6 GB	388 GB
21	f3/9515e7	10756314822232853257	TRIMGALORE (MV411_MYB_VHL-POLII_total_R1_T1)	COMPLETED	0	2022-05-11 17:53:48.620	1h 16m 12s	1h 10m 29s	513.9%	4.7 GB	5.7 GB	378.1 GB	367 GB
24	14/5ea145	13616202717377183417	BWA_MEM (MV411_MYB_VHL-MYC_R1_T1)	COMPLETED	0	2022-05-11 19:01:10.499	1h 46m 51s	1h 32m 14s	1194.0%	7 GB	8.8 GB	48.9 GB	46.2 GB
32	c4/426587	3213138610077799276	SORT_BAM (MV411_MYB_VHL-MYC_R1_T1)	COMPLETED	0	2022-05-11 20:48:03.195	21m 48s	14m 9s	242.5%	5 GB	6.1 GB	35 GB	14.2 GB
30	a5/b0201c	18095040386320081439	BWA_MEM (MV411_MYB_DMSO-POLII_total_R1_T1)	COMPLETED	0	2022-05-11 19:08:33.390	2h 4m 18s	1h 49m 43s	1193.9%	6.8 GB	8.2 GB	82.9 GB	81.7 GB
33	14/9e853a	4498714952613296110	COUNTS (MV411_MYB_VHL-MYC_R1_T1)	COMPLETED	0	2022-05-11 21:09:52.757	5m 59s	18ms	133.3%	3.1 MB	5.4 MB	3 MB	412 B
31	ff/da6ac9	3465911899469153744	BWA_MEM (MV411_MYB_VHL-POLII_total_R1_T1)	COMPLETED	0	2022-05-11 19:10:03.399	2h 11m 9s	1h 55m 54s	1193.8%	7.1 GB	8.4 GB	78.5 GB	77.3 GB
28	e1/3d2287	17562903643406729005	BWA_MEM (MV411_MYB_DMSO-MYB_R1_T1)	COMPLETED	0	2022-05-11 19:04:23.446	2h 17m 8s	2h 2m 36s	1194.6%	7.2 GB	8.9 GB	64.4 GB	62.5 GB
23	90/4c6abe	17135261824572929820	BWA_MEM (INPUT_R1_T1)	COMPLETED	0	2022-05-11 19:01:09.466	2h 22m 32s	2h 7m 42s	1188.2%	12.5 GB	14.5 GB	45.2 GB	43.9 GB
27	ba/3f806d	7114165369254699566	BWA_MEM (MV411_MYB_VHL-MED1_R1_T1)	COMPLETED	0	2022-05-11 19:02:43.454	2h 22m 8s	2h 6m 46s	1194.7%	7.3 GB	9.1 GB	63.6 GB	61.8 GB
25	a1/fa8112	11234867255473590809	BWA_MEM (MV411_MYB_DMSO-MYC_R1_T1)	COMPLETED	0	2022-05-11 19:01:10.890	2h 28m 20s	2h 12m 35s	1193.5%	7 GB	8.9 GB	62.2 GB	60.3 GB
29	64/97f639	9179187560652395434	BWA_MEM (MV411_MYB_VHL-MYB_R1_T1)	COMPLETED	0	2022-05-11 19:04:24.288	2h 25m 47s	2h 11m 14s	1194.8%	7.3 GB	9 GB	65.7 GB	64 GB
26	fb/d3bf3b	3678038143454581345	BWA_MEM (MV411_MYB_DMSO-MED1_R1_T1)	COMPLETED	0	2022-05-11 19:01:10.062	2h 29m 21s	2h 13m 34s	1194.6%	7.3 GB	9 GB	61.9 GB	59.9 GB
38	7f/583aea	10209287281661221545	SORT_BAM (INPUT_R1_T1)	COMPLETED	0	2022-05-11 21:23:42.129	19m 29s	12m 31s	255.4%	5.4 GB	6.6 GB	35.4 GB	14.5 GB
35	9a/3e9e0f	1227027215022915868	spiking (MV411_MYB_VHL-MYC_R1_T1)	COMPLETED	0	2022-05-11 21:17:59.877	25m 51s	21m 26s	1119.2%	13.4 GB	16 GB	42.6 GB	38.2 GB
34	01/b779db	4664161302354171947	SORT_BAM (MV411_MYB_DMSO-POLII_total_R1_T1)	COMPLETED	0	2022-05-11 21:12:52.711	33m 18s	23m 21s	241.0%	5 GB	6.1 GB	51.5 GB	20.7 GB
43	88/fa8b84	3009416397369601570	COUNTS (INPUT_R1_T1)	COMPLETED	0	2022-05-11 21:43:12.736	5m 59s	16ms	120.0%	3 MB	5.4 MB	2.9 MB	388 B
37	6d/5c2d9c	7327809189655854898	SORT_BAM (MV411_MYB_DMSO-MYB_R1_T1)	COMPLETED	0	2022-05-11 21:21:32.275	28m 29s	19m 16s	242.6%	5 GB	6.1 GB	47.8 GB	19.8 GB
39	df/405ce8	9668174135140831467	SORT_BAM (MV411_MYB_VHL-MED1_R1_T1)	COMPLETED	0	2022-05-11 21:24:52.140	26m 9s	17m 8s	255.8%	5 GB	6.1 GB	46.5 GB	19.3 GB
