task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a2/2270eb	10976433646228987236	CHECK_DESIGN (additional_cobinding_v2.csv)	CACHED	0	2020-11-12 21:58:07.557	3m 6s	75ms	50.0%	3 MB	5.4 MB	576.5 KB	1.7 KB
4	e4/b07fe3	16319030206049639373	output_documentation	CACHED	0	2020-11-12 21:58:10.141	2m 53s	347ms	75.7%	14.8 MB	20.9 MB	3.2 MB	1.2 MB
8	a0/bd40f2	9313041857020442247	FASTQC (mp916-MV411-E2F3_R1_T1)	CACHED	0	2020-11-12 22:01:16.777	18m 17s	12m 51s	101.9%	1.1 GB	4.3 GB	5.5 GB	4.7 MB
5	10/657c8a	13249292564375657483	FASTQC (mp845-MV411-INPUT_R1_T1)	CACHED	0	2020-11-12 22:01:15.363	15m 58s	11m 51s	101.8%	1 GB	4.2 GB	4.8 GB	4.2 MB
9	54/ac3fcf	721450699722534868	FASTQC (mp917-MV411-SREBP1_R1_T1)	CACHED	0	2020-11-12 22:01:17.183	17m 6s	12m 42s	101.4%	1.1 GB	4.2 GB	5.6 GB	4.7 MB
2	dd/d1ef30	16412651848147062730	MAKE_GENOME_FILTER (genome.fa)	CACHED	0	2020-11-12 22:02:03.676	4m 51s	19.2s	70.7%	4.6 MB	11.6 MB	2.9 GB	18.7 KB
12	bf/31a2f6	5121194166463227153	FASTQC (mp918-MV411_GFI_SC-FLAG_GFI_R1_T1)	CACHED	0	2020-11-12 22:01:18.933	21m 44s	16m 25s	101.1%	1.1 GB	4.2 GB	6.4 GB	4.7 MB
14	69/18bc2a	6008033234047139514	FASTQC (mp919-MV411_MEF2D_NT_SC_63-FLAF_MEF2D_R1_T1)	CACHED	0	2020-11-12 22:01:19.352	17m 14s	12m 58s	101.4%	1.1 GB	4.2 GB	6 GB	4.7 MB
16	48/adc6af	7254909567696765424	FASTQC (mp920-MV411-STAT5B_R1_T1)	CACHED	0	2020-11-12 22:01:20.512	19m 33s	14m 12s	101.9%	1.1 GB	4.2 GB	5.4 GB	4.7 MB
3	27/f991d7	731796649971778557	get_software_versions	COMPLETED	0	2020-11-13 15:38:55.435	3m 35s	4.8s	92.1%	69.2 MB	3.9 GB	47.6 MB	38.6 KB
7	f9/32d2a8	13632315943162225204	TRIMGALORE (mp916-MV411-E2F3_R1_T1)	FAILED	14	2020-11-13 15:38:56.849	21m 4s	20m 59s	-	-	-	-	-
6	1f/01d7e6	16242154311343917131	TRIMGALORE (mp845-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-13 15:38:56.218	34m 35s	29m 37s	608.9%	4 GB	4.9 GB	186.9 GB	182.1 GB
