task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	d7/cf0f0b	9676557970283015877	get_software_versions	COMPLETED	0	2020-11-07 23:16:36.263	3m 17s	4.7s	91.5%	73.1 MB	3.9 GB	47.6 MB	38.6 KB
4	5e/8f61df	8531482442164912719	output_documentation	COMPLETED	0	2020-11-07 23:16:38.392	3m 15s	334ms	77.1%	14.9 MB	20.8 MB	3.2 MB	1.2 MB
1	60/cff0a9	6303848913611395040	CHECK_DESIGN (Cobinding_ChIP_single_end_design_bp.csv)	COMPLETED	0	2020-11-07 23:16:36.962	3m 26s	80ms	55.6%	3.1 MB	5.4 MB	587.8 KB	15.7 KB
2	2d/67d9dc	8764172348879606222	MAKE_GENOME_FILTER (genome.fa)	COMPLETED	0	2020-11-07 23:16:37.607	4m 55s	17.8s	72.1%	4.5 MB	11.6 MB	2.9 GB	18.7 KB
12	89/78c9b9	8134062222495231408	FASTQC (db34-MV411-CEBPB_R1_T1)	COMPLETED	0	2020-11-07 23:20:07.660	3m 32s	45.4s	110.0%	990.9 MB	4.2 GB	367 MB	1.8 MB
16	da/069e4c	1619072792663145287	FASTQC (db36-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:09.412	3m 31s	1m 3s	107.6%	989.7 MB	4.2 GB	559.3 MB	1.8 MB
13	36/6dcc6c	7104235927914045106	FASTQC (db35-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:12.594	3m 30s	54.3s	105.2%	990.6 MB	4.2 GB	571.3 MB	1.8 MB
11	b8/a0a0e0	6548819653402778104	TRIMGALORE (db34-MV411-CEBPB_R1_T1)	COMPLETED	0	2020-11-07 23:20:09.896	4m 11s	1m 15s	494.6%	1.2 GB	3 GB	8.5 GB	8.1 GB
39	9c/3b3417	12586831103007268173	FASTQC (mp100-U937-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:23.166	4m 5s	1m 25s	105.0%	992.5 MB	4.2 GB	672.9 MB	1.7 MB
43	bd/953b27	3835547069949918768	FASTQC (mp102-UT7-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:25.937	4m 4s	1m 23s	105.0%	993.2 MB	4.2 GB	772.5 MB	1.7 MB
49	96/c58bc1	3765237652235879314	FASTQC (mp115-MV411-PU1_R1_T1)	COMPLETED	0	2020-11-07 23:20:28.151	4m 3s	1m 31s	105.3%	1.1 GB	4.3 GB	687.6 MB	1.7 MB
84	02/205a2c	17083927230682060837	FASTQC (mp183-MV411_DMSO-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:48.249	3m 49s	1m 10s	105.8%	992.5 MB	4.2 GB	520.1 MB	1.7 MB
87	db/8256ce	13248301933413808950	FASTQC (mp187-UT7-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:50.659	3m 48s	1m 23s	104.8%	998.5 MB	4.3 GB	635.3 MB	1.7 MB
90	23/3e4973	6967478691681748076	FASTQC (mp188-UCSDAML1-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:51.804	3m 49s	1m 14s	105.9%	992.1 MB	4.2 GB	483.1 MB	1.7 MB
91	62/607ff2	4527005757436013160	FASTQC (mp193-NB4-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:52.969	3m 49s	1m 33s	105.2%	993.6 MB	4.2 GB	637.9 MB	1.7 MB
102	fd/57c00a	14176542952443663912	FASTQC (mp2-D9-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:57.429	3m 46s	1m 13s	107.3%	993.8 MB	4.2 GB	520 MB	1.7 MB
107	85/e0e564	17154730895834757099	FASTQC (mp205-OCIAML3-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:02.366	3m 43s	58.4s	107.8%	993.3 MB	4.2 GB	488.5 MB	1.7 MB
124	7e/877e8a	9238748192525946554	FASTQC (mp231-SKNO1-CEBPA_R1_T1)	COMPLETED	0	2020-11-07 23:21:15.132	3m 35s	53.4s	109.3%	990.9 MB	4.2 GB	431.7 MB	1.7 MB
181	cd/984eec	14614630819612436086	FASTQC (mp5-D9-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:21:42.222	3m 17s	1m 5s	107.2%	993.5 MB	4.2 GB	455.5 MB	1.7 MB
14	1a/59800f	6099130782990127408	TRIMGALORE (db35-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:08.271	5m 6s	2m 20s	528.0%	1.2 GB	3 GB	12.6 GB	12 GB
15	8b/29eb77	11067055780418206882	TRIMGALORE (db36-MV411-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:08.679	5m 7s	1m 54s	474.4%	1.2 GB	3 GB	12.4 GB	11.8 GB
41	0b/0b77d8	492604286246711760	FASTQC (mp101-NOMO1-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:23.700	4m 58s	1m 38s	105.4%	1 GB	4.3 GB	743.4 MB	1.7 MB
46	f8/d05522	3976901357264193753	FASTQC (mp109-M6-CEBPA_R1_T1)	COMPLETED	0	2020-11-07 23:20:26.526	4m 56s	1m 59s	103.5%	995 MB	4.2 GB	875.8 MB	1.7 MB
47	f0/1c9472	3577909921209017223	FASTQC (mp112-MV411-CEBPA_R1_T1)	COMPLETED	0	2020-11-07 23:20:29.403	4m 55s	1m 38s	105.0%	996.9 MB	4.2 GB	742.9 MB	1.7 MB
52	f3/f2f671	3314795135304404225	FASTQC (mp120-HL60-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:30.571	4m 55s	2m 3s	104.6%	1 GB	4.3 GB	882.5 MB	1.7 MB
53	84/d98a06	12679312427195549939	FASTQC (mp121-UCSDAML1-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:20:31.157	4m 55s	1m 43s	104.7%	998 MB	4.3 GB	729.1 MB	1.7 MB
56	b7/f4e79f	2120657960937333424	FASTQC (mp122-M6-CEBPA_R1_T1)	COMPLETED	0	2020-11-07 23:20:33.470	4m 54s	1m 59s	104.7%	994.1 MB	4.2 GB	846.4 MB	1.7 MB
58	e5/eacfc2	5540905657537017881	FASTQC (mp128-M6-MED1_R1_T1)	COMPLETED	0	2020-11-07 23:20:34.012	4m 54s	2m 1s	103.7%	993.1 MB	4.2 GB	906 MB	1.7 MB
86	74/237f0c	7682229350430372446	FASTQC (mp186-NOMO1-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:49.546	4m 44s	1m 46s	105.1%	994.8 MB	4.2 GB	691.6 MB	1.7 MB
95	80/ada151	3197219027827306018	FASTQC (mp195-OCIAML3-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:54.105	4m 40s	1m 40s	103.1%	992.9 MB	4.2 GB	705.9 MB	1.7 MB
98	d1/e28311	7202407061164906239	FASTQC (mp196-MONOMAC6-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:55.181	4m 40s	1m 20s	105.9%	992.7 MB	4.2 GB	554 MB	1.7 MB
99	06/58c23a	2522846376968009420	FASTQC (mp197-SKNO1-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:55.929	4m 41s	1m 45s	103.1%	992.5 MB	4.2 GB	752.7 MB	1.7 MB
105	fc/5d395f	8331825863722963028	FASTQC (mp204-TF1-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:20:59.765	4m 39s	1m 11s	107.1%	1.1 GB	4.3 GB	522.9 MB	1.7 MB
109	16/5fbc1b	17093427065938211321	FASTQC (mp206-MONOMAC6-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:01.128	4m 39s	1m 27s	106.2%	1 GB	4.3 GB	650.3 MB	1.7 MB
108	e3/3674bf	2108715145621029481	TRIMGALORE (mp205-OCIAML3-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:02.805	4m 38s	2m 14s	461.4%	1.7 GB	3 GB	11.6 GB	11.1 GB
111	24/7747d7	1909702858995237822	FASTQC (mp207-KG1-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:04.001	4m 40s	1m 48s	104.6%	995.2 MB	4.2 GB	805.6 MB	1.7 MB
116	09/548b90	9670386625431353704	FASTQC (mp214-UT7-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:04.629	4m 40s	1m 40s	104.5%	992.9 MB	4.2 GB	806 MB	1.7 MB
113	59/c7bad4	9077657639916801588	FASTQC (mp213-U937-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:06.799	4m 39s	1m 48s	103.4%	1002.1 MB	4.2 GB	803.9 MB	1.7 MB
120	6c/23f49c	9782414948915420734	FASTQC (mp217-HEL-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:07.345	4m 39s	1m 37s	103.6%	1 GB	4.3 GB	741.9 MB	1.7 MB
117	32/160a1a	1815801436622311138	FASTQC (mp216-SKNO1-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:07.940	4m 40s	1m 55s	104.1%	992.8 MB	4.2 GB	976.2 MB	1.7 MB
122	3c/8a86c8	2436395343993873429	FASTQC (mp218-HEL-H3K27ac_R1_T1)	COMPLETED	0	2020-11-07 23:21:08.474	4m 40s	1m 24s	105.5%	993.4 MB	4.2 GB	724.2 MB	1.7 MB
123	04/efe6a8	8960044359712489189	TRIMGALORE (mp231-SKNO1-CEBPA_R1_T1)	COMPLETED	0	2020-11-07 23:21:10.203	4m 40s	2m 2s	525.2%	1.7 GB	3.1 GB	10.7 GB	10.2 GB
126	28/6f3878	1444000800145660104	FASTQC (mp24-OCIAML2-INPUT_R1_T1)	COMPLETED	0	2020-11-07 23:21:10.848	4m 41s	1m 52s	104.0%	1 GB	4.3 GB	1020.5 MB	1.7 MB
