group,replicate,fastq_1,fastq_2,antibody,control
INPUT_U937,1,gs://jkobject/Chip_AML/Chip/mp100.fastq.gz,,,
INPUT_NOMO1,1,gs://jkobject/Chip_AML/Chip/mp101.fastq.gz,,,
INPUT_UT7,1,gs://jkobject/Chip_AML/Chip/mp102.fastq.gz,,,
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp106.fastq.gz,,MYB,INPUT_MV411
M6_1,1,gs://jkobject/Chip_AML/Chip/mp109.fastq.gz,,CEBPA,INPUT_M6
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp112.fastq.gz,,CEBPA,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp115.fastq.gz,,PU1,INPUT_MV411
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp116.fastq.gz,,MYB,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp117.fastq.gz,,POLII,INPUT_MV411
MV411_1,1,gs://jkobject/Chip_AML/Chip/mp118.fastq.gz,,SP1,INPUT_MV411
INPUT_HL60,1,gs://jkobject/Chip_AML/Chip/mp120.fastq.gz,,,
M6_2,1,gs://jkobject/Chip_AML/Chip/mp122.fastq.gz,,CEBPA,INPUT_M6
M6_1,1,gs://jkobject/Chip_AML/Chip/mp123.fastq.gz,,RUNX1,INPUT_M6
M6_1,1,gs://jkobject/Chip_AML/Chip/mp124.fastq.gz,,MYB,INPUT_M6
M6_1,1,gs://jkobject/Chip_AML/Chip/mp125.fastq.gz,,ETV6,INPUT_M6
M6_1,1,gs://jkobject/Chip_AML/Chip/mp127.fastq.gz,,SP1,INPUT_M6
M6_1,1,gs://jkobject/Chip_AML/Chip/mp128.fastq.gz,,MED1,INPUT_M6
MV411_2,1,gs://jkobject/Chip_AML/Chip/mp129.fastq.gz,,RUNX1,INPUT_MV411
IGG_MV411,1,gs://jkobject/Chip_AML/Chip/mp134.fastq.gz,,,
MV411_3,1,gs://jkobject/Chip_AML/Chip/mp136.fastq.gz,,H3K27ac,INPUT_MV411
INPUT_D9,1,gs://jkobject/Chip_AML/Chip/mp14.fastq.gz,,,
IGG_M6,1,gs://jkobject/Chip_AML/Chip/mp143.fastq.gz,,,
D9_3,1,gs://jkobject/Chip_AML/Chip/mp153.fastq.gz,,CEBPA,INPUT_D9
D9_1,1,gs://jkobject/Chip_AML/Chip/mp154.fastq.gz,,PU1,INPUT_D9
D9_1,1,gs://jkobject/Chip_AML/Chip/mp155.fastq.gz,,MYB,INPUT_D9
D9_1,1,gs://jkobject/Chip_AML/Chip/mp156.fastq.gz,,SP1,INPUT_D9
D9_3,1,gs://jkobject/Chip_AML/Chip/mp157.fastq.gz,,H3K27ac,INPUT_D9
