group,replicate,fastq_1,fastq_2,antibody,control
MYB,1,data/mp106-MV411-MYB-r1.fastq.gz,,unknown,INPUT
CEBPA,1,data/mp112-MV411-CEBPA-r2.fastq.gz,,unknown,INPUT
MYB,2,data/mp116-MV411-MYB-r2.fastq.gz,,unknown,INPUT
POLII,1,data/mp117-MV411-POLII-r1.fastq.gz,,unknown,INPUT
IGG,1,data/mp134-MV411-IGG-r1.fastq.gz,,unknown,INPUT
DMSO_H3K27ac,1,data/mp183-MV411-DMSO_H3K27ac-r1.fastq.gz,,unknown,INPUT
ZMYND8,1,data/mp357-MV411-ZMYND8-r1.fastq.gz,,unknown,INPUT
ZMYND8,2,data/mp358-MV411-ZMYND8-r2.fastq.gz,,unknown,INPUT
LMO2,1,data/mp359-MV411-LMO2-r1.fastq.gz,,unknown,INPUT
RUNX1,1,data/mp424-MV411-RUNX1-r4.fastq.gz,,unknown,INPUT
ETV6,1,data/mp425-MV411-ETV6-r3.fastq.gz,,unknown,INPUT
SP1,1,data/mp426-MV411-SP1-r3.fastq.gz,,unknown,INPUT
LMO2,2,data/mp427-MV411-LMO2-r2.fastq.gz,,unknown,INPUT
PU1,1,data/mp428-MV411-PU1-r3.fastq.gz,,unknown,INPUT
IRF8,1,data/mp429-MV411-IRF8-r2.fastq.gz,,unknown,INPUT
IRF2BP2,1,data/mp430-MV411-IRF2BP2-r1.fastq.gz,,unknown,INPUT
IRF2BP2,2,data/mp431-MV411-IRF2BP2-r2.fastq.gz,,unknown,INPUT
GSE1,1,data/mp433-MV411-GSE1-r1.fastq.gz,,unknown,INPUT
MED1,1,data/mp435-MV411-MED1-r2.fastq.gz,,unknown,INPUT
ETV6,2,data/mp569-MV411-ETV6-r4.fastq.gz,,unknown,INPUT
CTCF,1,data/mp570-MV411-CTCF-r1.fastq.gz,,unknown,INPUT
IRF2BP2,3,data/mp575-MV411-IRF2BP2-r3.fastq.gz,,unknown,INPUT
SMC1,1,data/mp577-MV411-SMC1-r1.fastq.gz,,unknown,INPUT
MEF2C,1,data/mp581-MV411-MEF2C-r1.fastq.gz,,unknown,INPUT
MEIS1,1,data/mp582-MV411-MEIS1-r1.fastq.gz,,unknown,INPUT
ELF2,1,data/mp583-MV411-ELF2-r1.fastq.gz,,unknown,INPUT
MYC,1,data/mp584-MV411-MYC-r2.fastq.gz,,unknown,INPUT
MYC,2,data/mp585-MV411-MYC-r3.fastq.gz,,unknown,INPUT
IKZF1,1,data/mp587-MV411-IKZF1-r1.fastq.gz,,unknown,INPUT
ETV6,3,data/mp589-MV411-ETV6-r5.fastq.gz,,unknown,INPUT
GATA2,1,data/mp590-MV411-GATA2-r1.fastq.gz,,unknown,INPUT
RUNX2,1,data/mp601-MV411-RUNX2-r1.fastq.gz,,unknown,INPUT
IKZF1,2,data/mp604-MV411-IKZF1-r2.fastq.gz,,unknown,INPUT
ELF2,2,data/mp607-MV411-ELF2-r3.fastq.gz,,unknown,INPUT
MEF2C,2,data/mp614-MV411-MEF2C-r2.fastq.gz,,unknown,INPUT
MEF2C,3,data/mp627-MV411-MEF2C-r4.fastq.gz,,unknown,INPUT
MAX,1,data/mp639-MV411-MAX-r1.fastq.gz,,unknown,INPUT
LYL1,1,data/mp640-MV411-LYL1-r1.fastq.gz,,unknown,INPUT
DMSO_8h_MAX,1,data/mp690-MV411-DMSO_8h_MAX-r1.fastq.gz,,unknown,INPUT
DMSO_8h_H3K27ac,1,data/mp702-MV411-DMSO_8h_H3K27ac-r2.fastq.gz,,unknown,INPUT
ZEB2,1,data/mp714-MV411-ZEB2-r7_R1.fastq.gz,,unknown,INPUT
ZEB2,2,data/mp715-MV411-ZEB2-r8_R1.fastq.gz,,unknown,INPUT
GSE1,2,data/mp716-MV411-GSE1-r9_R1.fastq.gz,,unknown,INPUT
GATA2,2,data/mp717-MV411-GATA2-r4_R1.fastq.gz,,unknown,INPUT
IRF2BP2,4,data/mp718-MV411-IRF2BP2-r9_R1.fastq.gz,,unknown,INPUT
CEBPA,2,data/mp72-MV411-CEBPA-r1.fastq.gz,,unknown,INPUT
H3K27ac,1,data/mp88-MV411-H3K27ac-r2.fastq.gz,,unknown,INPUT
INPUT,1,data/mp99-MV411-INPUT-r1.fastq.gz,,,
