,ZEB2,PU1,MYBL2,ZMYND8,IKZF1,SP1,RUNX1,PU1_FLAG,LDB1,IRF8,CDK13,GATA2,GFI1,CEBPA,MYC,LMO2,RUNX2,FOXP1,MYB,ETV6,MAX,MEIS1,FLI1,LYL1,MEF2D_FLAG,ELF2,activation,repression,IRF2BP2,MED1,SMC1,CTCF,POLII,ATAC,promoters,super_enhancer,regular_enhancer,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8
ZEB2,1.0,0.16864941345576806,0.026161472293314506,0.12334543483086333,0.13873471920323685,-0.0006360818811848733,0.1356606056508989,0.13692686540517343,0.4544464187931557,0.08069092660912433,0.13278255329155997,0.046749604637551505,0.05885833470432727,0.14351253053163457,0.09960432367341174,0.062132555392494994,0.1912663457332933,0.1129228538688017,0.07725593928165085,0.056672157779520914,0.17986832606680744,0.024800827613312773,0.1380563019575328,0.09722947306542389,0.06958839720804848,0.08820904364161958,0.06109209208301878,0.0004821372268402817,0.07550228348226223,0.04279396666743561,0.015802514073771402,-0.05005111312232132,0.12508369635959024,0.0828520867900678,,-0.0032301272855673416,,,,,,,,,
PU1,-0.037097264791004364,1.0,-0.07331833579097137,0.11370585159541305,0.17371441947792673,-0.08566310342619654,0.15525280736994293,0.7927690437738625,0.040633119281940536,0.3848303844027408,0.05368627633650535,0.11747438088223532,0.06134707729869903,0.07891048739208201,0.07682646782281838,0.013731351648984548,0.239256881242347,0.11762464836557562,0.04143742638101922,0.15419919698536194,0.14119816378406988,0.09160395027970189,0.17404565542873718,0.08270895647208854,-0.003734545738738965,0.06974720132531984,-0.04918280436490089,-0.06226659188383915,0.03960060971896889,-0.058189378560106655,-0.20970724201395588,-0.1746851034350092,-0.0518495667868337,0.20570667410633045,,-0.057012770033260114,,,,,,,,,
MYBL2,0.019973417504568807,-0.004681795035984994,1.0,0.042751588250045096,0.0032875025036321966,0.06191504790106955,0.019810338523154693,-0.003075570223103732,0.32557187115494163,-0.020637402443129765,-0.10509832057862943,-0.011246855332921938,-0.011867700998307354,-0.001129922775797394,0.057115505632634025,0.05539119165938773,0.03602069013398872,0.039913368885863866,0.09149619229581353,-0.024539458019201203,0.08935990666947671,-0.015594469506648577,0.025129864324329336,-0.014216782606592846,0.03980816299062998,0.04490149566836044,0.08038717568189217,-0.06069090752833645,0.033211955095581,0.04999249589003052,-0.014547961403216049,-0.027735255062736882,0.009824870028389072,0.02913599837660441,,0.08358629558408256,,,,,,,,,
ZMYND8,0.028271631126689165,0.18208472724818256,-0.0725734565566361,1.0,0.20285988618470907,0.3213006102528921,0.44652838642115467,0.1650669771751253,0.06305287045934958,0.02010725558417038,0.18462333852147042,0.08226446424319464,0.07326872104123021,0.19742078677621835,0.4075201098086859,0.22002092374429122,0.5399939201225136,0.33930597827432774,0.1587818481504019,0.26092084119484776,0.5830545613607849,0.06612939285059824,0.41507923322904794,0.1558870883845206,0.12757507070817595,0.3148678553810935,0.2812688605647467,-0.00802025699184427,0.17353091098835188,0.17020311214257286,-0.1093870342617199,-0.1573294495976396,0.0035308332987460224,0.30808976800525567,,0.09020811570114143,,,,,,,,,
IKZF1,0.04594021598282178,0.2244162682951453,-0.06672603929121924,0.14698191016612186,1.0,0.027435634113207673,0.17249850668630734,0.19090003241518208,-0.028026617122765857,0.05319265587022675,0.20241926032469906,0.059539523745299854,0.020288268082135078,0.16985336350600042,0.149293931356237,0.06197980059971727,0.24525700584502846,0.161095332337935,0.08017655588039763,0.1489392041582472,0.27207796498159004,0.052558956362905446,0.22190678656723828,0.09617149610650698,0.05242760710223692,0.12014083269392524,0.0966545132701187,-0.02445177594303034,0.09191984688436698,0.04209038897087923,-0.07281207427585476,-0.07334081869675077,0.06795521894613414,0.1225377107718871,,0.03160763348029063,,,,,,,,,
SP1,0.038314684444768814,0.004701664369246242,-0.010962623247327535,0.2713520908265264,0.11209807598925861,1.0,0.2094546601197657,-0.0035132590267766156,0.032976497044834574,-0.10406287175266622,0.02276956169515331,0.025559697767829487,0.018155190956025833,0.10038414894728274,0.36296710113424696,0.18309832890134473,0.23463878311956624,0.2613241072180913,0.1013542504574906,0.11074218865188831,0.5550061072290405,-0.047189837652266954,0.2074653316994309,0.042653334927804126,0.07070995704497664,0.30778970268709643,0.31290441289865734,-0.0133184619384077,0.006300652079780856,0.16511676486790283,-0.03764953744469147,-0.12182273886681526,-0.034543367275718016,0.20383206340509413,,0.11045219203906181,,,,,,,,,
RUNX1,-0.009954111038395127,0.21951260369344566,-0.009452981256339685,0.39832625328938576,0.16911008487717596,0.27251295105605966,1.0,0.19199920114769206,-0.05361431127583198,0.031734097428655836,0.18475524455314019,0.11306821573058842,0.1275086147344524,0.2246181623450977,0.2580022043719405,0.13555238275991605,0.8143021613967,0.3021992054908805,0.17047568590615192,0.09598733531419018,0.42653241004999654,0.12507862924787136,0.37096861065933323,0.2081321067356774,0.07823782971881008,0.19893029395585227,0.1384620153704187,-0.004201356824269635,0.12530390180150255,0.05574459373868322,-0.13265309743417747,-0.16279726153726218,-0.005497169366496814,0.2960694960809684,,0.01936244648983842,,,,,,,,,
PU1_FLAG,-0.03028549364522052,0.7905031877410098,-0.04453715893824668,0.11953799550667993,0.17131539058635584,-0.10930988637909535,0.1392043434892106,1.0,-0.06559738562250737,0.4223794882222962,0.07671272744014514,0.12794933962370897,0.058853530618388626,0.0783004113365716,0.07202778771917186,0.025390602769206363,0.25230801725808094,0.13435601931047494,0.04845779831275747,0.1137679380662508,0.1142244963148346,0.10174885059673507,0.15233685473093728,0.0828141585718604,0.04786409754706448,0.04265592730297141,-0.04970434588326846,-0.07677587842033361,0.09601201875738576,-0.048383372798365895,-0.18372642597231184,-0.16501951075824853,-0.01155051992678594,0.21225950332106955,,-0.02730538789733122,,,,,,,,,
LDB1,-0.0035021375426130537,-0.01390696770352226,0.012962134337284298,0.00261441310623041,-0.019898590111544105,-0.000727015725193836,-0.0032945974215647248,-0.0035852998724939483,1.0,-0.006528479517704968,-0.1578272355594687,-0.016857571611940944,-0.013456103228608105,-0.001876576932454281,-0.011335857523453424,-0.00904220938013669,-0.004808811283332919,-0.0023444861812392755,-0.004815548223300093,-0.05366346112435786,-0.0026884785018425218,0.00510841819287085,0.002797038598218188,-0.022658088845426447,0.013429757590626918,-0.01761518044964489,-0.0026489012723825557,-0.01331825052136589,0.05075188873397454,0.008467763260900256,-0.004523068858586977,-0.05072989097524432,-0.03531947148074711,0.0014205186501858856,,0.00416839701603169,,,,,,,,,
IRF8,-0.013935278744367572,0.48980360909470444,-0.0727521251402448,0.06478416173539048,0.11312545552669719,-0.12193938538087636,0.07734953817068586,0.4886857561426707,-0.06001545543271908,1.0,0.028060155672428772,0.07834654585488891,0.06147884787168697,0.07894108861273191,0.015781268266424398,-0.014991412562467969,0.16104998876560464,0.08705606264856783,0.02690196986507134,0.05377912975766887,0.05594667582165366,0.0935301718770002,0.08205957596588251,0.05334537508240195,0.015887995247485458,-0.015758689506976897,-0.05539598319532786,-0.023948019207959657,0.1298989846725553,-0.06686770561477207,-0.10289755879580446,-0.09084075493427439,0.01413255348258399,0.18247198047293556,,-0.03418174812674999,,,,,,,,,
