,LYL1,IKZF1,MYB,LMO2,GFI1,MAX,MYC,SP1,ELF2,MEF2D_FLAG,RUNX2,MEIS1,RUNX1,FLI1,ETV6,CEBPA,PU1,IRF8,FOXP1,ZMYND8,ZEB2,GATA2,LDB1,MYBL2,activation,repression,IRF2BP2,mediator,cohesin,CTCF,POLII,H3K27ac,H3K79me2,H3K4me3,open regions,promoters,super_enhancer,regular_enhancer,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8
LYL1,1.0,0.20567445513449834,0.28726352572599106,0.25681601525262154,0.26316624365482233,0.13132535839741763,0.19077450030421164,0.19597038781862539,0.17367463756486384,0.23749331518304245,0.1483239641890485,0.16977913286510227,0.22680844764630415,0.18077632633285504,0.3773355612942427,0.11933034274489107,0.1114296722723358,0.1420134933847367,0.20067569109959596,0.28475397841595024,0.2614394661582459,0.22457268573362668,0.3305084745762712,0.28440366972477066,0.13674668688713876,0.045871559633027525,0.2990499540300337,0.21088342596065326,0.1587753216118285,0.057971014492753624,0.12721238938053098,0.17315839392981347,0.07107574094401756,0.16612357823547494,0.1203685721067737,0.05359121587589403,0.1829001700267185,0.135131163200823,0.02811550151975684,0.1773062507556523,0.056458861018057034,0.047673041970285636,0.046875,0.10372478013450595,0.1523735609882292,0.021311475409836064
IKZF1,0.5273093380317141,1.0,0.48901474073181506,0.5836034318398474,0.39593908629441626,0.3045309978163866,0.4295017689343579,0.5284764869184824,0.44091371101481835,0.541980650493461,0.31262405441043795,0.3295402987241611,0.4266998914437975,0.39114473659691035,0.7090991948959441,0.24021461869997363,0.28443860205793026,0.3299220187505476,0.3924715228159883,0.5909090909090909,0.5100889736256753,0.26772719580301235,0.2457627118644068,0.4434250764525994,0.3422544677477726,0.22816114878340646,0.5916641127796506,0.5201336561082888,0.41548114102283507,0.2969232596816346,0.6264749262536873,0.4553588365475814,0.3149469447493597,0.30513372271749156,0.2768175050171554,0.5168731741714516,0.3822362561735892,0.2850074705464521,0.17692502532928064,0.40826381332366096,0.18200016341204348,0.11887412249253806,0.25,0.4472322814278324,0.28909584788513776,0.14754098360655737
MYB,0.6000503397936069,0.3984226716408142,1.0,0.64232602478551,0.43131345177664976,0.26749264217222063,0.3957680780584537,0.5278455455539666,0.381613438185417,0.5949244007973163,0.30381011867582763,0.35340556432732617,0.44281061877035427,0.3526824814117735,0.6802369740240012,0.23288474506699505,0.22996464348850915,0.29299921142556734,0.4441755883762869,0.6264861898664715,0.46472831267874165,0.2723811135555932,0.1440677966101695,0.6146788990825688,0.3089079221741603,0.12804148384523334,0.6787005822862396,0.5193835452964642,0.35694657231098464,0.21341173675457353,0.6777286135693216,0.44217515017388553,0.3089096231247713,0.2529664924684906,0.24955223236442892,0.5413518686410799,0.3144684640919764,0.24351532074362553,0.08295339412360689,0.3793978962640551,0.12304926873110549,0.08459088559470411,0.234375,0.42498706673564407,0.24369421808304229,0.10327868852459017
LMO2,0.3390385099421092,0.30051050461417633,0.4059525244005302,1.0,0.21192893401015228,0.1758876863191873,0.31336052459607455,0.49095650710860606,0.32974910394265233,0.5435363897126744,0.19876466097577902,0.2061487087348687,0.3081022402052699,0.25240854965246073,0.5704086282849764,0.11858269563432726,0.1531775531480894,0.1875405239639008,0.2875111283584815,0.5411102981525516,0.33190340006355257,0.15383313589439837,0.16101694915254236,0.6269113149847095,0.25315801264928395,0.05863581970482649,0.5846766779037695,0.49844863445736304,0.3052698134772987,0.1781895937277263,0.8373893805309734,0.446158710085362,0.3752744237102086,0.11450968336919766,0.16148766750825402,0.6960813941774957,0.28111084122743096,0.12736669360962108,0.01760385005065856,0.30894087776568735,0.06127951630035133,0.017475112971269448,0.25,0.5080186239006725,0.10205665502522313,0.09508196721311475
GFI1,0.13918952932292977,0.08168073826821128,0.10920994497328995,0.08490625993009215,1.0,0.05809123706446406,0.0729431912927868,0.09005636409523009,0.06967848927405981,0.10277602216928387,0.06855437573738636,0.0782925899711439,0.09548011447744992,0.07901160948884707,0.15266595777001368,0.06308089248541356,0.05430397534109968,0.06962236046613511,0.09028237496290548,0.11852935796597769,0.10088973625675246,0.07251650025385006,0.059322033898305086,0.07339449541284404,0.053147672635152604,0.08895093737534902,0.12209623046276433,0.08326230011251662,0.06478441672138323,0.04484438108814445,0.07632743362831858,0.0505216566550743,0.04710940358580315,0.06028281586228097,0.055846874258216266,0.056109600080588296,0.050360294712978704,0.05212237000024494,0.03229483282674772,0.06072421714423891,0.03819756516055233,0.04101982624935385,0.09375,0.040610450077599586,0.058983313930927435,0.03278688524590164
MAX,0.928433593422267,0.8397473656652922,0.9053299594328634,0.9419129329520178,0.776491116751269,1.0,0.943394100547581,0.9392193152183057,0.8418124431605414,0.9348534201954397,0.7704906655562496,0.7559027966824559,0.8636139346689036,0.7916068799731659,0.922223910071396,0.6083355322954233,0.6385589955124428,0.6784894418645404,0.8541557285365352,0.9604902140113408,0.8531140768986336,0.6059400913860213,0.6610169491525424,0.8287461773700305,0.7464111534285763,0.788193059433586,0.9436714679742568,0.9088956323093185,0.8886943410909268,0.829472558802566,0.8849557522123894,0.8684476762567183,0.6946121478229053,0.7139870888410698,0.7382555404501413,0.9502367281152413,0.7834993117966157,0.6907928576677199,0.8100303951367781,0.8286180631120783,0.5698177955715337,0.4541194910873589,0.859375,0.9032591826176927,0.7092226102703402,0.3950819672131147
MYC,0.7102944877926001,0.6237319196282479,0.7054263565891473,0.8837623133142676,0.5134835025380711,0.49683138706921104,1.0,0.8386051989568436,0.6375381158722516,0.8145753318100053,0.47486987299604416,0.4817335438558284,0.6281456626862726,0.5328065892700744,0.8350296217530001,0.3195531709033336,0.37108471964099543,0.4285989660912994,0.585317415024996,0.8745198463508322,0.6658722592945663,0.338212895583009,0.4322033898305085,0.7247706422018348,0.47867372085408516,0.556441962504986,0.8507508427827153,0.7864570902519691,0.6878723766445368,0.5270254217153718,0.8950958702064897,0.6814100537464433,0.49519758507135014,0.36040577928066403,0.4256382037504586,0.9161881736677747,0.5067605861873532,0.3731354250863399,0.39779635258358664,0.5945774392455567,0.2424626194950568,0.16686398425905855,0.84375,0.7203828246249353,0.3471737162074764,0.16229508196721312
SP1,0.39088849735716086,0.4111525623404673,0.5040366309193879,0.7417858277724817,0.3396256345177665,0.26498860723440615,0.4492642585122924,1.0,0.4444711924249719,0.6735864650687928,0.2860295648552988,0.2866735630932288,0.43476759103917895,0.34437135456459755,0.7223150539267811,0.16363209898261355,0.20977063596391823,0.2522211513186717,0.3911703609012258,0.7020760929211634,0.4572608833809978,0.19047216111017093,0.15254237288135594,0.6788990825688074,0.2974994399159012,0.34623055444754686,0.7053018694452957,0.588666507552252,0.46360740254371247,0.3247802328344025,0.8545353982300885,0.4834018337021815,0.37435967800951336,0.14740239778665848,0.243445329190134,0.8908028608844565,0.279086713626427,0.17490876135890465,0.16666666666666666,0.3795792528110265,0.10462456083013318,0.06663220556602358,0.5625,0.5553543714433523,0.1408614668218859,0.10655737704918032
ELF2,0.5447604664820874,0.5394332089796453,0.5730409286259389,0.7834763266603114,0.4132296954314721,0.3734928320516472,0.5371025531243663,0.6989568436106671,1.0,0.688025669697117,0.3716010826566729,0.386254332952215,0.4977548603572486,0.5451987402866034,0.8307762418350296,0.2497581141701117,0.3585739540365351,0.37748181897835803,0.4777546967379643,0.7362813243094933,0.5526692087702574,0.28084278219664915,0.2711864406779661,0.691131498470948,0.4136522653247626,0.29158356601515756,0.7206251915415262,0.6464250400627365,0.5343255271029401,0.3909479686386315,0.8547197640117994,0.5933923490357256,0.4542627149652397,0.29508146326467877,0.3499169202218338,0.8248211947214668,0.4007772649987855,0.316971611923482,0.24936676798378926,0.4909926248337565,0.21525451425770079,0.1513064647913158,0.453125,0.648991205380238,0.27965334368128314,0.20655737704918034
MEF2D_FLAG,0.4098498196157396,0.36481445120753975,0.4915050006024822,0.7105179536066095,0.33534263959390864,0.22819946833760563,0.37756044797980937,0.5827795070244806,0.3785374204247579,1.0,0.26208619612742035,0.2720640278760821,0.40392776078160464,0.3119654137860351,0.6752240619778217,0.17286773976016653,0.19080050768324192,0.2434767370542364,0.37772502111534684,0.635814889336016,0.44359707658087066,0.2153494669148756,0.2542372881355932,0.764525993883792,0.27775001292501766,0.13960909453530115,0.7418939626110941,0.5310784547717277,0.3652148537243744,0.2585531004989309,0.8191371681415929,0.44571609231742015,0.3570252469813392,0.15158315401168151,0.2085626119419089,0.7257983277928881,0.2630556230264756,0.1712592157150905,0.07738095238095238,0.3363861685406843,0.0921235395048615,0.05691084023944907,0.25,0.5093119503362649,0.14500064674686328,0.08852459016393442
