,CEBPA_filtered,HOXA9_filtered,PLAGL2,MEIS1_filtered,ETV6_filtered,HEX,FLAG_GFI1,RUNX1_filtered,FOSL2_filtered,FLI1_filtered,GATA2_filtered,SP1_filtered,E2F3_filtered,ZNF281_filtered,SREBF1_filtered,LMO2,STAT5B_filtered,ZMYND8,FLAG_MEF2C,LYL1_filtered,MYC_filtered,TFAP4_filtered,RUNX2_filtered,MAX_filtered,IRF8_filtered,MYB_filtered,ZEB2_filtered,RXRA_filtered,FLAG_MEF2D,activation,repression,ELF2_filtered,JUND_filtered,FLAG_SPI1,FLAG_IRF2BP2,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1_filtered,MLL_KTM2A,RARA_filtered,IKZF1_filtered,AFF4,CTCF_filtered,BRD4,CEBPB_filtered,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,ATAC,promoters,super_enhancer,regular_enhancer
CEBPA_filtered,1.0,0.017657781179554875,-0.036904369509365584,0.13266300847521784,0.03912282303549651,-0.3825861355803511,0.09839461438131734,0.25725919075333564,-0.056352239718283244,0.1099904157176817,0.059683308241864956,-0.09332840933053274,-0.13438546357117856,-0.0653730035593301,-0.07374996724477549,-0.031632665324649555,0.0295024631876086,0.08975498066805207,0.21040220682255453,0.06288805511330474,0.06508462092939962,0.09645867917186098,0.29347149558675906,0.04116743128565393,0.08883709709636427,0.13077502835496535,-0.03301850586332522,0.0217093478322751,0.07534456336034229,-0.0708115293095278,0.02809614894439733,-0.0478082505757937,0.08231620921161362,0.03643006202453429,0.12327171920405826,-0.1077223365758582,-0.26940308897726445,-0.023323852263213516,-0.09606433061754065,-0.04320127931915459,0.06516442334849548,-0.1622147318059452,0.03439940034401901,-0.18834400264747173,0.26739390868227014,0.023081974936016266,-0.011503164036410652,0.04321733772356726,-0.0445896910761027,-0.11830635020211365,0.1460587132795611,0.2781144120799632,0.025029583757078172,-0.03163067908816912,0.03431381817330042,-0.12990149003852233,0.8833145759590696,0.08661234915854085,-0.031513914859728605,0.04357204237073561,0.15143084621621572,0.004282352965311998,-0.03656363811595153,0.0025529004210771505
HOXA9_filtered,0.017657781179554886,1.0,-0.1038749791538377,0.2937223971237195,-0.1762898316551335,-0.015037325757808785,0.04584225570559299,0.23850796535911534,-0.09479679314062867,0.05062063357026242,0.2400860714083776,-0.013774066266439773,-0.0801394299564476,0.01964752261878121,-0.12872194835951328,0.006120848346617177,-0.030895675008158794,-0.0004768368485640934,-0.07963172300727543,0.05994435558055849,0.10235505843040806,0.05975662687508637,0.18400443593769203,0.26124323817307205,0.2283481402742771,0.22163297882574548,0.18282295000577517,-0.06801852100784257,0.025612616289585752,-0.026272275146706093,0.0547596472462812,-0.06102657910196459,-0.05921139722631511,0.015511972102441847,0.027731050858011714,-0.1199572594939943,0.0,0.14388098441023403,-0.38529212686377606,-0.030552281810544174,-0.15183191064797516,0.9294378060079879,0.0033969330461127434,-0.12870611331910012,-0.08944464482066268,0.08551916829816261,-0.040500407377669856,-0.015610586192869718,0.3670093537445451,-0.13137647995670151,-0.024341224001429396,0.10702830701568149,0.05965774089762789,-0.06886555919543268,0.07939978768279236,-0.047897221850790955,0.0,0.07248766784467649,-0.06018303615138371,-0.002956723322782526,0.07521641132867772,0.000754979649372502,0.15878796171731166,0.0005291843609149603
PLAGL2,-0.036904369509365556,-0.10387497915383767,1.0,-0.03748152327181059,0.1692288662895509,0.26537848551431986,0.021587040423770756,0.04417926773597453,0.016305469023698074,0.08996746540234321,-0.03333594678723403,0.01723723915829857,0.019482369265416355,0.09133509112289429,0.01959974929238592,0.06907062773817599,0.05117410732833089,0.03574396218365547,0.06103573318850731,-0.02465032260584666,0.01618441516034387,0.06932076553560497,0.04104168333675101,0.03874706392698867,-0.06609406160263219,-0.020903599336954338,-0.00362513151562048,0.022469352608937874,0.08651949770531786,0.07019809206889296,-0.009800886996809817,0.27858076462340164,-0.002554880160610641,-0.010085831614980195,0.08000569951432533,-0.012998913898320892,0.13866212546973528,0.01927480430416441,0.04152295034406001,0.09274910073085703,-0.0387183473582388,0.1484963237400066,0.06531579426042587,0.0434839113643607,0.025289039038161133,-0.0498948106708587,0.06374091240997337,0.04623941385913133,-0.0009855488491285944,-0.025999720941971786,0.02302270034131126,-0.03488789662536112,-0.0017569821971931507,0.010385529372598186,0.024939462725243965,0.0735261945648666,0.6222812335444259,-0.015178417576310528,0.032650889284478145,0.07977391646258783,0.04036699995891749,0.00631650645858117,0.00694396541873485,0.0014028405378224216
MEIS1_filtered,0.1326630084752178,0.29372239712371945,-0.0374815232718106,1.0,0.012509054471452128,-0.006632157978076564,0.08925628680458844,0.1461636092839329,0.00870785076306674,0.06823900237400835,0.005444779719536121,-0.05591362389412477,-0.052213319109580526,-0.004282147600229534,-0.029034909399483427,-0.027051209313530576,0.004869543336141889,0.055787271176932586,0.10084336663658315,0.1272104942710415,-0.06658193154502959,0.03783895704652254,0.20676370535173144,-0.051397158251242796,0.11654195715291868,0.0990868556183201,-0.0003695879131066051,-0.004461192274852597,0.06632854294405563,-0.15117851503054433,0.0011920452459540088,-0.06831033798858642,0.0735626659970164,0.10948944752317269,0.14660334045815515,-0.09513920426690363,-0.2952805812904741,0.006080766250306052,0.010660195932772494,-0.11554508579584373,0.005872387777900023,-0.01736187840461334,-0.02319108269879752,-0.1955748808308789,0.16117275690040112,0.05179855895940809,0.02737561981268476,0.02467898772822082,0.06404425931852381,-0.048105136032522436,-0.0003683427392952828,0.0441462301510246,0.0025347812448268873,-0.04237326157562051,-0.052696162988130804,-0.15947764473926687,-0.29224320571061074,0.07352278631804118,-0.05636196630916982,-0.06117844807644423,0.1302713473675666,0.008462122660262968,-0.0802446140957433,0.0026779316642351497
ETV6_filtered,0.03912282303549653,-0.17628983165513346,0.16922886628955094,0.012509054471452159,1.0,-0.019554763686122845,0.010327088445223193,0.10504484855585992,-0.0532238054781812,0.4582873984267366,-0.05220500800158427,-0.042395029235546076,-0.034803888772500575,0.021420701969204002,-0.04178916458970563,0.04080694965344947,0.006403948923061358,0.28355055597987555,0.04162917725068402,0.04626020268178873,0.05542753545470762,0.024058301788983296,0.09269648398152401,0.08296604303465992,-0.017362861766601383,-0.034690911286189056,0.0015984428735191627,-0.0063877429611599685,0.00689397116164333,0.0869315135096497,0.01797110922151971,0.2629381027400244,0.0635075307625489,0.07492442208404833,0.07122268628703494,0.0005806975411202888,-0.10049785338034221,0.0036642161735250455,0.11650341180114383,0.06291158503928963,-0.00785302416562331,-0.14648421028711386,0.2677078593256805,0.02744061462525248,0.07422012842647474,-0.04870196275640668,-0.014706517651901318,0.12550453065630404,-0.13800951666655947,0.05223870137120447,0.0544743430458522,0.13587675828166354,0.016074758217932094,-0.0008944361063655052,0.0638188015754169,0.04147635428507286,-0.5052386329673814,0.006513531008754834,0.01224767430109603,0.08660408954653805,0.07056957715608539,0.013777296308698271,-0.047905938014407436,0.0010007996044210786
HEX,-0.38258613558035104,-0.016165172986499752,0.26537848551431986,-0.002984751553696322,-0.01974557402942944,1.0,0.9260334199231458,1.0,0.0,0.9999999999999999,0.6050256505890526,-0.004355905462587404,-0.0498834576748132,1.0,-0.0035176432620580692,0.9994966248647568,0.9378151765444889,0.6068257879753682,0.8651798711934416,0.45167094896500726,-0.0076517921520423025,0.9893764331652802,0.49183220624876256,0.006420171853664112,0.14742272844281698,1.0,-0.00316135489015463,0.617152067479876,0.73170705367659,0.13335178799250805,0.24889986071195375,1.0,1.0,-0.30110615311148575,0.9999999999999999,0.2097467347916071,-0.36689142102063166,-0.006335529674098658,-0.022327962181687186,0.4205369186293749,0.26365130894444627,0.6087214055345608,0.14465449532029143,0.8366104850143513,0.22951675270734156,0.3266895640858561,0.5906360897064866,-0.013479450255059942,0.12598465840330578,0.3457946158476077,0.0186631844325059,1.0,0.18613146025968594,0.07446563343665123,0.06255558291553885,0.61809379192578,-0.17625788966958852,-1.0,0.7360204084398181,0.7652497957770502,0.056422817710209405,0.002402392506119921,-0.006740235183086798,0.020657757390646972
FLAG_GFI1,0.09839461438131737,0.04584225570559299,0.021587040423770774,0.08925628680458847,0.010327088445223214,0.9260334199231457,1.0,0.15192573502351925,0.05458864050092479,0.06638175136693561,0.056339474768851344,-0.023814566341765667,-0.027586389812800188,0.08970694628917937,0.05594236241411671,-0.03190469484580699,0.029871601769282354,0.03548151546046762,0.8180467551611676,0.06765545184802492,-0.06788300089284298,0.05934410820103579,0.14427342630581766,-0.07193289500804977,0.13643824601132873,0.05483920612376436,-0.024438712714158504,0.058064001710110426,0.14733058657253267,-0.13270159657195812,0.013589310327358498,-0.04256548604639595,0.0016229415654485445,0.10601120418006367,0.14186358758173204,-0.06198870743202354,-0.19753078776066885,-0.042175292795580036,-0.04837837446513753,-0.10293420221417962,-0.011688907508680332,0.3535527485491527,0.0020298392133666645,-0.11866600448996081,-0.0017823071494125252,0.008747671894936224,0.08619540406109973,0.02163634334827157,0.10414078500599876,0.018618865489214948,-0.03483175968988789,0.041687868871073286,0.009617841681069732,-0.03741437031748026,-0.03298498160374087,-0.12778437467490147,0.4574890900957616,-0.0007597644475113616,-0.0036063827201015656,0.09284256873688106,0.08702907037332168,0.009898973553243633,-0.047386256577584454,0.0067052320324894055
RUNX1_filtered,0.25725919075333575,0.23850796535911548,0.044179267735974526,0.14616360928393285,0.10504484855585988,1.0,0.15192573502351928,1.0,0.055184762212863114,0.37088844949245564,0.06805865729557646,0.1206704414928872,-0.01935124684851734,0.0032991555910344772,-0.007010137285619229,0.040404320094487814,0.06703181542134073,0.3640957446249592,0.09666728510439437,0.1966590746095957,0.1215495538684519,0.1583413608406164,0.7651997698916134,0.17347790677764907,0.13541447636789572,0.19656943077754474,-0.012755927070007207,0.08164029009062121,0.06313926396844044,-0.025593529556011012,0.0440868938432094,0.03272840714704627,0.09209056565428365,0.1293160132810424,0.1844992130144141,-0.08076301792698129,0.2845169992929962,-0.014408920178953758,-0.03530848917301105,0.034761622895329414,0.11974806886774043,-0.04340860585405637,0.1671202037013219,-0.1318885455816039,0.19790015283804976,0.05272477008264828,0.05987956733301975,0.12429107197262435,-0.11550288497558503,-0.12264616338143842,0.1559997832033697,0.13520178036817296,0.036490097421498946,-0.0315469755846391,0.039849816756806086,-0.048534731832458974,0.6435963423171138,0.0634274587099812,0.00104504490745127,0.03629501812990805,0.2209571178220719,-0.03470942071763991,-0.06296146679750206,0.003317157509267135
FOSL2_filtered,-0.056352239718283216,-0.09479679314062868,0.016305469023698074,0.008707850763066764,-0.053223805478181174,0.0,0.05458864050092485,0.05518476221286311,1.0,-0.015187777263918165,-0.05379827828858814,-0.11933390911065035,-0.009324381118026947,0.16893113081504152,-0.04137941901819015,-0.04118018391341438,0.02815176818739878,-0.036069388029445745,0.20709617591064788,-0.03161896905763025,-0.08319900076083127,0.05922296122174462,0.02631972661702771,0.06029188366187749,-0.017399996878461808,-0.06738887612732308,0.055002889644567225,-0.016558286864362337,0.020182708881042066,-0.0544111097834366,0.10442728702685784,0.030949224369349965,0.21498598236044153,-0.04538512872011387,0.08238187703457442,-0.0023659882470745677,0.19693126678692952,-0.09080935430707675,-0.21448136562648853,-0.031159450405025612,-0.19334943836212484,-0.08852809834898226,-0.023017624985793062,-0.08614535989881596,-0.043803309214817204,0.030995377182409706,0.007916370116936857,-0.0800333601454828,0.13416858537722134,0.016806218113332057,-0.03293818708908362,-0.04012137874651055,0.10816044044552506,-0.036078984376684026,0.03891301275586455,-0.07673127399060664,0.0,-0.01906824033971342,-0.02746634500636085,-0.03555925651492817,0.054754742359568884,0.0020287238478701084,-0.09281949936563232,0.0012405575960534093
FLI1_filtered,0.1099904157176817,0.05062063357026246,0.08996746540234317,0.06823900237400835,0.45853698645706037,1.0,0.06638175136693562,0.3708884494924557,-0.015187777263918172,1.0,0.04088821940334435,0.026404172670709106,-3.5578503485408913e-05,-0.00177221992122849,-0.04149205794658718,0.1490310780187973,0.009315505226534992,0.24527613676034282,0.03385212062344666,0.34566691720973386,0.14932691618761434,0.11791118726701064,0.32497971715589563,0.18786973628202167,0.041958818703025424,0.11260188350333446,-0.0022547617591758174,0.014067908457921944,0.04984751955041371,0.11832161737269552,0.012490479234183408,0.34560279297972085,0.08288607323652752,0.07140456371987118,0.14002331215201846,-0.03926173608561041,-0.18525275875980707,0.026486340776489727,0.20041319963250495,0.1693233974884435,-0.008041032451773265,-0.1949727662705963,0.2128277580350229,0.021454472444497774,0.10558140848324335,-0.005879879851779158,0.004313467724932802,0.1323574314191361,-0.09101214710651176,-0.06156123634019346,0.1606895028981218,0.13177897253310009,0.016354129245338796,0.027989296450685618,0.12034589424376078,0.0681419277064369,-0.09892702919300024,0.05064131810294973,0.11460614514890226,0.13800047370961915,0.15709267031561905,-0.007277522296115933,0.04499817502016566,0.0020459304772893583
