,sum,max,mean,std
FLAG_GFI1,21063,82.7514,6.207959678306351,33.6609311779238
CEBPA,68355,123.66274,9.781122256028345,54.52795087993181
HOXA9,1289,36.84465,7.153084566847685,11.603566067524195
PLAGL2,14044,1424.57,8.462004397607519,276.22891190229444
MEIS1,54500,99.0501,10.012912626788992,98.73546918368376
ETV6,6796,80.06743333333334,9.769440509332584,41.2644333780014
RUNX1,52960,85.43705000000001,8.382788390108317,24.208141983811736
FOSL2,4236,367.017,10.63194052407932,124.62824469508303
FLI1,54499,512.89,16.086436215159917,433.36640829899585
GATA2,11753,191.227,16.547449479494595,363.3007881275172
SP1,24252,684.427,14.844236688321237,413.0180197686252
E2F3,14990,598.145,11.181844151434289,145.1883477722296
ZNF281,17195,3947.19,23.5855907124164,7206.7230540597075
SREBF1,4172,645.24,7.141496843240652,172.71850444677193
LMO2,15411,43.670685000000006,6.625372228440725,11.153105282857643
STAT5B,29278,293.23900000000003,6.154545622993374,107.33869337926737
ZMYND8,21747,45.17605,7.409678018487499,12.571261614218256
LYL1,11924,89.225,8.948804152968803,54.56261856844447
MYC,60583,83.149145,5.654370677969645,16.789859822551286
TFAP4,27768,1356.1,8.792897848962832,175.37215535973996
RUNX2,74139,75.82466666666667,9.464595031139599,61.070850973064736
MAX,69502,110.47425,10.194261455120166,62.059539233870005
IRF8,60558,259.9731033333333,11.10901819624555,167.08210435732425
MYB,24760,125.9535,8.420223809740174,49.60016260497959
ZEB2,8107,812.1889333333334,7.3944399821758955,235.54001751480055
RXRA,14315,1240.17,7.333118678309467,168.65266901770124
SPI1,79228,200.8460333333333,14.372454267455952,146.1015343914396
MEF2C,11439,84.65211833333333,3.61551595082612,17.319796777272902
FLAG_MEF2D,22852,133.33396666666667,4.335559837729683,5.380175227993773
ELF2,34882,114.3269,11.62222649731157,90.07318678576242
JUND,3168,63.0745,5.604826971718048,5.337491276258245
SMC1,40440,86.7097,9.923198656990758,80.41226582022445
LDB1,92,30.1347,8.999556521739134,22.174384802414693
H3K79me2,23545,16.2274,5.378661306009767,6.078671871354947
WDR5,568,42.44566,9.306144390551644,52.079947769579
H3K27ac,55263,18.188991666666663,4.498731184907602,3.775124700032058
H3K27me3,4153,16.9388,3.889175597238944,1.0770689734665042
MYBL2,306,35.3844,8.545101911764709,19.627689102260543
CDK9,46142,65.1886,5.602425081097483,8.156999366422383
H3K4me3,24094,29.194000000000003,11.92278466264077,34.06131325889601
FOXP1,42623,78.395,6.832342162805247,17.193672294844188
MLL_KTM2A,32769,17.2413,4.82258423871647,1.337148332174944
RARA,5124,343.55300000000005,8.059509047619049,79.91123988509192
IKZF1,28347,75.8411,6.880067831210828,12.995111862250031
AFF4,3141,96.5899,5.674362486734585,15.101467757101139
CTCF,16319,77.6791,19.186960652000735,126.9666028128656
BRD4,44377,13.187515,3.9313526520601254,1.0075816759748526
CEBPB,54330,150.145,9.413782335745648,90.8669302853876
H3K36me2,34712,17.2976,3.9550604728768146,1.8360411290543557
PSER2,23455,59.9647,7.7975631947914446,50.85070984556185
H3K36me3,9162,14.5761,3.619533819398967,1.0987264226146063
H3K9ac,40897,20.6376,5.790330447974994,11.399776582539536
CDK13,88,75.1149,7.155729545454547,73.5425080076445
H3K4me1,46227,5.40321,2.9996800491415554,0.12922915715292513
POLII,32095,94.57036,4.183394278747988,10.60561561723792
MED1,35891,29.56706,3.8813168611535684,1.5583666209591462
promoters,12574,1.0,1.0,0.0
enhancer,36758,17.94855,3.8927679419985814,1.7744429910183919
super_enhancer,8774,36.16949159767471,5.9901196550116955,11.152144776639869
