,FLAG_GFI1,CEBPA,HOXA9,PLAGL2,MEIS1,ETV6,RUNX1,FOSL2,FLI1,GATA2,SP1,E2F3,ZNF281,SREBF1,LMO2,STAT5B,ZMYND8,LYL1,MYC,TFAP4,RUNX2,MAX,IRF8,MYB,ZEB2,RXRA,SPI1,MEF2C,FLAG_MEF2D,ELF2,JUND,SMC1,LDB1,H3K79me2,WDR5,H3K27ac,H3K27me3,MYBL2,CDK9,H3K4me3,FOXP1,MLL_KTM2A,RARA,IKZF1,AFF4,CTCF,BRD4,CEBPB,H3K36me2,PSER2,H3K36me3,H3K9ac,CDK13,H3K4me1,POLII,MED1,promoters,enhancer,super_enhancer
FLAG_GFI1,1.0,0.06425266705280208,0.0073440681882571785,0.01953538645344877,0.07858200585734948,-0.01034529654263435,0.1526160811569707,0.26068505751289933,0.06372997101083953,0.03804025432279002,-0.08804563794130826,-0.01084068572089675,0.11072995958531766,0.15747466569536897,-0.03411875290796253,0.08291376339547818,0.035520280068501324,0.03983768237873538,-0.0625212117541638,0.07435685881249797,0.1275208543183734,-0.08536072701822514,0.08358304593580358,0.019766585286570028,-0.01965716585845058,0.09578068409554896,0.08858580023633181,0.30379162460916387,0.24661512474705613,-0.05165037238582448,0.01123645492945134,-0.06552168721365252,-0.28723709750551946,-0.04426337339444042,-0.048765561078374965,-0.11986340872631085,-0.004238151224587554,0.2770220422676524,-8.728027314071635e-06,-0.11824190759474182,0.011258851944594325,0.009610018024992334,0.2883256074413978,0.002128540851364736,0.10619431867266245,0.005743674876838333,-0.03872541912732459,0.04852045649446711,0.005316324928919448,-0.03389576035785276,0.007746634977247524,-0.13344360117600265,0.16565948184402113,-0.006336038429823051,-0.011776879692058966,0.08064051056931637,-0.12417291601172083,-0.05130502138032518,-0.030976021868470326
CEBPA,0.06425266705280204,1.0,-0.05109321644493238,-0.023551599608554442,0.096479341468539,0.02814825904109746,0.14853012972288152,-0.0497112873946428,0.08515740010259408,0.05339115460240575,-0.1345563756194972,-0.0921812038353569,-0.05187943795267769,-0.004682298525298388,-0.035627346384015386,0.02721440821242566,0.06516986841625967,0.02321265254568444,0.02012119372027522,0.02168921922157227,0.1638777320984986,0.043841785486798665,-0.00935699239228826,0.08401213672051747,-0.005318034257018755,0.00975197778717918,0.022727859187089076,0.38337473523265514,0.08799700276232482,-0.024925103709399567,0.07387078382192683,-0.08169119246112663,-0.01254458705484531,-0.024330021729708527,-0.05536414805497069,-0.028624171509674366,0.20030887334848468,0.16209816774587546,0.013740456394036905,-0.15067420519925656,0.1626145601437106,0.02461114583290724,0.018407374431200284,0.04485028943608346,0.007073553007844721,-0.09651770659781764,0.12117187773774389,0.34644525830387757,0.0048817275131779626,-0.023232649488725957,0.08155221207444761,-0.1060875957981603,0.6175474864505789,0.05995885401615571,-0.028268235361433993,0.02084813959101087,-0.01583956618638123,0.030511924904192238,-0.03366773751385418
HOXA9,0.007344068188257178,-0.05109321644493235,1.0,-0.08839567398965413,0.35106994827759774,-0.03526495632568899,0.0805197323146594,0.0035143878886624716,-0.01895296780287306,0.10648732381234953,0.02147846165601662,-0.0017093687826811644,-0.0062156667596955295,0.03997225861006668,0.01480185340224004,-0.025927363425419972,-0.0036345365580302464,0.06448350819075745,0.042981410443176396,0.03456024217177585,0.02843656801701563,-0.007430358643072255,0.05813792401879418,-0.002910549571844554,0.19129189208378444,0.010205566063964553,-0.020157695440191237,0.22312018357094496,0.07975878315420067,-0.017505650123317618,0.5308996751278502,-0.050866385926713824,0.36163139577206604,0.08809062115235965,-0.26256899161358704,0.0014414546965416427,0.27481545247784916,0.6846304137138658,0.012926318004185882,-0.0650692500357385,-0.06800222524417182,0.14647071697729125,-0.03413447911705698,0.007061494416100196,0.11704206873745142,0.04146657782530681,0.033028431427707616,-0.021872329364469145,0.0665832426466444,-0.09219799978229427,0.18183521085047655,-0.06334082251154384,-0.08526229733113144,0.1065123467574698,-0.06985620086680175,-0.03475037994735601,-0.033099373027558825,0.04925791396963425,0.04151937783558297
PLAGL2,0.019535386453448766,-0.023551599608554456,-0.08839567398965413,1.0,-0.026310458334522627,0.21365640712176928,0.049594548494530516,0.4528185001056603,0.10591417816175983,-0.017101679244019605,0.028165983898224743,0.03248621280516455,0.09361386264442323,0.017223394917928826,0.06934696058559617,0.06652674106853622,0.03532469928779544,0.017131781168985418,0.05307071328925697,0.03587860586446688,0.04240713272173341,0.06079335965473548,-0.032793631708749896,-0.01350260228998685,-0.0034088350382244885,0.02532952657766461,-0.015463695426536701,0.24151429104149025,0.0861009075832491,0.16158655564962077,0.5111139375037216,-0.013136717577044371,0.14443660639343278,0.017468268808648126,0.04143296548311067,0.09253062072149604,-0.04144461372339119,0.14851094387547348,0.0654826233211744,0.042949510518927744,0.02696117673776137,-0.04919510642780658,0.43167765764088645,0.019705488715437623,-0.0022476412056365723,-0.0225709718235921,0.022460817572149315,-0.02257170549997174,-0.0014081408159313448,0.009945836507931719,0.02952050217367748,0.07294555383363058,0.6149634607969867,-0.011005657086080778,0.03296689116662934,0.07874598442819561,0.07661765002740877,0.09752472059421267,0.029575627010290893
MEIS1,0.07858200585734944,0.09647934146853895,0.3510699482775976,-0.02631045833452262,1.0,-0.021861642246009658,0.11680892854253522,-0.007439812075271127,0.04276275293097632,0.013724912103183315,-0.11387820810890929,-0.07465680478969867,-0.023754567345838938,-0.020707707985298255,-0.03494387585226355,0.014810472784245658,0.05526300153057594,0.06545901249770603,-0.06630161835731563,0.019391507620705385,0.15701777744491124,-0.044132656247314286,0.05729680011768162,0.07903879131486441,-0.003238848318688059,0.00032478507254625,0.07155049820794857,0.13357841202016094,0.03766437300702288,-0.06370622623680045,0.08162875945440631,-0.09579976027149868,-0.2381999349947161,0.0004010302859896343,-0.014051916626856535,-0.10448274988928415,-0.027195996520184083,-0.0764535222165061,-0.02120429658569172,-0.17808016779106375,0.12472428040337549,0.03434511594050462,0.014451445367857052,0.030589000330982757,0.06359082233744195,-0.08420234470427768,0.012203608261617082,0.04603360914359517,-0.010509123957294326,-0.03808933504064842,-0.05143032592143635,-0.14702036340398003,-0.03524851847683336,0.05904149289172293,-0.04979346108612458,-0.04874807163364379,-0.09888915951644865,-0.023733783920684128,-0.061204943965062174
ETV6,-0.010345296542634363,0.02814825904109748,-0.03526495632568901,0.21365640712176936,-0.021861642246009647,1.0,0.043210404042318976,-0.024079546975286612,0.4333416631027746,0.019627269099480992,-0.005147627562046062,-0.019074410902729676,-0.0177271314885036,-0.017446294551003286,0.026980686169991927,0.011229239008527904,0.24069884484487755,0.05200683631148356,0.06939279045813031,0.0027353987982887333,0.06970987301883391,0.11741223806377452,0.004805514640995627,0.00012145878360830201,0.026843402995839604,0.0006759994382890322,0.09560180226416451,0.06731540235187446,0.019627683898795534,0.28574123047249583,0.05313946445618457,0.0027449301515147383,-0.10842107107210526,0.006140097093402217,0.02766458859164083,0.0847236052060631,0.3236875935472351,-0.04258422251306339,0.26900115643456546,0.05761263194925671,0.06462466375460754,-0.012401110513316963,-0.02633839527020777,0.12654275739103532,-0.043016283480400055,0.05504490277647673,0.07052660421550706,-0.019500379947237384,0.011221199381285156,0.015424394519635084,0.1396792367321727,0.06804189001239368,0.49425813296319615,0.027700937959406643,0.012663457927964349,0.06796363333044551,0.12491890557718252,0.10031459665085848,0.07965339882702935
RUNX1,0.15261608115697062,0.14853012972288152,0.08051973231465936,0.049594548494530516,0.11680892854253525,0.043210404042318976,1.0,-0.011149580393577418,0.2766884392920303,0.07901255924612038,0.09281362507557478,-0.0034995031409382343,-0.01910723523902373,0.004652121802452037,0.05199043448737517,0.04771873664066721,0.3061624709856733,0.20782632876563012,0.10587345069695989,0.05753370924154034,0.7490562975475569,0.17725674024322294,0.018415761918962492,0.13971501402223205,-0.014492946014143707,0.03422836381889993,0.10544135202588785,0.15755985182695503,0.06495246358274658,0.025753571671501278,0.06386648779246099,-0.09103875261063565,-0.17619349525868597,-0.019330181738489674,-0.04431633226438074,0.062428047872962654,0.06576058175804456,0.05644470573339294,0.1588429187209112,-0.05530102083948381,0.20580959398116608,0.04713912317347336,0.022418975255428263,0.09537399120010413,-0.10664204696396241,-0.1402052171401499,0.1592243930800313,0.10667451043763455,0.029774014526767607,-0.046415149415381475,0.028504274668051083,-0.003927038896229684,0.34605412242930356,0.06161784968165139,0.04236494968908344,0.06379435847484838,0.035190467058891575,0.0797749433639334,-0.04651523568445747
FOSL2,0.2606850575128994,-0.049711287394642756,0.0035143878886624855,0.4528185001056605,-0.007439812075271128,-0.024079546975286612,-0.011149580393577406,1.0,-0.013071285464696563,0.015465934309565497,-0.10558382714371181,0.23386723993036765,0.1215304369368746,0.37167063227083186,-0.06742714533434581,0.07611185409939317,-0.07128029458881115,0.005054834831220877,0.01831746576727553,0.258488891070225,-0.018593116369792138,-0.014551653685572402,0.014254111389119358,-0.024615755923102695,-0.0025506572970522418,0.31308362933802075,-0.04407915292104445,0.26721407692427357,0.10711837272229106,-0.022224639135726344,0.12303174611010917,-0.017832990431297203,0.532004303245417,-0.04755621300854493,0.10215281732648973,-0.0663301132883179,0.2002090109390378,0.514591843723897,0.07478468218595258,-0.11719331765626477,-0.04421014738966541,0.03688836034563557,0.6449798711297793,-0.032572237246740396,0.1054714546069356,0.010156448418554892,-0.034998977487757425,-0.04083748203966728,0.04033051753884447,0.15558871435798954,0.12154373534231364,-0.11624773380848924,0.6708255552387646,-0.007895093340319336,0.04481871910120254,0.1025808805938561,-0.04949862843922218,0.0013775225623041559,-0.10129781224419228
FLI1,0.06372997101083955,0.08515740010259408,-0.018952967802873037,0.10591417816175985,0.04276275293097631,0.4333416631027747,0.27668843929203024,-0.013071285464696599,1.0,0.03329651691899279,-0.0013203059114027772,0.019900016350734906,-0.014417883698622022,0.007817364732314262,0.1376590488587694,0.017803853198879935,0.22663331981984755,0.2695734308642064,0.14597581929656508,0.043647749607479774,0.2578335431365988,0.2095223167905917,-0.021164164965898583,0.06600947701037523,-0.008385913075934294,0.010142804861109096,0.07847023316407538,0.10108537742935955,0.039514917961755096,0.28832497098745474,-0.008975763853625723,-0.06265963944450371,-0.09551643559360233,0.021415436079544294,0.18487668563732207,0.17484645539629343,0.011980990079706159,-0.13573526068576727,0.21313987769676257,0.05279276161910871,0.11919117158296183,-0.0017380880530053523,0.0027688283352587666,0.11258502097618578,-0.08968756829533688,-0.09429929418520683,0.138466027462297,0.05905981940047217,0.016814901905756505,0.01890386283134939,0.10101923544678756,0.09775455975728518,-0.1857064611284269,0.046310719228991076,0.09204444135517606,0.13314549020824698,0.14675775956653436,0.11554990764267438,0.04306901921290928
GATA2,0.03804025432278999,0.05339115460240578,0.10648732381234953,-0.017101679244019605,0.013724912103183325,0.019627269099480947,0.0790125592461204,0.015465934309565438,0.03329651691899277,1.0,-0.05536131533952229,-0.023791180253504,-0.024660803971178796,-0.06293423979567841,-0.017619434334983274,0.008431575250688826,0.04655033992467181,0.14457859754022548,-0.007245174622060021,-0.015066325689950526,0.07252771566487856,0.000932743586453706,0.0456517405542486,0.04123272503304309,0.00835651675932486,-0.002673162146649404,0.0583781764593378,0.28982699270648843,0.030962500269408413,-0.03569677059785176,0.0107307066379919,-0.016760035516417346,0.32302858320023065,-0.04033154517949062,-0.17155639674580248,-0.017054652063960396,0.012892641203975456,0.09979946558908426,0.019146950156056643,-0.0676028477550317,0.026657257459081624,0.012613162278495174,-0.008669961201045137,0.02680543729526074,-0.0217789377732516,0.05152955815191354,0.05009478426447765,0.012770668569418133,-0.011931518106625521,0.00021865955338081072,0.05382025480023008,-0.06259518945421326,0.5707842878823125,0.010279006409605109,-0.027412471623337525,-0.019113251135177763,-0.017303798782583046,-0.0021092327511661097,0.040407114250313764
SP1,-0.08804563794130822,-0.13455637561949718,0.02147846165601658,0.02816598389822475,-0.11387820810890932,-0.005147627562046059,0.0928136250755748,-0.10558382714371188,-0.0013203059114027767,-0.0553613153395223,1.0,0.14552913629652198,-0.020836659587151207,0.00318136245680347,0.043665109230196765,-0.017703102495905426,0.0977942470042258,-0.044926137341110665,0.1911337308927967,-0.009993518790661304,0.03166330391785846,0.2970222209691026,-0.13334164997099415,0.022131848300289643,-0.005720181706589153,-0.011198652013908664,-0.14140274476488018,-0.04840322367217369,-0.021422048936811485,0.10506014694420313,-0.06285872165487599,-0.022918892452820583,0.09955596233561574,-0.006150683368396278,-0.049184171017328394,0.1680690915432454,-0.055241620892672295,-0.06367365787569225,0.003648503140587976,0.17616227848197966,0.11149539874029114,-0.08294220985099421,-0.06931362785721515,0.00912877661249916,-0.07269850401113263,-0.10816615264734016,-0.038037616559803124,-0.11833380357706111,0.0034484070149294875,-0.026534135407970158,0.04839310861496935,0.2280529949022762,-0.004984087363408729,-0.08454567527293794,0.05824678064319127,0.083765941146945,0.3190563321171821,0.16652400911515328,0.07132484352601891
E2F3,-0.010840685720896737,-0.09218120383535697,-0.0017093687826810879,0.03248621280516454,-0.07465680478969866,-0.01907441090272966,-0.0034995031409382326,0.23386723993036773,0.019900016350734927,-0.023791180253503998,0.145529136296522,1.0,0.01773507624516358,0.6872238781105243,0.054480297890352976,0.022674561236579637,0.064881868858799,-0.04424147518103859,0.15438529951143384,0.0972904886364498,0.032118434174727914,0.2313449278209921,-0.07914749411411544,0.030013999830428947,0.0033246085942388376,0.09329728913379008,-0.08828764487790869,0.15124910377487896,0.0305984442244488,0.03261827772771378,-0.007413650832010127,-0.01413837037189682,-0.13787117739049937,0.09633361708747891,-0.053097570130162024,0.17512340732182152,-0.05999299183806535,0.0756986486522688,0.051935072946849604,0.11457761706353323,0.05595747995344209,-0.07046374400893214,0.04905779697706585,0.018809968202773572,-0.048221913805298694,-0.053422644438042934,0.018349121569756502,-0.05353285489368446,0.016641323682211637,0.027801864247808703,0.035372794157718164,0.1596849171070475,0.28933890705106796,-0.049829121672489776,0.08043987784694086,0.11635438124074625,0.18368133090606012,0.2511173365490914,0.03910106993351607
ZNF281,0.11072995958531763,-0.051879437952677694,-0.006215666759695521,0.09361386264442333,-0.023754567345838952,-0.017727131488503585,-0.019107235239023725,0.12153043693687468,-0.01441788369862201,-0.024660803971178792,-0.020836659587151224,0.01773507624516358,1.0,0.12300569663928866,0.05985234989866491,0.026650299708772824,-0.017574672976429232,-0.000636440193376668,-0.023746319944976835,0.012141622647091451,-0.0297291395236801,-0.027472584707182793,-0.0052622202228162695,-0.011280629061420452,0.02177220990881949,0.00514942847474246,-0.01680616164499019,0.23044921682429143,0.4582935577555647,-0.009752321851109495,0.11252092578603605,0.0026068370727200447,0.45252848831076303,0.025224015854503186,-0.056412805022389094,0.004749450561885415,-0.12163223057310417,0.20258316390315456,-0.016454684089427397,-0.04372846440776898,-0.007254118276637179,0.011846925677565586,0.2689075291062908,-0.012853137290259638,-0.006049982767148171,-0.009948157689878482,-0.00667253119175231,-0.02594004311037537,-0.05746096465509965,0.0006169380649804369,-0.05343366377295208,-0.029666729640354744,0.3108224677768773,-0.012144649486559505,-0.00884999215318609,-0.007060029620821965,-0.06029273342625512,0.006845552472795298,0.04739641271632527
SREBF1,0.15747466569536925,-0.00468229852529839,0.03997225861006672,0.017223394917928844,-0.020707707985298262,-0.01744629455100329,0.004652121802452048,0.3716706322708319,0.007817364732314277,-0.06293423979567846,0.003181362456803476,0.687223878110525,0.12300569663928877,1.0,-0.005207318570531386,0.047265779636028044,-0.020238346871822487,-0.009079515833132655,-0.0032217265797206207,0.15242595404258194,-2.591623268019541e-06,0.0037497694385135835,-0.01217099077843457,0.005174743968040295,0.0004505946530418996,0.15033462793693883,-0.030181104331400938,0.40912804014246174,0.08663166698585281,-0.02270330162746141,0.1159624408189669,-0.004866858275962557,-0.15911078636930281,-0.017262766644962083,-0.013339389605637129,0.0022162600083268794,0.3125924713197592,0.3109743252237633,0.03360932800089761,0.006576528419929429,0.0005427183899713286,-0.040397406953954794,0.21472403916957325,-0.0007258280982101084,0.0437200155880737,0.04133241076495403,0.03383128373365688,-0.01143326301051187,0.028959386811654726,0.023726306475562092,0.12284573187786041,0.011924445915347017,0.6620685861778587,0.005212900853806684,0.037359474919454835,0.11490439498627585,-0.01706691637927093,0.07517020656815618,-0.03516777447424431
LMO2,-0.03411875290796252,-0.0356273463840154,0.014801853402240077,0.06934696058559622,-0.03494387585226353,0.02698068616999192,0.05199043448737513,-0.06742714533434578,0.13765904885876945,-0.017619434334983256,0.043665109230196744,0.05448029789035298,0.05985234989866491,-0.0052073185705313815,1.0,0.0084276213635295,0.10451718474496838,0.552859599038385,0.21030222192603107,2.4606601583851308e-05,0.10282849524735223,0.1993325551366169,-0.05874370435577661,0.06757452125058042,0.04026131584726723,0.0008187941405686258,-0.05089296194555905,-0.045005908207190484,0.10460579833946537,0.10778631056047182,0.02351222827999195,0.01043735042112332,0.17404828728892438,0.1909125420771669,0.17406876999121135,0.556326946755165,0.17569578789213364,0.00011299911255399985,0.14231614208964097,0.250368097084435,0.08620939470939085,-0.005421541638942671,0.03641788616143198,0.026792723501359465,0.08574790675691542,0.00994887629477366,0.13543697254087766,-0.03269618021070235,-0.023617950646089552,0.0057462853531148935,0.04003493991398339,0.2928158878214365,0.1908777868326398,-0.00929949566784423,0.19903993967679437,0.3939922406816156,0.23108246774972102,0.3673926364590558,0.14888061963755173
STAT5B,0.08291376339547814,0.027214408212425687,-0.02592736342541993,0.06652674106853632,0.01481047278424566,0.011229239008527899,0.04771873664066721,0.07611185409939318,0.01780385319887995,0.00843157525068883,-0.017703102495905416,0.022674561236579637,0.026650299708772793,0.04726577963602805,0.008427621363529508,1.0,0.04083758334712602,-0.0019307302316089276,-0.009844221452976783,0.028932496274496317,0.05066831033464958,-0.008409863928530204,0.039615510257608205,0.011092995140245102,-0.00588671698899604,0.03794346285725825,0.028694789666730287,0.19583983778981742,0.08879480703521438,-0.011035082664536778,0.031186118031599413,-0.00867871932871832,0.005766136650199748,-0.012538356436229275,-0.04265973667035433,-0.013237216733738509,-0.027594506885204505,0.11080467091855085,0.05076057861247843,-0.041425928925867196,0.0387368150807046,-0.0046018330271971955,0.059547352785800735,0.03141775503050554,0.02177958109575917,-0.021436409656406277,0.0477593764771646,0.03295560188760694,-0.011308548967686701,-0.020283887152314238,-0.017599317715951274,-0.03392458572099464,0.2523995410571156,0.014958919878868928,0.022142352614556004,0.0794199664475684,-0.05067564528373613,0.005351254463411127,0.019296764412631527
ZMYND8,0.035520280068501324,0.06516986841625969,-0.003634536558030226,0.03532469928779544,0.055263001530575964,0.24069884484487752,0.30616247098567345,-0.07128029458881119,0.22663331981984755,0.04655033992467179,0.09779424700422577,0.06488186885879897,-0.017574672976429232,-0.020238346871822507,0.10451718474496836,0.04083758334712599,1.0,0.13594217039915116,0.20455889628365165,0.023108920676939815,0.39516354544474097,0.29823738712242004,0.0077891389419100015,0.06611952599093131,0.04016899737968145,0.018623517484482165,0.052719253531483566,0.15471275426284306,0.11539059152618433,0.15447039717517905,0.09656075626613432,0.06352895706972822,-0.03430868050557759,0.09073033792242934,0.08250375044245699,0.1533167248102933,0.10177776846021995,0.04015488063718678,0.14457222269734443,0.118120388538209,0.26687798683020064,0.014975577332533603,-0.031159336795000336,0.11188569335366401,-0.07445805656306409,-0.004650727055934573,0.09649249495367915,0.03109305667314072,-0.013038108789719961,-0.026729280593110517,0.08235581580033531,0.13489271664856098,0.11751464255384184,0.05549509304260247,0.06811343735671174,0.1758349019228026,0.1634444672066256,0.12359844371752748,-0.010155239811427803
LYL1,0.039837682378735355,0.02321265254568445,0.06448350819075745,0.017131781168985425,0.065459012497706,0.05200683631148353,0.2078263287656302,0.005054834831220877,0.2695734308642063,0.14457859754022545,-0.04492613734111068,-0.044241475181038575,-0.0006364401933766576,-0.009079515833132663,0.5528595990383849,-0.0019307302316089359,0.13594217039915119,1.0,0.08004612089766518,0.08654831624784518,0.1853318805336124,0.10842889930799038,0.02833423548254245,0.13600388453741075,0.012523012974615473,0.0019275642788840208,0.047512290676533425,0.07969143130584304,0.040434118924730984,0.02699420404179238,0.046506529271266805,0.009279099938631996,-0.016552156618140024,-0.005909902261388091,-0.07618194611683625,0.029920734384973835,0.16318777610311566,0.5825947256185731,0.1182376393373846,-0.08886285163980547,0.09941608512054594,0.013116900903170508,0.01667964532010228,0.07839411082155553,0.08762721388460841,-0.02378496793762281,0.11462149715858855,0.040236698589727345,0.018939338150224343,0.029784409468321567,0.03992487846552802,-0.051639594368417474,0.6811923356517813,0.051452863174898,-0.007006777860367121,0.04376462935040259,-0.030899149190367493,0.05758492407420984,0.03765333618244869
MYC,-0.06252121175416377,0.02012119372027522,0.04298141044317638,0.05307071328925698,-0.06630161835731563,0.0693927904581303,0.1058734506969599,0.018317465767275515,0.14597581929656528,-0.0072451746220600285,0.19113373089279667,0.15438529951143384,-0.023746319944976828,-0.003221726579720627,0.2103022219260309,-0.009844221452976785,0.20455889628365162,0.08004612089766515,1.0,0.02401527044627319,0.17845352832844388,0.6935898144750289,-0.0825500312605025,0.0547035294632556,-0.023707177837948144,0.022194491628596363,-0.02589252557287849,0.36986310468673017,0.046317864171552946,0.24535324889252755,0.02400955245161386,-0.02852356528969928,0.18590093614491002,0.09206968262154112,0.3962252763816832,0.4834104336414624,-0.026352618359190227,0.1490406046422271,0.1901841028772862,0.33764555617836955,0.13649111551977816,-0.025877321113418568,4.182531808062729e-06,0.06301632161323863,-0.14789436137124032,-0.11511215017832241,0.20635489657669306,-0.007069906724651664,0.01612192374790011,0.014828928751800355,0.0892447290490186,0.40321735850717544,-0.014416744894282858,0.01572764251222094,0.23088845283104353,0.2828888437445395,0.40155246061166244,0.38225813436402306,0.09501411436899142
